,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
603,901,New South Wales,Australia,2020-01-22,0.0,0.0
604,902,New South Wales,Australia,2020-01-23,0.0,0.0
605,903,New South Wales,Australia,2020-01-24,0.0,0.0
606,904,New South Wales,Australia,2020-01-25,0.0,0.0
607,905,New South Wales,Australia,2020-01-26,3.0,0.0
608,906,New South Wales,Australia,2020-01-27,4.0,0.0
609,907,New South Wales,Australia,2020-01-28,4.0,0.0
610,908,New South Wales,Australia,2020-01-29,4.0,0.0
611,909,New South Wales,Australia,2020-01-30,4.0,0.0
612,910,New South Wales,Australia,2020-01-31,4.0,0.0
613,911,New South Wales,Australia,2020-02-01,4.0,0.0
614,912,New South Wales,Australia,2020-02-02,4.0,0.0
615,913,New South Wales,Australia,2020-02-03,4.0,0.0
616,914,New South Wales,Australia,2020-02-04,4.0,0.0
617,915,New South Wales,Australia,2020-02-05,4.0,0.0
618,916,New South Wales,Australia,2020-02-06,4.0,0.0
619,917,New South Wales,Australia,2020-02-07,4.0,0.0
620,918,New South Wales,Australia,2020-02-08,4.0,0.0
621,919,New South Wales,Australia,2020-02-09,4.0,0.0
622,920,New South Wales,Australia,2020-02-10,4.0,0.0
623,921,New South Wales,Australia,2020-02-11,4.0,0.0
624,922,New South Wales,Australia,2020-02-12,4.0,0.0
625,923,New South Wales,Australia,2020-02-13,4.0,0.0
626,924,New South Wales,Australia,2020-02-14,4.0,0.0
627,925,New South Wales,Australia,2020-02-15,4.0,0.0
628,926,New South Wales,Australia,2020-02-16,4.0,0.0
629,927,New South Wales,Australia,2020-02-17,4.0,0.0
630,928,New South Wales,Australia,2020-02-18,4.0,0.0
631,929,New South Wales,Australia,2020-02-19,4.0,0.0
632,930,New South Wales,Australia,2020-02-20,4.0,0.0
633,931,New South Wales,Australia,2020-02-21,4.0,0.0
634,932,New South Wales,Australia,2020-02-22,4.0,0.0
635,933,New South Wales,Australia,2020-02-23,4.0,0.0
636,934,New South Wales,Australia,2020-02-24,4.0,0.0
637,935,New South Wales,Australia,2020-02-25,4.0,0.0
638,936,New South Wales,Australia,2020-02-26,4.0,0.0
639,937,New South Wales,Australia,2020-02-27,4.0,0.0
640,938,New South Wales,Australia,2020-02-28,4.0,0.0
641,939,New South Wales,Australia,2020-02-29,4.0,0.0
642,940,New South Wales,Australia,2020-03-01,6.0,0.0
643,941,New South Wales,Australia,2020-03-02,6.0,0.0
644,942,New South Wales,Australia,2020-03-03,13.0,0.0
645,943,New South Wales,Australia,2020-03-04,22.0,1.0
646,944,New South Wales,Australia,2020-03-05,22.0,1.0
647,945,New South Wales,Australia,2020-03-06,26.0,1.0
648,946,New South Wales,Australia,2020-03-07,28.0,1.0
649,947,New South Wales,Australia,2020-03-08,38.0,2.0
650,948,New South Wales,Australia,2020-03-09,48.0,2.0
651,949,New South Wales,Australia,2020-03-10,55.0,2.0
652,950,New South Wales,Australia,2020-03-11,65.0,2.0
653,951,New South Wales,Australia,2020-03-12,65.0,2.0
654,952,New South Wales,Australia,2020-03-13,92.0,2.0
655,953,New South Wales,Australia,2020-03-14,112.0,2.0
656,954,New South Wales,Australia,2020-03-15,134.0,2.0
657,955,New South Wales,Australia,2020-03-16,171.0,2.0
658,956,New South Wales,Australia,2020-03-17,210.0,4.0
659,957,New South Wales,Australia,2020-03-18,267.0,5.0
660,958,New South Wales,Australia,2020-03-19,307.0,5.0
661,959,New South Wales,Australia,2020-03-20,353.0,6.0
662,960,New South Wales,Australia,2020-03-21,436.0,6.0
663,961,New South Wales,Australia,2020-03-22,669.0,6.0
664,962,New South Wales,Australia,2020-03-23,669.0,6.0
665,963,New South Wales,Australia,2020-03-24,818.0,7.0
666,964,New South Wales,Australia,2020-03-25,1029.0,7.0
667,965,New South Wales,Australia,2020-03-26,1219.0,7.0
668,966,New South Wales,Australia,2020-03-27,1405.0,7.0
669,967,New South Wales,Australia,2020-03-28,1617.0,8.0
