,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
737,1101,Queensland,Australia,2020-01-22,0.0,0.0
738,1102,Queensland,Australia,2020-01-23,0.0,0.0
739,1103,Queensland,Australia,2020-01-24,0.0,0.0
740,1104,Queensland,Australia,2020-01-25,0.0,0.0
741,1105,Queensland,Australia,2020-01-26,0.0,0.0
742,1106,Queensland,Australia,2020-01-27,0.0,0.0
743,1107,Queensland,Australia,2020-01-28,0.0,0.0
744,1108,Queensland,Australia,2020-01-29,1.0,0.0
745,1109,Queensland,Australia,2020-01-30,3.0,0.0
746,1110,Queensland,Australia,2020-01-31,2.0,0.0
747,1111,Queensland,Australia,2020-02-01,3.0,0.0
748,1112,Queensland,Australia,2020-02-02,2.0,0.0
749,1113,Queensland,Australia,2020-02-03,2.0,0.0
750,1114,Queensland,Australia,2020-02-04,3.0,0.0
751,1115,Queensland,Australia,2020-02-05,3.0,0.0
752,1116,Queensland,Australia,2020-02-06,4.0,0.0
753,1117,Queensland,Australia,2020-02-07,5.0,0.0
754,1118,Queensland,Australia,2020-02-08,5.0,0.0
755,1119,Queensland,Australia,2020-02-09,5.0,0.0
756,1120,Queensland,Australia,2020-02-10,5.0,0.0
757,1121,Queensland,Australia,2020-02-11,5.0,0.0
758,1122,Queensland,Australia,2020-02-12,5.0,0.0
759,1123,Queensland,Australia,2020-02-13,5.0,0.0
760,1124,Queensland,Australia,2020-02-14,5.0,0.0
761,1125,Queensland,Australia,2020-02-15,5.0,0.0
762,1126,Queensland,Australia,2020-02-16,5.0,0.0
763,1127,Queensland,Australia,2020-02-17,5.0,0.0
764,1128,Queensland,Australia,2020-02-18,5.0,0.0
765,1129,Queensland,Australia,2020-02-19,5.0,0.0
766,1130,Queensland,Australia,2020-02-20,5.0,0.0
767,1131,Queensland,Australia,2020-02-21,5.0,0.0
768,1132,Queensland,Australia,2020-02-22,5.0,0.0
769,1133,Queensland,Australia,2020-02-23,5.0,0.0
770,1134,Queensland,Australia,2020-02-24,5.0,0.0
771,1135,Queensland,Australia,2020-02-25,5.0,0.0
772,1136,Queensland,Australia,2020-02-26,5.0,0.0
773,1137,Queensland,Australia,2020-02-27,5.0,0.0
774,1138,Queensland,Australia,2020-02-28,5.0,0.0
775,1139,Queensland,Australia,2020-02-29,9.0,0.0
776,1140,Queensland,Australia,2020-03-01,9.0,0.0
777,1141,Queensland,Australia,2020-03-02,9.0,0.0
778,1142,Queensland,Australia,2020-03-03,11.0,0.0
779,1143,Queensland,Australia,2020-03-04,11.0,0.0
780,1144,Queensland,Australia,2020-03-05,13.0,0.0
781,1145,Queensland,Australia,2020-03-06,13.0,0.0
782,1146,Queensland,Australia,2020-03-07,13.0,0.0
783,1147,Queensland,Australia,2020-03-08,15.0,0.0
784,1148,Queensland,Australia,2020-03-09,15.0,0.0
785,1149,Queensland,Australia,2020-03-10,18.0,0.0
786,1150,Queensland,Australia,2020-03-11,20.0,0.0
787,1151,Queensland,Australia,2020-03-12,20.0,0.0
788,1152,Queensland,Australia,2020-03-13,35.0,0.0
789,1153,Queensland,Australia,2020-03-14,46.0,0.0
790,1154,Queensland,Australia,2020-03-15,61.0,0.0
791,1155,Queensland,Australia,2020-03-16,68.0,0.0
792,1156,Queensland,Australia,2020-03-17,78.0,0.0
793,1157,Queensland,Australia,2020-03-18,94.0,0.0
794,1158,Queensland,Australia,2020-03-19,144.0,0.0
795,1159,Queensland,Australia,2020-03-20,184.0,0.0
796,1160,Queensland,Australia,2020-03-21,221.0,0.0
797,1161,Queensland,Australia,2020-03-22,259.0,0.0
798,1162,Queensland,Australia,2020-03-23,319.0,0.0
799,1163,Queensland,Australia,2020-03-24,397.0,0.0
800,1164,Queensland,Australia,2020-03-25,443.0,0.0
801,1165,Queensland,Australia,2020-03-26,493.0,1.0
802,1166,Queensland,Australia,2020-03-27,555.0,1.0
803,1167,Queensland,Australia,2020-03-28,625.0,1.0
