,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
804,1201,South Australia,Australia,2020-01-22,0.0,0.0
805,1202,South Australia,Australia,2020-01-23,0.0,0.0
806,1203,South Australia,Australia,2020-01-24,0.0,0.0
807,1204,South Australia,Australia,2020-01-25,0.0,0.0
808,1205,South Australia,Australia,2020-01-26,0.0,0.0
809,1206,South Australia,Australia,2020-01-27,0.0,0.0
810,1207,South Australia,Australia,2020-01-28,0.0,0.0
811,1208,South Australia,Australia,2020-01-29,0.0,0.0
812,1209,South Australia,Australia,2020-01-30,0.0,0.0
813,1210,South Australia,Australia,2020-01-31,0.0,0.0
814,1211,South Australia,Australia,2020-02-01,1.0,0.0
815,1212,South Australia,Australia,2020-02-02,2.0,0.0
816,1213,South Australia,Australia,2020-02-03,2.0,0.0
817,1214,South Australia,Australia,2020-02-04,2.0,0.0
818,1215,South Australia,Australia,2020-02-05,2.0,0.0
819,1216,South Australia,Australia,2020-02-06,2.0,0.0
820,1217,South Australia,Australia,2020-02-07,2.0,0.0
821,1218,South Australia,Australia,2020-02-08,2.0,0.0
822,1219,South Australia,Australia,2020-02-09,2.0,0.0
823,1220,South Australia,Australia,2020-02-10,2.0,0.0
824,1221,South Australia,Australia,2020-02-11,2.0,0.0
825,1222,South Australia,Australia,2020-02-12,2.0,0.0
826,1223,South Australia,Australia,2020-02-13,2.0,0.0
827,1224,South Australia,Australia,2020-02-14,2.0,0.0
828,1225,South Australia,Australia,2020-02-15,2.0,0.0
829,1226,South Australia,Australia,2020-02-16,2.0,0.0
830,1227,South Australia,Australia,2020-02-17,2.0,0.0
831,1228,South Australia,Australia,2020-02-18,2.0,0.0
832,1229,South Australia,Australia,2020-02-19,2.0,0.0
833,1230,South Australia,Australia,2020-02-20,2.0,0.0
834,1231,South Australia,Australia,2020-02-21,2.0,0.0
835,1232,South Australia,Australia,2020-02-22,2.0,0.0
836,1233,South Australia,Australia,2020-02-23,2.0,0.0
837,1234,South Australia,Australia,2020-02-24,2.0,0.0
838,1235,South Australia,Australia,2020-02-25,2.0,0.0
839,1236,South Australia,Australia,2020-02-26,2.0,0.0
840,1237,South Australia,Australia,2020-02-27,2.0,0.0
841,1238,South Australia,Australia,2020-02-28,2.0,0.0
842,1239,South Australia,Australia,2020-02-29,3.0,0.0
843,1240,South Australia,Australia,2020-03-01,3.0,0.0
844,1241,South Australia,Australia,2020-03-02,3.0,0.0
845,1242,South Australia,Australia,2020-03-03,3.0,0.0
846,1243,South Australia,Australia,2020-03-04,5.0,0.0
847,1244,South Australia,Australia,2020-03-05,5.0,0.0
848,1245,South Australia,Australia,2020-03-06,7.0,0.0
849,1246,South Australia,Australia,2020-03-07,7.0,0.0
850,1247,South Australia,Australia,2020-03-08,7.0,0.0
851,1248,South Australia,Australia,2020-03-09,7.0,0.0
852,1249,South Australia,Australia,2020-03-10,7.0,0.0
853,1250,South Australia,Australia,2020-03-11,9.0,0.0
854,1251,South Australia,Australia,2020-03-12,9.0,0.0
855,1252,South Australia,Australia,2020-03-13,16.0,0.0
856,1253,South Australia,Australia,2020-03-14,19.0,0.0
857,1254,South Australia,Australia,2020-03-15,20.0,0.0
858,1255,South Australia,Australia,2020-03-16,29.0,0.0
859,1256,South Australia,Australia,2020-03-17,29.0,0.0
860,1257,South Australia,Australia,2020-03-18,37.0,0.0
861,1258,South Australia,Australia,2020-03-19,42.0,0.0
862,1259,South Australia,Australia,2020-03-20,50.0,0.0
863,1260,South Australia,Australia,2020-03-21,67.0,0.0
864,1261,South Australia,Australia,2020-03-22,100.0,0.0
865,1262,South Australia,Australia,2020-03-23,134.0,0.0
866,1263,South Australia,Australia,2020-03-24,170.0,0.0
867,1264,South Australia,Australia,2020-03-25,170.0,0.0
868,1265,South Australia,Australia,2020-03-26,235.0,0.0
869,1266,South Australia,Australia,2020-03-27,257.0,0.0
870,1267,South Australia,Australia,2020-03-28,287.0,0.0
