,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
938,1401,Victoria,Australia,2020-01-22,0.0,0.0
939,1402,Victoria,Australia,2020-01-23,0.0,0.0
940,1403,Victoria,Australia,2020-01-24,0.0,0.0
941,1404,Victoria,Australia,2020-01-25,0.0,0.0
942,1405,Victoria,Australia,2020-01-26,1.0,0.0
943,1406,Victoria,Australia,2020-01-27,1.0,0.0
944,1407,Victoria,Australia,2020-01-28,1.0,0.0
945,1408,Victoria,Australia,2020-01-29,1.0,0.0
946,1409,Victoria,Australia,2020-01-30,2.0,0.0
947,1410,Victoria,Australia,2020-01-31,3.0,0.0
948,1411,Victoria,Australia,2020-02-01,4.0,0.0
949,1412,Victoria,Australia,2020-02-02,4.0,0.0
950,1413,Victoria,Australia,2020-02-03,4.0,0.0
951,1414,Victoria,Australia,2020-02-04,4.0,0.0
952,1415,Victoria,Australia,2020-02-05,4.0,0.0
953,1416,Victoria,Australia,2020-02-06,4.0,0.0
954,1417,Victoria,Australia,2020-02-07,4.0,0.0
955,1418,Victoria,Australia,2020-02-08,4.0,0.0
956,1419,Victoria,Australia,2020-02-09,4.0,0.0
957,1420,Victoria,Australia,2020-02-10,4.0,0.0
958,1421,Victoria,Australia,2020-02-11,4.0,0.0
959,1422,Victoria,Australia,2020-02-12,4.0,0.0
960,1423,Victoria,Australia,2020-02-13,4.0,0.0
961,1424,Victoria,Australia,2020-02-14,4.0,0.0
962,1425,Victoria,Australia,2020-02-15,4.0,0.0
963,1426,Victoria,Australia,2020-02-16,4.0,0.0
964,1427,Victoria,Australia,2020-02-17,4.0,0.0
965,1428,Victoria,Australia,2020-02-18,4.0,0.0
966,1429,Victoria,Australia,2020-02-19,4.0,0.0
967,1430,Victoria,Australia,2020-02-20,4.0,0.0
968,1431,Victoria,Australia,2020-02-21,4.0,0.0
969,1432,Victoria,Australia,2020-02-22,4.0,0.0
970,1433,Victoria,Australia,2020-02-23,4.0,0.0
971,1434,Victoria,Australia,2020-02-24,4.0,0.0
972,1435,Victoria,Australia,2020-02-25,4.0,0.0
973,1436,Victoria,Australia,2020-02-26,4.0,0.0
974,1437,Victoria,Australia,2020-02-27,4.0,0.0
975,1438,Victoria,Australia,2020-02-28,4.0,0.0
976,1439,Victoria,Australia,2020-02-29,7.0,0.0
977,1440,Victoria,Australia,2020-03-01,7.0,0.0
978,1441,Victoria,Australia,2020-03-02,9.0,0.0
979,1442,Victoria,Australia,2020-03-03,9.0,0.0
980,1443,Victoria,Australia,2020-03-04,10.0,0.0
981,1444,Victoria,Australia,2020-03-05,10.0,0.0
982,1445,Victoria,Australia,2020-03-06,10.0,0.0
983,1446,Victoria,Australia,2020-03-07,11.0,0.0
984,1447,Victoria,Australia,2020-03-08,11.0,0.0
985,1448,Victoria,Australia,2020-03-09,15.0,0.0
986,1449,Victoria,Australia,2020-03-10,18.0,0.0
987,1450,Victoria,Australia,2020-03-11,21.0,0.0
988,1451,Victoria,Australia,2020-03-12,21.0,0.0
989,1452,Victoria,Australia,2020-03-13,36.0,0.0
990,1453,Victoria,Australia,2020-03-14,49.0,0.0
991,1454,Victoria,Australia,2020-03-15,57.0,0.0
992,1455,Victoria,Australia,2020-03-16,71.0,0.0
993,1456,Victoria,Australia,2020-03-17,94.0,0.0
994,1457,Victoria,Australia,2020-03-18,121.0,0.0
995,1458,Victoria,Australia,2020-03-19,121.0,0.0
996,1459,Victoria,Australia,2020-03-20,121.0,0.0
997,1460,Victoria,Australia,2020-03-21,229.0,0.0
998,1461,Victoria,Australia,2020-03-22,355.0,0.0
999,1462,Victoria,Australia,2020-03-23,355.0,0.0
1000,1463,Victoria,Australia,2020-03-24,411.0,0.0
1001,1464,Victoria,Australia,2020-03-25,466.0,0.0
1002,1465,Victoria,Australia,2020-03-26,520.0,3.0
1003,1466,Victoria,Australia,2020-03-27,574.0,3.0
1004,1467,Victoria,Australia,2020-03-28,685.0,3.0
