,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
1139,1701,,Azerbaijan,2020-01-22,0.0,0.0
1140,1702,,Azerbaijan,2020-01-23,0.0,0.0
1141,1703,,Azerbaijan,2020-01-24,0.0,0.0
1142,1704,,Azerbaijan,2020-01-25,0.0,0.0
1143,1705,,Azerbaijan,2020-01-26,0.0,0.0
1144,1706,,Azerbaijan,2020-01-27,0.0,0.0
1145,1707,,Azerbaijan,2020-01-28,0.0,0.0
1146,1708,,Azerbaijan,2020-01-29,0.0,0.0
1147,1709,,Azerbaijan,2020-01-30,0.0,0.0
1148,1710,,Azerbaijan,2020-01-31,0.0,0.0
1149,1711,,Azerbaijan,2020-02-01,0.0,0.0
1150,1712,,Azerbaijan,2020-02-02,0.0,0.0
1151,1713,,Azerbaijan,2020-02-03,0.0,0.0
1152,1714,,Azerbaijan,2020-02-04,0.0,0.0
1153,1715,,Azerbaijan,2020-02-05,0.0,0.0
1154,1716,,Azerbaijan,2020-02-06,0.0,0.0
1155,1717,,Azerbaijan,2020-02-07,0.0,0.0
1156,1718,,Azerbaijan,2020-02-08,0.0,0.0
1157,1719,,Azerbaijan,2020-02-09,0.0,0.0
1158,1720,,Azerbaijan,2020-02-10,0.0,0.0
1159,1721,,Azerbaijan,2020-02-11,0.0,0.0
1160,1722,,Azerbaijan,2020-02-12,0.0,0.0
1161,1723,,Azerbaijan,2020-02-13,0.0,0.0
1162,1724,,Azerbaijan,2020-02-14,0.0,0.0
1163,1725,,Azerbaijan,2020-02-15,0.0,0.0
1164,1726,,Azerbaijan,2020-02-16,0.0,0.0
1165,1727,,Azerbaijan,2020-02-17,0.0,0.0
1166,1728,,Azerbaijan,2020-02-18,0.0,0.0
1167,1729,,Azerbaijan,2020-02-19,0.0,0.0
1168,1730,,Azerbaijan,2020-02-20,0.0,0.0
1169,1731,,Azerbaijan,2020-02-21,0.0,0.0
1170,1732,,Azerbaijan,2020-02-22,0.0,0.0
1171,1733,,Azerbaijan,2020-02-23,0.0,0.0
1172,1734,,Azerbaijan,2020-02-24,0.0,0.0
1173,1735,,Azerbaijan,2020-02-25,0.0,0.0
1174,1736,,Azerbaijan,2020-02-26,0.0,0.0
1175,1737,,Azerbaijan,2020-02-27,0.0,0.0
1176,1738,,Azerbaijan,2020-02-28,0.0,0.0
1177,1739,,Azerbaijan,2020-02-29,0.0,0.0
1178,1740,,Azerbaijan,2020-03-01,3.0,0.0
1179,1741,,Azerbaijan,2020-03-02,3.0,0.0
1180,1742,,Azerbaijan,2020-03-03,3.0,0.0
1181,1743,,Azerbaijan,2020-03-04,3.0,0.0
1182,1744,,Azerbaijan,2020-03-05,6.0,0.0
1183,1745,,Azerbaijan,2020-03-06,6.0,0.0
1184,1746,,Azerbaijan,2020-03-07,9.0,0.0
1185,1747,,Azerbaijan,2020-03-08,9.0,0.0
1186,1748,,Azerbaijan,2020-03-09,9.0,0.0
1187,1749,,Azerbaijan,2020-03-10,11.0,0.0
1188,1750,,Azerbaijan,2020-03-11,11.0,0.0
1189,1751,,Azerbaijan,2020-03-12,11.0,0.0
1190,1752,,Azerbaijan,2020-03-13,15.0,1.0
1191,1753,,Azerbaijan,2020-03-14,15.0,1.0
1192,1754,,Azerbaijan,2020-03-15,23.0,1.0
1193,1755,,Azerbaijan,2020-03-16,28.0,1.0
1194,1756,,Azerbaijan,2020-03-17,28.0,1.0
1195,1757,,Azerbaijan,2020-03-18,28.0,1.0
1196,1758,,Azerbaijan,2020-03-19,44.0,1.0
1197,1759,,Azerbaijan,2020-03-20,44.0,1.0
1198,1760,,Azerbaijan,2020-03-21,53.0,1.0
1199,1761,,Azerbaijan,2020-03-22,65.0,1.0
1200,1762,,Azerbaijan,2020-03-23,72.0,1.0
1201,1763,,Azerbaijan,2020-03-24,87.0,1.0
1202,1764,,Azerbaijan,2020-03-25,93.0,2.0
1203,1765,,Azerbaijan,2020-03-26,122.0,3.0
1204,1766,,Azerbaijan,2020-03-27,165.0,3.0
1205,1767,,Azerbaijan,2020-03-28,182.0,4.0
