,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
1273,1901,,Bahrain,2020-01-22,0.0,0.0
1274,1902,,Bahrain,2020-01-23,0.0,0.0
1275,1903,,Bahrain,2020-01-24,0.0,0.0
1276,1904,,Bahrain,2020-01-25,0.0,0.0
1277,1905,,Bahrain,2020-01-26,0.0,0.0
1278,1906,,Bahrain,2020-01-27,0.0,0.0
1279,1907,,Bahrain,2020-01-28,0.0,0.0
1280,1908,,Bahrain,2020-01-29,0.0,0.0
1281,1909,,Bahrain,2020-01-30,0.0,0.0
1282,1910,,Bahrain,2020-01-31,0.0,0.0
1283,1911,,Bahrain,2020-02-01,0.0,0.0
1284,1912,,Bahrain,2020-02-02,0.0,0.0
1285,1913,,Bahrain,2020-02-03,0.0,0.0
1286,1914,,Bahrain,2020-02-04,0.0,0.0
1287,1915,,Bahrain,2020-02-05,0.0,0.0
1288,1916,,Bahrain,2020-02-06,0.0,0.0
1289,1917,,Bahrain,2020-02-07,0.0,0.0
1290,1918,,Bahrain,2020-02-08,0.0,0.0
1291,1919,,Bahrain,2020-02-09,0.0,0.0
1292,1920,,Bahrain,2020-02-10,0.0,0.0
1293,1921,,Bahrain,2020-02-11,0.0,0.0
1294,1922,,Bahrain,2020-02-12,0.0,0.0
1295,1923,,Bahrain,2020-02-13,0.0,0.0
1296,1924,,Bahrain,2020-02-14,0.0,0.0
1297,1925,,Bahrain,2020-02-15,0.0,0.0
1298,1926,,Bahrain,2020-02-16,0.0,0.0
1299,1927,,Bahrain,2020-02-17,0.0,0.0
1300,1928,,Bahrain,2020-02-18,0.0,0.0
1301,1929,,Bahrain,2020-02-19,0.0,0.0
1302,1930,,Bahrain,2020-02-20,0.0,0.0
1303,1931,,Bahrain,2020-02-21,0.0,0.0
1304,1932,,Bahrain,2020-02-22,0.0,0.0
1305,1933,,Bahrain,2020-02-23,0.0,0.0
1306,1934,,Bahrain,2020-02-24,1.0,0.0
1307,1935,,Bahrain,2020-02-25,23.0,0.0
1308,1936,,Bahrain,2020-02-26,33.0,0.0
1309,1937,,Bahrain,2020-02-27,33.0,0.0
1310,1938,,Bahrain,2020-02-28,36.0,0.0
1311,1939,,Bahrain,2020-02-29,41.0,0.0
1312,1940,,Bahrain,2020-03-01,47.0,0.0
1313,1941,,Bahrain,2020-03-02,49.0,0.0
1314,1942,,Bahrain,2020-03-03,49.0,0.0
1315,1943,,Bahrain,2020-03-04,52.0,0.0
1316,1944,,Bahrain,2020-03-05,55.0,0.0
1317,1945,,Bahrain,2020-03-06,60.0,0.0
1318,1946,,Bahrain,2020-03-07,85.0,0.0
1319,1947,,Bahrain,2020-03-08,85.0,0.0
1320,1948,,Bahrain,2020-03-09,95.0,0.0
1321,1949,,Bahrain,2020-03-10,110.0,0.0
1322,1950,,Bahrain,2020-03-11,195.0,0.0
1323,1951,,Bahrain,2020-03-12,195.0,0.0
1324,1952,,Bahrain,2020-03-13,195.0,0.0
1325,1953,,Bahrain,2020-03-14,210.0,0.0
1326,1954,,Bahrain,2020-03-15,214.0,0.0
1327,1955,,Bahrain,2020-03-16,214.0,1.0
1328,1956,,Bahrain,2020-03-17,228.0,1.0
1329,1957,,Bahrain,2020-03-18,256.0,1.0
1330,1958,,Bahrain,2020-03-19,278.0,1.0
1331,1959,,Bahrain,2020-03-20,285.0,1.0
1332,1960,,Bahrain,2020-03-21,305.0,1.0
1333,1961,,Bahrain,2020-03-22,334.0,2.0
1334,1962,,Bahrain,2020-03-23,377.0,2.0
1335,1963,,Bahrain,2020-03-24,392.0,3.0
1336,1964,,Bahrain,2020-03-25,419.0,4.0
1337,1965,,Bahrain,2020-03-26,458.0,4.0
1338,1966,,Bahrain,2020-03-27,466.0,4.0
1339,1967,,Bahrain,2020-03-28,476.0,4.0
