,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
1541,2301,,Belgium,2020-01-22,0.0,0.0
1542,2302,,Belgium,2020-01-23,0.0,0.0
1543,2303,,Belgium,2020-01-24,0.0,0.0
1544,2304,,Belgium,2020-01-25,0.0,0.0
1545,2305,,Belgium,2020-01-26,0.0,0.0
1546,2306,,Belgium,2020-01-27,0.0,0.0
1547,2307,,Belgium,2020-01-28,0.0,0.0
1548,2308,,Belgium,2020-01-29,0.0,0.0
1549,2309,,Belgium,2020-01-30,0.0,0.0
1550,2310,,Belgium,2020-01-31,0.0,0.0
1551,2311,,Belgium,2020-02-01,0.0,0.0
1552,2312,,Belgium,2020-02-02,0.0,0.0
1553,2313,,Belgium,2020-02-03,0.0,0.0
1554,2314,,Belgium,2020-02-04,1.0,0.0
1555,2315,,Belgium,2020-02-05,1.0,0.0
1556,2316,,Belgium,2020-02-06,1.0,0.0
1557,2317,,Belgium,2020-02-07,1.0,0.0
1558,2318,,Belgium,2020-02-08,1.0,0.0
1559,2319,,Belgium,2020-02-09,1.0,0.0
1560,2320,,Belgium,2020-02-10,1.0,0.0
1561,2321,,Belgium,2020-02-11,1.0,0.0
1562,2322,,Belgium,2020-02-12,1.0,0.0
1563,2323,,Belgium,2020-02-13,1.0,0.0
1564,2324,,Belgium,2020-02-14,1.0,0.0
1565,2325,,Belgium,2020-02-15,1.0,0.0
1566,2326,,Belgium,2020-02-16,1.0,0.0
1567,2327,,Belgium,2020-02-17,1.0,0.0
1568,2328,,Belgium,2020-02-18,1.0,0.0
1569,2329,,Belgium,2020-02-19,1.0,0.0
1570,2330,,Belgium,2020-02-20,1.0,0.0
1571,2331,,Belgium,2020-02-21,1.0,0.0
1572,2332,,Belgium,2020-02-22,1.0,0.0
1573,2333,,Belgium,2020-02-23,1.0,0.0
1574,2334,,Belgium,2020-02-24,1.0,0.0
1575,2335,,Belgium,2020-02-25,1.0,0.0
1576,2336,,Belgium,2020-02-26,1.0,0.0
1577,2337,,Belgium,2020-02-27,1.0,0.0
1578,2338,,Belgium,2020-02-28,1.0,0.0
1579,2339,,Belgium,2020-02-29,1.0,0.0
1580,2340,,Belgium,2020-03-01,2.0,0.0
1581,2341,,Belgium,2020-03-02,8.0,0.0
1582,2342,,Belgium,2020-03-03,13.0,0.0
1583,2343,,Belgium,2020-03-04,23.0,0.0
1584,2344,,Belgium,2020-03-05,50.0,0.0
1585,2345,,Belgium,2020-03-06,109.0,0.0
1586,2346,,Belgium,2020-03-07,169.0,0.0
1587,2347,,Belgium,2020-03-08,200.0,0.0
1588,2348,,Belgium,2020-03-09,239.0,0.0
1589,2349,,Belgium,2020-03-10,267.0,0.0
1590,2350,,Belgium,2020-03-11,314.0,3.0
1591,2351,,Belgium,2020-03-12,314.0,3.0
1592,2352,,Belgium,2020-03-13,559.0,3.0
1593,2353,,Belgium,2020-03-14,689.0,4.0
1594,2354,,Belgium,2020-03-15,886.0,4.0
1595,2355,,Belgium,2020-03-16,1058.0,5.0
1596,2356,,Belgium,2020-03-17,1243.0,10.0
1597,2357,,Belgium,2020-03-18,1486.0,14.0
1598,2358,,Belgium,2020-03-19,1795.0,21.0
1599,2359,,Belgium,2020-03-20,2257.0,37.0
1600,2360,,Belgium,2020-03-21,2815.0,67.0
1601,2361,,Belgium,2020-03-22,3401.0,75.0
1602,2362,,Belgium,2020-03-23,3743.0,88.0
1603,2363,,Belgium,2020-03-24,4269.0,122.0
1604,2364,,Belgium,2020-03-25,4937.0,178.0
1605,2365,,Belgium,2020-03-26,6235.0,220.0
1606,2366,,Belgium,2020-03-27,7284.0,289.0
1607,2367,,Belgium,2020-03-28,9134.0,353.0
