,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
2211,3301,,Cabo Verde,2020-01-22,0.0,0.0
2212,3302,,Cabo Verde,2020-01-23,0.0,0.0
2213,3303,,Cabo Verde,2020-01-24,0.0,0.0
2214,3304,,Cabo Verde,2020-01-25,0.0,0.0
2215,3305,,Cabo Verde,2020-01-26,0.0,0.0
2216,3306,,Cabo Verde,2020-01-27,0.0,0.0
2217,3307,,Cabo Verde,2020-01-28,0.0,0.0
2218,3308,,Cabo Verde,2020-01-29,0.0,0.0
2219,3309,,Cabo Verde,2020-01-30,0.0,0.0
2220,3310,,Cabo Verde,2020-01-31,0.0,0.0
2221,3311,,Cabo Verde,2020-02-01,0.0,0.0
2222,3312,,Cabo Verde,2020-02-02,0.0,0.0
2223,3313,,Cabo Verde,2020-02-03,0.0,0.0
2224,3314,,Cabo Verde,2020-02-04,0.0,0.0
2225,3315,,Cabo Verde,2020-02-05,0.0,0.0
2226,3316,,Cabo Verde,2020-02-06,0.0,0.0
2227,3317,,Cabo Verde,2020-02-07,0.0,0.0
2228,3318,,Cabo Verde,2020-02-08,0.0,0.0
2229,3319,,Cabo Verde,2020-02-09,0.0,0.0
2230,3320,,Cabo Verde,2020-02-10,0.0,0.0
2231,3321,,Cabo Verde,2020-02-11,0.0,0.0
2232,3322,,Cabo Verde,2020-02-12,0.0,0.0
2233,3323,,Cabo Verde,2020-02-13,0.0,0.0
2234,3324,,Cabo Verde,2020-02-14,0.0,0.0
2235,3325,,Cabo Verde,2020-02-15,0.0,0.0
2236,3326,,Cabo Verde,2020-02-16,0.0,0.0
2237,3327,,Cabo Verde,2020-02-17,0.0,0.0
2238,3328,,Cabo Verde,2020-02-18,0.0,0.0
2239,3329,,Cabo Verde,2020-02-19,0.0,0.0
2240,3330,,Cabo Verde,2020-02-20,0.0,0.0
2241,3331,,Cabo Verde,2020-02-21,0.0,0.0
2242,3332,,Cabo Verde,2020-02-22,0.0,0.0
2243,3333,,Cabo Verde,2020-02-23,0.0,0.0
2244,3334,,Cabo Verde,2020-02-24,0.0,0.0
2245,3335,,Cabo Verde,2020-02-25,0.0,0.0
2246,3336,,Cabo Verde,2020-02-26,0.0,0.0
2247,3337,,Cabo Verde,2020-02-27,0.0,0.0
2248,3338,,Cabo Verde,2020-02-28,0.0,0.0
2249,3339,,Cabo Verde,2020-02-29,0.0,0.0
2250,3340,,Cabo Verde,2020-03-01,0.0,0.0
2251,3341,,Cabo Verde,2020-03-02,0.0,0.0
2252,3342,,Cabo Verde,2020-03-03,0.0,0.0
2253,3343,,Cabo Verde,2020-03-04,0.0,0.0
2254,3344,,Cabo Verde,2020-03-05,0.0,0.0
2255,3345,,Cabo Verde,2020-03-06,0.0,0.0
2256,3346,,Cabo Verde,2020-03-07,0.0,0.0
2257,3347,,Cabo Verde,2020-03-08,0.0,0.0
2258,3348,,Cabo Verde,2020-03-09,0.0,0.0
2259,3349,,Cabo Verde,2020-03-10,0.0,0.0
2260,3350,,Cabo Verde,2020-03-11,0.0,0.0
2261,3351,,Cabo Verde,2020-03-12,0.0,0.0
2262,3352,,Cabo Verde,2020-03-13,0.0,0.0
2263,3353,,Cabo Verde,2020-03-14,0.0,0.0
2264,3354,,Cabo Verde,2020-03-15,0.0,0.0
2265,3355,,Cabo Verde,2020-03-16,0.0,0.0
2266,3356,,Cabo Verde,2020-03-17,0.0,0.0
2267,3357,,Cabo Verde,2020-03-18,0.0,0.0
2268,3358,,Cabo Verde,2020-03-19,0.0,0.0
2269,3359,,Cabo Verde,2020-03-20,1.0,0.0
2270,3360,,Cabo Verde,2020-03-21,3.0,0.0
2271,3361,,Cabo Verde,2020-03-22,3.0,0.0
2272,3362,,Cabo Verde,2020-03-23,3.0,0.0
2273,3363,,Cabo Verde,2020-03-24,3.0,1.0
2274,3364,,Cabo Verde,2020-03-25,4.0,1.0
2275,3365,,Cabo Verde,2020-03-26,4.0,1.0
2276,3366,,Cabo Verde,2020-03-27,5.0,1.0
2277,3367,,Cabo Verde,2020-03-28,5.0,1.0
