,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
2412,3601,Alberta,Canada,2020-01-22,0.0,0.0
2413,3602,Alberta,Canada,2020-01-23,0.0,0.0
2414,3603,Alberta,Canada,2020-01-24,0.0,0.0
2415,3604,Alberta,Canada,2020-01-25,0.0,0.0
2416,3605,Alberta,Canada,2020-01-26,0.0,0.0
2417,3606,Alberta,Canada,2020-01-27,0.0,0.0
2418,3607,Alberta,Canada,2020-01-28,0.0,0.0
2419,3608,Alberta,Canada,2020-01-29,0.0,0.0
2420,3609,Alberta,Canada,2020-01-30,0.0,0.0
2421,3610,Alberta,Canada,2020-01-31,0.0,0.0
2422,3611,Alberta,Canada,2020-02-01,0.0,0.0
2423,3612,Alberta,Canada,2020-02-02,0.0,0.0
2424,3613,Alberta,Canada,2020-02-03,0.0,0.0
2425,3614,Alberta,Canada,2020-02-04,0.0,0.0
2426,3615,Alberta,Canada,2020-02-05,0.0,0.0
2427,3616,Alberta,Canada,2020-02-06,0.0,0.0
2428,3617,Alberta,Canada,2020-02-07,0.0,0.0
2429,3618,Alberta,Canada,2020-02-08,0.0,0.0
2430,3619,Alberta,Canada,2020-02-09,0.0,0.0
2431,3620,Alberta,Canada,2020-02-10,0.0,0.0
2432,3621,Alberta,Canada,2020-02-11,0.0,0.0
2433,3622,Alberta,Canada,2020-02-12,0.0,0.0
2434,3623,Alberta,Canada,2020-02-13,0.0,0.0
2435,3624,Alberta,Canada,2020-02-14,0.0,0.0
2436,3625,Alberta,Canada,2020-02-15,0.0,0.0
2437,3626,Alberta,Canada,2020-02-16,0.0,0.0
2438,3627,Alberta,Canada,2020-02-17,0.0,0.0
2439,3628,Alberta,Canada,2020-02-18,0.0,0.0
2440,3629,Alberta,Canada,2020-02-19,0.0,0.0
2441,3630,Alberta,Canada,2020-02-20,0.0,0.0
2442,3631,Alberta,Canada,2020-02-21,0.0,0.0
2443,3632,Alberta,Canada,2020-02-22,0.0,0.0
2444,3633,Alberta,Canada,2020-02-23,0.0,0.0
2445,3634,Alberta,Canada,2020-02-24,0.0,0.0
2446,3635,Alberta,Canada,2020-02-25,0.0,0.0
2447,3636,Alberta,Canada,2020-02-26,0.0,0.0
2448,3637,Alberta,Canada,2020-02-27,0.0,0.0
2449,3638,Alberta,Canada,2020-02-28,0.0,0.0
2450,3639,Alberta,Canada,2020-02-29,0.0,0.0
2451,3640,Alberta,Canada,2020-03-01,0.0,0.0
2452,3641,Alberta,Canada,2020-03-02,0.0,0.0
2453,3642,Alberta,Canada,2020-03-03,0.0,0.0
2454,3643,Alberta,Canada,2020-03-04,0.0,0.0
2455,3644,Alberta,Canada,2020-03-05,0.0,0.0
2456,3645,Alberta,Canada,2020-03-06,1.0,0.0
2457,3646,Alberta,Canada,2020-03-07,2.0,0.0
2458,3647,Alberta,Canada,2020-03-08,4.0,0.0
2459,3648,Alberta,Canada,2020-03-09,7.0,0.0
2460,3649,Alberta,Canada,2020-03-10,7.0,0.0
2461,3650,Alberta,Canada,2020-03-11,19.0,0.0
2462,3651,Alberta,Canada,2020-03-12,19.0,0.0
2463,3652,Alberta,Canada,2020-03-13,29.0,0.0
2464,3653,Alberta,Canada,2020-03-14,29.0,0.0
2465,3654,Alberta,Canada,2020-03-15,39.0,0.0
2466,3655,Alberta,Canada,2020-03-16,56.0,0.0
2467,3656,Alberta,Canada,2020-03-17,74.0,0.0
2468,3657,Alberta,Canada,2020-03-18,97.0,0.0
2469,3658,Alberta,Canada,2020-03-19,119.0,0.0
2470,3659,Alberta,Canada,2020-03-20,146.0,1.0
2471,3660,Alberta,Canada,2020-03-21,195.0,1.0
2472,3661,Alberta,Canada,2020-03-22,259.0,1.0
2473,3662,Alberta,Canada,2020-03-23,301.0,1.0
2474,3663,Alberta,Canada,2020-03-24,359.0,1.0
2475,3664,Alberta,Canada,2020-03-25,358.0,2.0
2476,3665,Alberta,Canada,2020-03-26,486.0,2.0
2477,3666,Alberta,Canada,2020-03-27,542.0,2.0
2478,3667,Alberta,Canada,2020-03-28,542.0,2.0
