,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
2479,3701,British Columbia,Canada,2020-01-22,0.0,0.0
2480,3702,British Columbia,Canada,2020-01-23,0.0,0.0
2481,3703,British Columbia,Canada,2020-01-24,0.0,0.0
2482,3704,British Columbia,Canada,2020-01-25,0.0,0.0
2483,3705,British Columbia,Canada,2020-01-26,0.0,0.0
2484,3706,British Columbia,Canada,2020-01-27,0.0,0.0
2485,3707,British Columbia,Canada,2020-01-28,1.0,0.0
2486,3708,British Columbia,Canada,2020-01-29,1.0,0.0
2487,3709,British Columbia,Canada,2020-01-30,1.0,0.0
2488,3710,British Columbia,Canada,2020-01-31,1.0,0.0
2489,3711,British Columbia,Canada,2020-02-01,1.0,0.0
2490,3712,British Columbia,Canada,2020-02-02,1.0,0.0
2491,3713,British Columbia,Canada,2020-02-03,1.0,0.0
2492,3714,British Columbia,Canada,2020-02-04,1.0,0.0
2493,3715,British Columbia,Canada,2020-02-05,2.0,0.0
2494,3716,British Columbia,Canada,2020-02-06,2.0,0.0
2495,3717,British Columbia,Canada,2020-02-07,4.0,0.0
2496,3718,British Columbia,Canada,2020-02-08,4.0,0.0
2497,3719,British Columbia,Canada,2020-02-09,4.0,0.0
2498,3720,British Columbia,Canada,2020-02-10,4.0,0.0
2499,3721,British Columbia,Canada,2020-02-11,4.0,0.0
2500,3722,British Columbia,Canada,2020-02-12,4.0,0.0
2501,3723,British Columbia,Canada,2020-02-13,4.0,0.0
2502,3724,British Columbia,Canada,2020-02-14,4.0,0.0
2503,3725,British Columbia,Canada,2020-02-15,4.0,0.0
2504,3726,British Columbia,Canada,2020-02-16,4.0,0.0
2505,3727,British Columbia,Canada,2020-02-17,5.0,0.0
2506,3728,British Columbia,Canada,2020-02-18,5.0,0.0
2507,3729,British Columbia,Canada,2020-02-19,5.0,0.0
2508,3730,British Columbia,Canada,2020-02-20,5.0,0.0
2509,3731,British Columbia,Canada,2020-02-21,6.0,0.0
2510,3732,British Columbia,Canada,2020-02-22,6.0,0.0
2511,3733,British Columbia,Canada,2020-02-23,6.0,0.0
2512,3734,British Columbia,Canada,2020-02-24,6.0,0.0
2513,3735,British Columbia,Canada,2020-02-25,7.0,0.0
2514,3736,British Columbia,Canada,2020-02-26,7.0,0.0
2515,3737,British Columbia,Canada,2020-02-27,7.0,0.0
2516,3738,British Columbia,Canada,2020-02-28,7.0,0.0
2517,3739,British Columbia,Canada,2020-02-29,8.0,0.0
2518,3740,British Columbia,Canada,2020-03-01,8.0,0.0
2519,3741,British Columbia,Canada,2020-03-02,8.0,0.0
2520,3742,British Columbia,Canada,2020-03-03,9.0,0.0
2521,3743,British Columbia,Canada,2020-03-04,12.0,0.0
2522,3744,British Columbia,Canada,2020-03-05,13.0,0.0
2523,3745,British Columbia,Canada,2020-03-06,21.0,0.0
2524,3746,British Columbia,Canada,2020-03-07,21.0,0.0
2525,3747,British Columbia,Canada,2020-03-08,27.0,0.0
2526,3748,British Columbia,Canada,2020-03-09,32.0,1.0
2527,3749,British Columbia,Canada,2020-03-10,32.0,1.0
2528,3750,British Columbia,Canada,2020-03-11,39.0,1.0
2529,3751,British Columbia,Canada,2020-03-12,46.0,1.0
2530,3752,British Columbia,Canada,2020-03-13,64.0,1.0
2531,3753,British Columbia,Canada,2020-03-14,64.0,1.0
2532,3754,British Columbia,Canada,2020-03-15,73.0,1.0
2533,3755,British Columbia,Canada,2020-03-16,103.0,4.0
2534,3756,British Columbia,Canada,2020-03-17,103.0,4.0
2535,3757,British Columbia,Canada,2020-03-18,186.0,7.0
2536,3758,British Columbia,Canada,2020-03-19,231.0,7.0
2537,3759,British Columbia,Canada,2020-03-20,271.0,8.0
2538,3760,British Columbia,Canada,2020-03-21,424.0,10.0
2539,3761,British Columbia,Canada,2020-03-22,424.0,10.0
2540,3762,British Columbia,Canada,2020-03-23,472.0,13.0
2541,3763,British Columbia,Canada,2020-03-24,617.0,13.0
2542,3764,British Columbia,Canada,2020-03-25,617.0,13.0
2543,3765,British Columbia,Canada,2020-03-26,725.0,14.0
2544,3766,British Columbia,Canada,2020-03-27,725.0,14.0
2545,3767,British Columbia,Canada,2020-03-28,884.0,17.0
