,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
2613,3901,New Brunswick,Canada,2020-01-22,0.0,0.0
2614,3902,New Brunswick,Canada,2020-01-23,0.0,0.0
2615,3903,New Brunswick,Canada,2020-01-24,0.0,0.0
2616,3904,New Brunswick,Canada,2020-01-25,0.0,0.0
2617,3905,New Brunswick,Canada,2020-01-26,0.0,0.0
2618,3906,New Brunswick,Canada,2020-01-27,0.0,0.0
2619,3907,New Brunswick,Canada,2020-01-28,0.0,0.0
2620,3908,New Brunswick,Canada,2020-01-29,0.0,0.0
2621,3909,New Brunswick,Canada,2020-01-30,0.0,0.0
2622,3910,New Brunswick,Canada,2020-01-31,0.0,0.0
2623,3911,New Brunswick,Canada,2020-02-01,0.0,0.0
2624,3912,New Brunswick,Canada,2020-02-02,0.0,0.0
2625,3913,New Brunswick,Canada,2020-02-03,0.0,0.0
2626,3914,New Brunswick,Canada,2020-02-04,0.0,0.0
2627,3915,New Brunswick,Canada,2020-02-05,0.0,0.0
2628,3916,New Brunswick,Canada,2020-02-06,0.0,0.0
2629,3917,New Brunswick,Canada,2020-02-07,0.0,0.0
2630,3918,New Brunswick,Canada,2020-02-08,0.0,0.0
2631,3919,New Brunswick,Canada,2020-02-09,0.0,0.0
2632,3920,New Brunswick,Canada,2020-02-10,0.0,0.0
2633,3921,New Brunswick,Canada,2020-02-11,0.0,0.0
2634,3922,New Brunswick,Canada,2020-02-12,0.0,0.0
2635,3923,New Brunswick,Canada,2020-02-13,0.0,0.0
2636,3924,New Brunswick,Canada,2020-02-14,0.0,0.0
2637,3925,New Brunswick,Canada,2020-02-15,0.0,0.0
2638,3926,New Brunswick,Canada,2020-02-16,0.0,0.0
2639,3927,New Brunswick,Canada,2020-02-17,0.0,0.0
2640,3928,New Brunswick,Canada,2020-02-18,0.0,0.0
2641,3929,New Brunswick,Canada,2020-02-19,0.0,0.0
2642,3930,New Brunswick,Canada,2020-02-20,0.0,0.0
2643,3931,New Brunswick,Canada,2020-02-21,0.0,0.0
2644,3932,New Brunswick,Canada,2020-02-22,0.0,0.0
2645,3933,New Brunswick,Canada,2020-02-23,0.0,0.0
2646,3934,New Brunswick,Canada,2020-02-24,0.0,0.0
2647,3935,New Brunswick,Canada,2020-02-25,0.0,0.0
2648,3936,New Brunswick,Canada,2020-02-26,0.0,0.0
2649,3937,New Brunswick,Canada,2020-02-27,0.0,0.0
2650,3938,New Brunswick,Canada,2020-02-28,0.0,0.0
2651,3939,New Brunswick,Canada,2020-02-29,0.0,0.0
2652,3940,New Brunswick,Canada,2020-03-01,0.0,0.0
2653,3941,New Brunswick,Canada,2020-03-02,0.0,0.0
2654,3942,New Brunswick,Canada,2020-03-03,0.0,0.0
2655,3943,New Brunswick,Canada,2020-03-04,0.0,0.0
2656,3944,New Brunswick,Canada,2020-03-05,0.0,0.0
2657,3945,New Brunswick,Canada,2020-03-06,0.0,0.0
2658,3946,New Brunswick,Canada,2020-03-07,0.0,0.0
2659,3947,New Brunswick,Canada,2020-03-08,0.0,0.0
2660,3948,New Brunswick,Canada,2020-03-09,0.0,0.0
2661,3949,New Brunswick,Canada,2020-03-10,0.0,0.0
2662,3950,New Brunswick,Canada,2020-03-11,1.0,0.0
2663,3951,New Brunswick,Canada,2020-03-12,1.0,0.0
2664,3952,New Brunswick,Canada,2020-03-13,1.0,0.0
2665,3953,New Brunswick,Canada,2020-03-14,1.0,0.0
2666,3954,New Brunswick,Canada,2020-03-15,2.0,0.0
2667,3955,New Brunswick,Canada,2020-03-16,6.0,0.0
2668,3956,New Brunswick,Canada,2020-03-17,8.0,0.0
2669,3957,New Brunswick,Canada,2020-03-18,11.0,0.0
2670,3958,New Brunswick,Canada,2020-03-19,11.0,0.0
2671,3959,New Brunswick,Canada,2020-03-20,11.0,0.0
2672,3960,New Brunswick,Canada,2020-03-21,17.0,0.0
2673,3961,New Brunswick,Canada,2020-03-22,17.0,0.0
2674,3962,New Brunswick,Canada,2020-03-23,17.0,0.0
2675,3963,New Brunswick,Canada,2020-03-24,18.0,0.0
2676,3964,New Brunswick,Canada,2020-03-25,18.0,0.0
2677,3965,New Brunswick,Canada,2020-03-26,33.0,0.0
2678,3966,New Brunswick,Canada,2020-03-27,45.0,0.0
2679,3967,New Brunswick,Canada,2020-03-28,51.0,0.0
