,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
2747,4101,Nova Scotia,Canada,2020-01-22,0.0,0.0
2748,4102,Nova Scotia,Canada,2020-01-23,0.0,0.0
2749,4103,Nova Scotia,Canada,2020-01-24,0.0,0.0
2750,4104,Nova Scotia,Canada,2020-01-25,0.0,0.0
2751,4105,Nova Scotia,Canada,2020-01-26,0.0,0.0
2752,4106,Nova Scotia,Canada,2020-01-27,0.0,0.0
2753,4107,Nova Scotia,Canada,2020-01-28,0.0,0.0
2754,4108,Nova Scotia,Canada,2020-01-29,0.0,0.0
2755,4109,Nova Scotia,Canada,2020-01-30,0.0,0.0
2756,4110,Nova Scotia,Canada,2020-01-31,0.0,0.0
2757,4111,Nova Scotia,Canada,2020-02-01,0.0,0.0
2758,4112,Nova Scotia,Canada,2020-02-02,0.0,0.0
2759,4113,Nova Scotia,Canada,2020-02-03,0.0,0.0
2760,4114,Nova Scotia,Canada,2020-02-04,0.0,0.0
2761,4115,Nova Scotia,Canada,2020-02-05,0.0,0.0
2762,4116,Nova Scotia,Canada,2020-02-06,0.0,0.0
2763,4117,Nova Scotia,Canada,2020-02-07,0.0,0.0
2764,4118,Nova Scotia,Canada,2020-02-08,0.0,0.0
2765,4119,Nova Scotia,Canada,2020-02-09,0.0,0.0
2766,4120,Nova Scotia,Canada,2020-02-10,0.0,0.0
2767,4121,Nova Scotia,Canada,2020-02-11,0.0,0.0
2768,4122,Nova Scotia,Canada,2020-02-12,0.0,0.0
2769,4123,Nova Scotia,Canada,2020-02-13,0.0,0.0
2770,4124,Nova Scotia,Canada,2020-02-14,0.0,0.0
2771,4125,Nova Scotia,Canada,2020-02-15,0.0,0.0
2772,4126,Nova Scotia,Canada,2020-02-16,0.0,0.0
2773,4127,Nova Scotia,Canada,2020-02-17,0.0,0.0
2774,4128,Nova Scotia,Canada,2020-02-18,0.0,0.0
2775,4129,Nova Scotia,Canada,2020-02-19,0.0,0.0
2776,4130,Nova Scotia,Canada,2020-02-20,0.0,0.0
2777,4131,Nova Scotia,Canada,2020-02-21,0.0,0.0
2778,4132,Nova Scotia,Canada,2020-02-22,0.0,0.0
2779,4133,Nova Scotia,Canada,2020-02-23,0.0,0.0
2780,4134,Nova Scotia,Canada,2020-02-24,0.0,0.0
2781,4135,Nova Scotia,Canada,2020-02-25,0.0,0.0
2782,4136,Nova Scotia,Canada,2020-02-26,0.0,0.0
2783,4137,Nova Scotia,Canada,2020-02-27,0.0,0.0
2784,4138,Nova Scotia,Canada,2020-02-28,0.0,0.0
2785,4139,Nova Scotia,Canada,2020-02-29,0.0,0.0
2786,4140,Nova Scotia,Canada,2020-03-01,0.0,0.0
2787,4141,Nova Scotia,Canada,2020-03-02,0.0,0.0
2788,4142,Nova Scotia,Canada,2020-03-03,0.0,0.0
2789,4143,Nova Scotia,Canada,2020-03-04,0.0,0.0
2790,4144,Nova Scotia,Canada,2020-03-05,0.0,0.0
2791,4145,Nova Scotia,Canada,2020-03-06,0.0,0.0
2792,4146,Nova Scotia,Canada,2020-03-07,0.0,0.0
2793,4147,Nova Scotia,Canada,2020-03-08,0.0,0.0
2794,4148,Nova Scotia,Canada,2020-03-09,0.0,0.0
2795,4149,Nova Scotia,Canada,2020-03-10,0.0,0.0
2796,4150,Nova Scotia,Canada,2020-03-11,0.0,0.0
2797,4151,Nova Scotia,Canada,2020-03-12,0.0,0.0
2798,4152,Nova Scotia,Canada,2020-03-13,0.0,0.0
2799,4153,Nova Scotia,Canada,2020-03-14,0.0,0.0
2800,4154,Nova Scotia,Canada,2020-03-15,0.0,0.0
2801,4155,Nova Scotia,Canada,2020-03-16,5.0,0.0
2802,4156,Nova Scotia,Canada,2020-03-17,7.0,0.0
2803,4157,Nova Scotia,Canada,2020-03-18,12.0,0.0
2804,4158,Nova Scotia,Canada,2020-03-19,14.0,0.0
2805,4159,Nova Scotia,Canada,2020-03-20,15.0,0.0
2806,4160,Nova Scotia,Canada,2020-03-21,21.0,0.0
2807,4161,Nova Scotia,Canada,2020-03-22,28.0,0.0
2808,4162,Nova Scotia,Canada,2020-03-23,41.0,0.0
2809,4163,Nova Scotia,Canada,2020-03-24,51.0,0.0
2810,4164,Nova Scotia,Canada,2020-03-25,68.0,0.0
2811,4165,Nova Scotia,Canada,2020-03-26,73.0,0.0
2812,4166,Nova Scotia,Canada,2020-03-27,90.0,0.0
2813,4167,Nova Scotia,Canada,2020-03-28,110.0,0.0
