,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
3082,4601,,Central African Republic,2020-01-22,0.0,0.0
3083,4602,,Central African Republic,2020-01-23,0.0,0.0
3084,4603,,Central African Republic,2020-01-24,0.0,0.0
3085,4604,,Central African Republic,2020-01-25,0.0,0.0
3086,4605,,Central African Republic,2020-01-26,0.0,0.0
3087,4606,,Central African Republic,2020-01-27,0.0,0.0
3088,4607,,Central African Republic,2020-01-28,0.0,0.0
3089,4608,,Central African Republic,2020-01-29,0.0,0.0
3090,4609,,Central African Republic,2020-01-30,0.0,0.0
3091,4610,,Central African Republic,2020-01-31,0.0,0.0
3092,4611,,Central African Republic,2020-02-01,0.0,0.0
3093,4612,,Central African Republic,2020-02-02,0.0,0.0
3094,4613,,Central African Republic,2020-02-03,0.0,0.0
3095,4614,,Central African Republic,2020-02-04,0.0,0.0
3096,4615,,Central African Republic,2020-02-05,0.0,0.0
3097,4616,,Central African Republic,2020-02-06,0.0,0.0
3098,4617,,Central African Republic,2020-02-07,0.0,0.0
3099,4618,,Central African Republic,2020-02-08,0.0,0.0
3100,4619,,Central African Republic,2020-02-09,0.0,0.0
3101,4620,,Central African Republic,2020-02-10,0.0,0.0
3102,4621,,Central African Republic,2020-02-11,0.0,0.0
3103,4622,,Central African Republic,2020-02-12,0.0,0.0
3104,4623,,Central African Republic,2020-02-13,0.0,0.0
3105,4624,,Central African Republic,2020-02-14,0.0,0.0
3106,4625,,Central African Republic,2020-02-15,0.0,0.0
3107,4626,,Central African Republic,2020-02-16,0.0,0.0
3108,4627,,Central African Republic,2020-02-17,0.0,0.0
3109,4628,,Central African Republic,2020-02-18,0.0,0.0
3110,4629,,Central African Republic,2020-02-19,0.0,0.0
3111,4630,,Central African Republic,2020-02-20,0.0,0.0
3112,4631,,Central African Republic,2020-02-21,0.0,0.0
3113,4632,,Central African Republic,2020-02-22,0.0,0.0
3114,4633,,Central African Republic,2020-02-23,0.0,0.0
3115,4634,,Central African Republic,2020-02-24,0.0,0.0
3116,4635,,Central African Republic,2020-02-25,0.0,0.0
3117,4636,,Central African Republic,2020-02-26,0.0,0.0
3118,4637,,Central African Republic,2020-02-27,0.0,0.0
3119,4638,,Central African Republic,2020-02-28,0.0,0.0
3120,4639,,Central African Republic,2020-02-29,0.0,0.0
3121,4640,,Central African Republic,2020-03-01,0.0,0.0
3122,4641,,Central African Republic,2020-03-02,0.0,0.0
3123,4642,,Central African Republic,2020-03-03,0.0,0.0
3124,4643,,Central African Republic,2020-03-04,0.0,0.0
3125,4644,,Central African Republic,2020-03-05,0.0,0.0
3126,4645,,Central African Republic,2020-03-06,0.0,0.0
3127,4646,,Central African Republic,2020-03-07,0.0,0.0
3128,4647,,Central African Republic,2020-03-08,0.0,0.0
3129,4648,,Central African Republic,2020-03-09,0.0,0.0
3130,4649,,Central African Republic,2020-03-10,0.0,0.0
3131,4650,,Central African Republic,2020-03-11,0.0,0.0
3132,4651,,Central African Republic,2020-03-12,0.0,0.0
3133,4652,,Central African Republic,2020-03-13,0.0,0.0
3134,4653,,Central African Republic,2020-03-14,0.0,0.0
3135,4654,,Central African Republic,2020-03-15,1.0,0.0
3136,4655,,Central African Republic,2020-03-16,1.0,0.0
3137,4656,,Central African Republic,2020-03-17,1.0,0.0
3138,4657,,Central African Republic,2020-03-18,1.0,0.0
3139,4658,,Central African Republic,2020-03-19,1.0,0.0
3140,4659,,Central African Republic,2020-03-20,3.0,0.0
3141,4660,,Central African Republic,2020-03-21,3.0,0.0
3142,4661,,Central African Republic,2020-03-22,3.0,0.0
3143,4662,,Central African Republic,2020-03-23,3.0,0.0
3144,4663,,Central African Republic,2020-03-24,3.0,0.0
3145,4664,,Central African Republic,2020-03-25,3.0,0.0
3146,4665,,Central African Republic,2020-03-26,3.0,0.0
3147,4666,,Central African Republic,2020-03-27,3.0,0.0
3148,4667,,Central African Republic,2020-03-28,3.0,0.0
