,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
3283,4901,Anhui,China,2020-01-22,1.0,0.0
3284,4902,Anhui,China,2020-01-23,9.0,0.0
3285,4903,Anhui,China,2020-01-24,15.0,0.0
3286,4904,Anhui,China,2020-01-25,39.0,0.0
3287,4905,Anhui,China,2020-01-26,60.0,0.0
3288,4906,Anhui,China,2020-01-27,70.0,0.0
3289,4907,Anhui,China,2020-01-28,106.0,0.0
3290,4908,Anhui,China,2020-01-29,152.0,0.0
3291,4909,Anhui,China,2020-01-30,200.0,0.0
3292,4910,Anhui,China,2020-01-31,237.0,0.0
3293,4911,Anhui,China,2020-02-01,297.0,0.0
3294,4912,Anhui,China,2020-02-02,340.0,0.0
3295,4913,Anhui,China,2020-02-03,408.0,0.0
3296,4914,Anhui,China,2020-02-04,480.0,0.0
3297,4915,Anhui,China,2020-02-05,530.0,0.0
3298,4916,Anhui,China,2020-02-06,591.0,0.0
3299,4917,Anhui,China,2020-02-07,665.0,0.0
3300,4918,Anhui,China,2020-02-08,733.0,0.0
3301,4919,Anhui,China,2020-02-09,779.0,1.0
3302,4920,Anhui,China,2020-02-10,830.0,3.0
3303,4921,Anhui,China,2020-02-11,860.0,4.0
3304,4922,Anhui,China,2020-02-12,889.0,4.0
3305,4923,Anhui,China,2020-02-13,910.0,5.0
3306,4924,Anhui,China,2020-02-14,934.0,6.0
3307,4925,Anhui,China,2020-02-15,950.0,6.0
3308,4926,Anhui,China,2020-02-16,962.0,6.0
3309,4927,Anhui,China,2020-02-17,973.0,6.0
3310,4928,Anhui,China,2020-02-18,982.0,6.0
3311,4929,Anhui,China,2020-02-19,986.0,6.0
3312,4930,Anhui,China,2020-02-20,987.0,6.0
3313,4931,Anhui,China,2020-02-21,988.0,6.0
3314,4932,Anhui,China,2020-02-22,989.0,6.0
3315,4933,Anhui,China,2020-02-23,989.0,6.0
3316,4934,Anhui,China,2020-02-24,989.0,6.0
3317,4935,Anhui,China,2020-02-25,989.0,6.0
3318,4936,Anhui,China,2020-02-26,989.0,6.0
3319,4937,Anhui,China,2020-02-27,989.0,6.0
3320,4938,Anhui,China,2020-02-28,990.0,6.0
3321,4939,Anhui,China,2020-02-29,990.0,6.0
3322,4940,Anhui,China,2020-03-01,990.0,6.0
3323,4941,Anhui,China,2020-03-02,990.0,6.0
3324,4942,Anhui,China,2020-03-03,990.0,6.0
3325,4943,Anhui,China,2020-03-04,990.0,6.0
3326,4944,Anhui,China,2020-03-05,990.0,6.0
3327,4945,Anhui,China,2020-03-06,990.0,6.0
3328,4946,Anhui,China,2020-03-07,990.0,6.0
3329,4947,Anhui,China,2020-03-08,990.0,6.0
3330,4948,Anhui,China,2020-03-09,990.0,6.0
3331,4949,Anhui,China,2020-03-10,990.0,6.0
3332,4950,Anhui,China,2020-03-11,990.0,6.0
3333,4951,Anhui,China,2020-03-12,990.0,6.0
3334,4952,Anhui,China,2020-03-13,990.0,6.0
3335,4953,Anhui,China,2020-03-14,990.0,6.0
3336,4954,Anhui,China,2020-03-15,990.0,6.0
3337,4955,Anhui,China,2020-03-16,990.0,6.0
3338,4956,Anhui,China,2020-03-17,990.0,6.0
3339,4957,Anhui,China,2020-03-18,990.0,6.0
3340,4958,Anhui,China,2020-03-19,990.0,6.0
3341,4959,Anhui,China,2020-03-20,990.0,6.0
3342,4960,Anhui,China,2020-03-21,990.0,6.0
3343,4961,Anhui,China,2020-03-22,990.0,6.0
3344,4962,Anhui,China,2020-03-23,990.0,6.0
3345,4963,Anhui,China,2020-03-24,990.0,6.0
3346,4964,Anhui,China,2020-03-25,990.0,6.0
3347,4965,Anhui,China,2020-03-26,990.0,6.0
3348,4966,Anhui,China,2020-03-27,990.0,6.0
3349,4967,Anhui,China,2020-03-28,990.0,6.0
