,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
3752,5601,Guizhou,China,2020-01-22,1.0,0.0
3753,5602,Guizhou,China,2020-01-23,3.0,0.0
3754,5603,Guizhou,China,2020-01-24,3.0,0.0
3755,5604,Guizhou,China,2020-01-25,4.0,0.0
3756,5605,Guizhou,China,2020-01-26,5.0,0.0
3757,5606,Guizhou,China,2020-01-27,7.0,0.0
3758,5607,Guizhou,China,2020-01-28,9.0,0.0
3759,5608,Guizhou,China,2020-01-29,9.0,0.0
3760,5609,Guizhou,China,2020-01-30,12.0,0.0
3761,5610,Guizhou,China,2020-01-31,29.0,0.0
3762,5611,Guizhou,China,2020-02-01,29.0,0.0
3763,5612,Guizhou,China,2020-02-02,38.0,0.0
3764,5613,Guizhou,China,2020-02-03,46.0,0.0
3765,5614,Guizhou,China,2020-02-04,58.0,0.0
3766,5615,Guizhou,China,2020-02-05,64.0,1.0
3767,5616,Guizhou,China,2020-02-06,71.0,1.0
3768,5617,Guizhou,China,2020-02-07,81.0,1.0
3769,5618,Guizhou,China,2020-02-08,89.0,1.0
3770,5619,Guizhou,China,2020-02-09,99.0,1.0
3771,5620,Guizhou,China,2020-02-10,109.0,1.0
3772,5621,Guizhou,China,2020-02-11,127.0,1.0
3773,5622,Guizhou,China,2020-02-12,133.0,1.0
3774,5623,Guizhou,China,2020-02-13,135.0,1.0
3775,5624,Guizhou,China,2020-02-14,140.0,1.0
3776,5625,Guizhou,China,2020-02-15,143.0,1.0
3777,5626,Guizhou,China,2020-02-16,144.0,1.0
3778,5627,Guizhou,China,2020-02-17,146.0,1.0
3779,5628,Guizhou,China,2020-02-18,146.0,2.0
3780,5629,Guizhou,China,2020-02-19,146.0,2.0
3781,5630,Guizhou,China,2020-02-20,146.0,2.0
3782,5631,Guizhou,China,2020-02-21,146.0,2.0
3783,5632,Guizhou,China,2020-02-22,146.0,2.0
3784,5633,Guizhou,China,2020-02-23,146.0,2.0
3785,5634,Guizhou,China,2020-02-24,146.0,2.0
3786,5635,Guizhou,China,2020-02-25,146.0,2.0
3787,5636,Guizhou,China,2020-02-26,146.0,2.0
3788,5637,Guizhou,China,2020-02-27,146.0,2.0
3789,5638,Guizhou,China,2020-02-28,146.0,2.0
3790,5639,Guizhou,China,2020-02-29,146.0,2.0
3791,5640,Guizhou,China,2020-03-01,146.0,2.0
3792,5641,Guizhou,China,2020-03-02,146.0,2.0
3793,5642,Guizhou,China,2020-03-03,146.0,2.0
3794,5643,Guizhou,China,2020-03-04,146.0,2.0
3795,5644,Guizhou,China,2020-03-05,146.0,2.0
3796,5645,Guizhou,China,2020-03-06,146.0,2.0
3797,5646,Guizhou,China,2020-03-07,146.0,2.0
3798,5647,Guizhou,China,2020-03-08,146.0,2.0
3799,5648,Guizhou,China,2020-03-09,146.0,2.0
3800,5649,Guizhou,China,2020-03-10,146.0,2.0
3801,5650,Guizhou,China,2020-03-11,146.0,2.0
3802,5651,Guizhou,China,2020-03-12,146.0,2.0
3803,5652,Guizhou,China,2020-03-13,146.0,2.0
3804,5653,Guizhou,China,2020-03-14,146.0,2.0
3805,5654,Guizhou,China,2020-03-15,146.0,2.0
3806,5655,Guizhou,China,2020-03-16,146.0,2.0
3807,5656,Guizhou,China,2020-03-17,147.0,2.0
3808,5657,Guizhou,China,2020-03-18,146.0,2.0
3809,5658,Guizhou,China,2020-03-19,146.0,2.0
3810,5659,Guizhou,China,2020-03-20,146.0,2.0
3811,5660,Guizhou,China,2020-03-21,146.0,2.0
3812,5661,Guizhou,China,2020-03-22,146.0,2.0
3813,5662,Guizhou,China,2020-03-23,146.0,2.0
3814,5663,Guizhou,China,2020-03-24,146.0,2.0
3815,5664,Guizhou,China,2020-03-25,146.0,2.0
3816,5665,Guizhou,China,2020-03-26,146.0,2.0
3817,5666,Guizhou,China,2020-03-27,146.0,2.0
3818,5667,Guizhou,China,2020-03-28,146.0,2.0
