,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
3819,5701,Hainan,China,2020-01-22,4.0,0.0
3820,5702,Hainan,China,2020-01-23,5.0,0.0
3821,5703,Hainan,China,2020-01-24,8.0,0.0
3822,5704,Hainan,China,2020-01-25,19.0,0.0
3823,5705,Hainan,China,2020-01-26,22.0,0.0
3824,5706,Hainan,China,2020-01-27,33.0,1.0
3825,5707,Hainan,China,2020-01-28,40.0,1.0
3826,5708,Hainan,China,2020-01-29,43.0,1.0
3827,5709,Hainan,China,2020-01-30,46.0,1.0
3828,5710,Hainan,China,2020-01-31,52.0,1.0
3829,5711,Hainan,China,2020-02-01,62.0,1.0
3830,5712,Hainan,China,2020-02-02,64.0,1.0
3831,5713,Hainan,China,2020-02-03,72.0,1.0
3832,5714,Hainan,China,2020-02-04,80.0,1.0
3833,5715,Hainan,China,2020-02-05,99.0,1.0
3834,5716,Hainan,China,2020-02-06,106.0,1.0
3835,5717,Hainan,China,2020-02-07,117.0,2.0
3836,5718,Hainan,China,2020-02-08,124.0,2.0
3837,5719,Hainan,China,2020-02-09,131.0,3.0
3838,5720,Hainan,China,2020-02-10,138.0,3.0
3839,5721,Hainan,China,2020-02-11,144.0,3.0
3840,5722,Hainan,China,2020-02-12,157.0,4.0
3841,5723,Hainan,China,2020-02-13,157.0,4.0
3842,5724,Hainan,China,2020-02-14,159.0,4.0
3843,5725,Hainan,China,2020-02-15,162.0,4.0
3844,5726,Hainan,China,2020-02-16,162.0,4.0
3845,5727,Hainan,China,2020-02-17,163.0,4.0
3846,5728,Hainan,China,2020-02-18,163.0,4.0
3847,5729,Hainan,China,2020-02-19,168.0,4.0
3848,5730,Hainan,China,2020-02-20,168.0,4.0
3849,5731,Hainan,China,2020-02-21,168.0,4.0
3850,5732,Hainan,China,2020-02-22,168.0,4.0
3851,5733,Hainan,China,2020-02-23,168.0,5.0
3852,5734,Hainan,China,2020-02-24,168.0,5.0
3853,5735,Hainan,China,2020-02-25,168.0,5.0
3854,5736,Hainan,China,2020-02-26,168.0,5.0
3855,5737,Hainan,China,2020-02-27,168.0,5.0
3856,5738,Hainan,China,2020-02-28,168.0,5.0
3857,5739,Hainan,China,2020-02-29,168.0,5.0
3858,5740,Hainan,China,2020-03-01,168.0,5.0
3859,5741,Hainan,China,2020-03-02,168.0,5.0
3860,5742,Hainan,China,2020-03-03,168.0,5.0
3861,5743,Hainan,China,2020-03-04,168.0,5.0
3862,5744,Hainan,China,2020-03-05,168.0,6.0
3863,5745,Hainan,China,2020-03-06,168.0,6.0
3864,5746,Hainan,China,2020-03-07,168.0,6.0
3865,5747,Hainan,China,2020-03-08,168.0,6.0
3866,5748,Hainan,China,2020-03-09,168.0,6.0
3867,5749,Hainan,China,2020-03-10,168.0,6.0
3868,5750,Hainan,China,2020-03-11,168.0,6.0
3869,5751,Hainan,China,2020-03-12,168.0,6.0
3870,5752,Hainan,China,2020-03-13,168.0,6.0
3871,5753,Hainan,China,2020-03-14,168.0,6.0
3872,5754,Hainan,China,2020-03-15,168.0,6.0
3873,5755,Hainan,China,2020-03-16,168.0,6.0
3874,5756,Hainan,China,2020-03-17,168.0,6.0
3875,5757,Hainan,China,2020-03-18,168.0,6.0
3876,5758,Hainan,China,2020-03-19,168.0,6.0
3877,5759,Hainan,China,2020-03-20,168.0,6.0
3878,5760,Hainan,China,2020-03-21,168.0,6.0
3879,5761,Hainan,China,2020-03-22,168.0,6.0
3880,5762,Hainan,China,2020-03-23,168.0,6.0
3881,5763,Hainan,China,2020-03-24,168.0,6.0
3882,5764,Hainan,China,2020-03-25,168.0,6.0
3883,5765,Hainan,China,2020-03-26,168.0,6.0
3884,5766,Hainan,China,2020-03-27,168.0,6.0
3885,5767,Hainan,China,2020-03-28,168.0,6.0
