,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
4020,6001,Henan,China,2020-01-22,5.0,0.0
4021,6002,Henan,China,2020-01-23,5.0,0.0
4022,6003,Henan,China,2020-01-24,9.0,0.0
4023,6004,Henan,China,2020-01-25,32.0,0.0
4024,6005,Henan,China,2020-01-26,83.0,1.0
4025,6006,Henan,China,2020-01-27,128.0,1.0
4026,6007,Henan,China,2020-01-28,168.0,1.0
4027,6008,Henan,China,2020-01-29,206.0,2.0
4028,6009,Henan,China,2020-01-30,278.0,2.0
4029,6010,Henan,China,2020-01-31,352.0,2.0
4030,6011,Henan,China,2020-02-01,422.0,2.0
4031,6012,Henan,China,2020-02-02,493.0,2.0
4032,6013,Henan,China,2020-02-03,566.0,2.0
4033,6014,Henan,China,2020-02-04,675.0,2.0
4034,6015,Henan,China,2020-02-05,764.0,2.0
4035,6016,Henan,China,2020-02-06,851.0,2.0
4036,6017,Henan,China,2020-02-07,914.0,3.0
4037,6018,Henan,China,2020-02-08,981.0,4.0
4038,6019,Henan,China,2020-02-09,1033.0,6.0
4039,6020,Henan,China,2020-02-10,1073.0,6.0
4040,6021,Henan,China,2020-02-11,1105.0,7.0
4041,6022,Henan,China,2020-02-12,1135.0,8.0
4042,6023,Henan,China,2020-02-13,1169.0,10.0
4043,6024,Henan,China,2020-02-14,1184.0,11.0
4044,6025,Henan,China,2020-02-15,1212.0,13.0
4045,6026,Henan,China,2020-02-16,1231.0,13.0
4046,6027,Henan,China,2020-02-17,1246.0,16.0
4047,6028,Henan,China,2020-02-18,1257.0,19.0
4048,6029,Henan,China,2020-02-19,1262.0,19.0
4049,6030,Henan,China,2020-02-20,1265.0,19.0
4050,6031,Henan,China,2020-02-21,1267.0,19.0
4051,6032,Henan,China,2020-02-22,1270.0,19.0
4052,6033,Henan,China,2020-02-23,1271.0,19.0
4053,6034,Henan,China,2020-02-24,1271.0,19.0
4054,6035,Henan,China,2020-02-25,1271.0,19.0
4055,6036,Henan,China,2020-02-26,1271.0,19.0
4056,6037,Henan,China,2020-02-27,1272.0,20.0
4057,6038,Henan,China,2020-02-28,1272.0,20.0
4058,6039,Henan,China,2020-02-29,1272.0,21.0
4059,6040,Henan,China,2020-03-01,1272.0,22.0
4060,6041,Henan,China,2020-03-02,1272.0,22.0
4061,6042,Henan,China,2020-03-03,1272.0,22.0
4062,6043,Henan,China,2020-03-04,1272.0,22.0
4063,6044,Henan,China,2020-03-05,1272.0,22.0
4064,6045,Henan,China,2020-03-06,1272.0,22.0
4065,6046,Henan,China,2020-03-07,1272.0,22.0
4066,6047,Henan,China,2020-03-08,1272.0,22.0
4067,6048,Henan,China,2020-03-09,1272.0,22.0
4068,6049,Henan,China,2020-03-10,1272.0,22.0
4069,6050,Henan,China,2020-03-11,1273.0,22.0
4070,6051,Henan,China,2020-03-12,1273.0,22.0
4071,6052,Henan,China,2020-03-13,1273.0,22.0
4072,6053,Henan,China,2020-03-14,1273.0,22.0
4073,6054,Henan,China,2020-03-15,1273.0,22.0
4074,6055,Henan,China,2020-03-16,1273.0,22.0
4075,6056,Henan,China,2020-03-17,1273.0,22.0
4076,6057,Henan,China,2020-03-18,1273.0,22.0
4077,6058,Henan,China,2020-03-19,1273.0,22.0
4078,6059,Henan,China,2020-03-20,1273.0,22.0
4079,6060,Henan,China,2020-03-21,1273.0,22.0
4080,6061,Henan,China,2020-03-22,1274.0,22.0
4081,6062,Henan,China,2020-03-23,1274.0,22.0
4082,6063,Henan,China,2020-03-24,1274.0,22.0
4083,6064,Henan,China,2020-03-25,1274.0,22.0
4084,6065,Henan,China,2020-03-26,1275.0,22.0
4085,6066,Henan,China,2020-03-27,1275.0,22.0
4086,6067,Henan,China,2020-03-28,1275.0,22.0
