,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
4288,6401,Inner Mongolia,China,2020-01-22,0.0,0.0
4289,6402,Inner Mongolia,China,2020-01-23,0.0,0.0
4290,6403,Inner Mongolia,China,2020-01-24,1.0,0.0
4291,6404,Inner Mongolia,China,2020-01-25,7.0,0.0
4292,6405,Inner Mongolia,China,2020-01-26,7.0,0.0
4293,6406,Inner Mongolia,China,2020-01-27,11.0,0.0
4294,6407,Inner Mongolia,China,2020-01-28,15.0,0.0
4295,6408,Inner Mongolia,China,2020-01-29,16.0,0.0
4296,6409,Inner Mongolia,China,2020-01-30,19.0,0.0
4297,6410,Inner Mongolia,China,2020-01-31,20.0,0.0
4298,6411,Inner Mongolia,China,2020-02-01,23.0,0.0
4299,6412,Inner Mongolia,China,2020-02-02,27.0,0.0
4300,6413,Inner Mongolia,China,2020-02-03,34.0,0.0
4301,6414,Inner Mongolia,China,2020-02-04,35.0,0.0
4302,6415,Inner Mongolia,China,2020-02-05,42.0,0.0
4303,6416,Inner Mongolia,China,2020-02-06,46.0,0.0
4304,6417,Inner Mongolia,China,2020-02-07,50.0,0.0
4305,6418,Inner Mongolia,China,2020-02-08,52.0,0.0
4306,6419,Inner Mongolia,China,2020-02-09,54.0,0.0
4307,6420,Inner Mongolia,China,2020-02-10,58.0,0.0
4308,6421,Inner Mongolia,China,2020-02-11,58.0,0.0
4309,6422,Inner Mongolia,China,2020-02-12,60.0,0.0
4310,6423,Inner Mongolia,China,2020-02-13,61.0,0.0
4311,6424,Inner Mongolia,China,2020-02-14,65.0,0.0
4312,6425,Inner Mongolia,China,2020-02-15,68.0,0.0
4313,6426,Inner Mongolia,China,2020-02-16,70.0,0.0
4314,6427,Inner Mongolia,China,2020-02-17,72.0,0.0
4315,6428,Inner Mongolia,China,2020-02-18,73.0,0.0
4316,6429,Inner Mongolia,China,2020-02-19,75.0,0.0
4317,6430,Inner Mongolia,China,2020-02-20,75.0,0.0
4318,6431,Inner Mongolia,China,2020-02-21,75.0,0.0
4319,6432,Inner Mongolia,China,2020-02-22,75.0,0.0
4320,6433,Inner Mongolia,China,2020-02-23,75.0,0.0
4321,6434,Inner Mongolia,China,2020-02-24,75.0,0.0
4322,6435,Inner Mongolia,China,2020-02-25,75.0,0.0
4323,6436,Inner Mongolia,China,2020-02-26,75.0,0.0
4324,6437,Inner Mongolia,China,2020-02-27,75.0,0.0
4325,6438,Inner Mongolia,China,2020-02-28,75.0,0.0
4326,6439,Inner Mongolia,China,2020-02-29,75.0,0.0
4327,6440,Inner Mongolia,China,2020-03-01,75.0,0.0
4328,6441,Inner Mongolia,China,2020-03-02,75.0,0.0
4329,6442,Inner Mongolia,China,2020-03-03,75.0,1.0
4330,6443,Inner Mongolia,China,2020-03-04,75.0,1.0
4331,6444,Inner Mongolia,China,2020-03-05,75.0,1.0
4332,6445,Inner Mongolia,China,2020-03-06,75.0,1.0
4333,6446,Inner Mongolia,China,2020-03-07,75.0,1.0
4334,6447,Inner Mongolia,China,2020-03-08,75.0,1.0
4335,6448,Inner Mongolia,China,2020-03-09,75.0,1.0
4336,6449,Inner Mongolia,China,2020-03-10,75.0,1.0
4337,6450,Inner Mongolia,China,2020-03-11,75.0,1.0
4338,6451,Inner Mongolia,China,2020-03-12,75.0,1.0
4339,6452,Inner Mongolia,China,2020-03-13,75.0,1.0
4340,6453,Inner Mongolia,China,2020-03-14,75.0,1.0
4341,6454,Inner Mongolia,China,2020-03-15,75.0,1.0
4342,6455,Inner Mongolia,China,2020-03-16,75.0,1.0
4343,6456,Inner Mongolia,China,2020-03-17,75.0,1.0
4344,6457,Inner Mongolia,China,2020-03-18,75.0,1.0
4345,6458,Inner Mongolia,China,2020-03-19,75.0,1.0
4346,6459,Inner Mongolia,China,2020-03-20,75.0,1.0
4347,6460,Inner Mongolia,China,2020-03-21,75.0,1.0
4348,6461,Inner Mongolia,China,2020-03-22,75.0,1.0
4349,6462,Inner Mongolia,China,2020-03-23,75.0,1.0
4350,6463,Inner Mongolia,China,2020-03-24,75.0,1.0
4351,6464,Inner Mongolia,China,2020-03-25,77.0,1.0
4352,6465,Inner Mongolia,China,2020-03-26,89.0,1.0
4353,6466,Inner Mongolia,China,2020-03-27,92.0,1.0
4354,6467,Inner Mongolia,China,2020-03-28,94.0,1.0
