,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
4355,6501,Jiangsu,China,2020-01-22,1.0,0.0
4356,6502,Jiangsu,China,2020-01-23,5.0,0.0
4357,6503,Jiangsu,China,2020-01-24,9.0,0.0
4358,6504,Jiangsu,China,2020-01-25,18.0,0.0
4359,6505,Jiangsu,China,2020-01-26,33.0,0.0
4360,6506,Jiangsu,China,2020-01-27,47.0,0.0
4361,6507,Jiangsu,China,2020-01-28,70.0,0.0
4362,6508,Jiangsu,China,2020-01-29,99.0,0.0
4363,6509,Jiangsu,China,2020-01-30,129.0,0.0
4364,6510,Jiangsu,China,2020-01-31,168.0,0.0
4365,6511,Jiangsu,China,2020-02-01,202.0,0.0
4366,6512,Jiangsu,China,2020-02-02,236.0,0.0
4367,6513,Jiangsu,China,2020-02-03,271.0,0.0
4368,6514,Jiangsu,China,2020-02-04,308.0,0.0
4369,6515,Jiangsu,China,2020-02-05,341.0,0.0
4370,6516,Jiangsu,China,2020-02-06,373.0,0.0
4371,6517,Jiangsu,China,2020-02-07,408.0,0.0
4372,6518,Jiangsu,China,2020-02-08,439.0,0.0
4373,6519,Jiangsu,China,2020-02-09,468.0,0.0
4374,6520,Jiangsu,China,2020-02-10,492.0,0.0
4375,6521,Jiangsu,China,2020-02-11,515.0,0.0
4376,6522,Jiangsu,China,2020-02-12,543.0,0.0
4377,6523,Jiangsu,China,2020-02-13,570.0,0.0
4378,6524,Jiangsu,China,2020-02-14,593.0,0.0
4379,6525,Jiangsu,China,2020-02-15,604.0,0.0
4380,6526,Jiangsu,China,2020-02-16,617.0,0.0
4381,6527,Jiangsu,China,2020-02-17,626.0,0.0
4382,6528,Jiangsu,China,2020-02-18,629.0,0.0
4383,6529,Jiangsu,China,2020-02-19,631.0,0.0
4384,6530,Jiangsu,China,2020-02-20,631.0,0.0
4385,6531,Jiangsu,China,2020-02-21,631.0,0.0
4386,6532,Jiangsu,China,2020-02-22,631.0,0.0
4387,6533,Jiangsu,China,2020-02-23,631.0,0.0
4388,6534,Jiangsu,China,2020-02-24,631.0,0.0
4389,6535,Jiangsu,China,2020-02-25,631.0,0.0
4390,6536,Jiangsu,China,2020-02-26,631.0,0.0
4391,6537,Jiangsu,China,2020-02-27,631.0,0.0
4392,6538,Jiangsu,China,2020-02-28,631.0,0.0
4393,6539,Jiangsu,China,2020-02-29,631.0,0.0
4394,6540,Jiangsu,China,2020-03-01,631.0,0.0
4395,6541,Jiangsu,China,2020-03-02,631.0,0.0
4396,6542,Jiangsu,China,2020-03-03,631.0,0.0
4397,6543,Jiangsu,China,2020-03-04,631.0,0.0
4398,6544,Jiangsu,China,2020-03-05,631.0,0.0
4399,6545,Jiangsu,China,2020-03-06,631.0,0.0
4400,6546,Jiangsu,China,2020-03-07,631.0,0.0
4401,6547,Jiangsu,China,2020-03-08,631.0,0.0
4402,6548,Jiangsu,China,2020-03-09,631.0,0.0
4403,6549,Jiangsu,China,2020-03-10,631.0,0.0
4404,6550,Jiangsu,China,2020-03-11,631.0,0.0
4405,6551,Jiangsu,China,2020-03-12,631.0,0.0
4406,6552,Jiangsu,China,2020-03-13,631.0,0.0
4407,6553,Jiangsu,China,2020-03-14,631.0,0.0
4408,6554,Jiangsu,China,2020-03-15,631.0,0.0
4409,6555,Jiangsu,China,2020-03-16,631.0,0.0
4410,6556,Jiangsu,China,2020-03-17,631.0,0.0
4411,6557,Jiangsu,China,2020-03-18,631.0,0.0
4412,6558,Jiangsu,China,2020-03-19,631.0,0.0
4413,6559,Jiangsu,China,2020-03-20,631.0,0.0
4414,6560,Jiangsu,China,2020-03-21,631.0,0.0
4415,6561,Jiangsu,China,2020-03-22,633.0,0.0
4416,6562,Jiangsu,China,2020-03-23,633.0,0.0
4417,6563,Jiangsu,China,2020-03-24,636.0,0.0
4418,6564,Jiangsu,China,2020-03-25,638.0,0.0
4419,6565,Jiangsu,China,2020-03-26,640.0,0.0
4420,6566,Jiangsu,China,2020-03-27,641.0,0.0
4421,6567,Jiangsu,China,2020-03-28,641.0,0.0
