,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
4556,6801,Liaoning,China,2020-01-22,2.0,0.0
4557,6802,Liaoning,China,2020-01-23,3.0,0.0
4558,6803,Liaoning,China,2020-01-24,4.0,0.0
4559,6804,Liaoning,China,2020-01-25,17.0,0.0
4560,6805,Liaoning,China,2020-01-26,21.0,0.0
4561,6806,Liaoning,China,2020-01-27,27.0,0.0
4562,6807,Liaoning,China,2020-01-28,34.0,0.0
4563,6808,Liaoning,China,2020-01-29,39.0,0.0
4564,6809,Liaoning,China,2020-01-30,41.0,0.0
4565,6810,Liaoning,China,2020-01-31,48.0,0.0
4566,6811,Liaoning,China,2020-02-01,64.0,0.0
4567,6812,Liaoning,China,2020-02-02,70.0,0.0
4568,6813,Liaoning,China,2020-02-03,74.0,0.0
4569,6814,Liaoning,China,2020-02-04,81.0,0.0
4570,6815,Liaoning,China,2020-02-05,89.0,0.0
4571,6816,Liaoning,China,2020-02-06,94.0,0.0
4572,6817,Liaoning,China,2020-02-07,99.0,0.0
4573,6818,Liaoning,China,2020-02-08,105.0,0.0
4574,6819,Liaoning,China,2020-02-09,107.0,0.0
4575,6820,Liaoning,China,2020-02-10,108.0,0.0
4576,6821,Liaoning,China,2020-02-11,111.0,0.0
4577,6822,Liaoning,China,2020-02-12,116.0,1.0
4578,6823,Liaoning,China,2020-02-13,117.0,1.0
4579,6824,Liaoning,China,2020-02-14,119.0,1.0
4580,6825,Liaoning,China,2020-02-15,119.0,1.0
4581,6826,Liaoning,China,2020-02-16,121.0,1.0
4582,6827,Liaoning,China,2020-02-17,121.0,1.0
4583,6828,Liaoning,China,2020-02-18,121.0,1.0
4584,6829,Liaoning,China,2020-02-19,121.0,1.0
4585,6830,Liaoning,China,2020-02-20,121.0,1.0
4586,6831,Liaoning,China,2020-02-21,121.0,1.0
4587,6832,Liaoning,China,2020-02-22,121.0,1.0
4588,6833,Liaoning,China,2020-02-23,121.0,1.0
4589,6834,Liaoning,China,2020-02-24,121.0,1.0
4590,6835,Liaoning,China,2020-02-25,121.0,1.0
4591,6836,Liaoning,China,2020-02-26,121.0,1.0
4592,6837,Liaoning,China,2020-02-27,121.0,1.0
4593,6838,Liaoning,China,2020-02-28,121.0,1.0
4594,6839,Liaoning,China,2020-02-29,121.0,1.0
4595,6840,Liaoning,China,2020-03-01,122.0,1.0
4596,6841,Liaoning,China,2020-03-02,122.0,1.0
4597,6842,Liaoning,China,2020-03-03,125.0,1.0
4598,6843,Liaoning,China,2020-03-04,125.0,1.0
4599,6844,Liaoning,China,2020-03-05,125.0,1.0
4600,6845,Liaoning,China,2020-03-06,125.0,1.0
4601,6846,Liaoning,China,2020-03-07,125.0,1.0
4602,6847,Liaoning,China,2020-03-08,125.0,1.0
4603,6848,Liaoning,China,2020-03-09,125.0,1.0
4604,6849,Liaoning,China,2020-03-10,125.0,1.0
4605,6850,Liaoning,China,2020-03-11,125.0,1.0
4606,6851,Liaoning,China,2020-03-12,125.0,1.0
4607,6852,Liaoning,China,2020-03-13,125.0,1.0
4608,6853,Liaoning,China,2020-03-14,125.0,1.0
4609,6854,Liaoning,China,2020-03-15,125.0,1.0
4610,6855,Liaoning,China,2020-03-16,125.0,1.0
4611,6856,Liaoning,China,2020-03-17,125.0,1.0
4612,6857,Liaoning,China,2020-03-18,125.0,1.0
4613,6858,Liaoning,China,2020-03-19,125.0,1.0
4614,6859,Liaoning,China,2020-03-20,126.0,2.0
4615,6860,Liaoning,China,2020-03-21,126.0,2.0
4616,6861,Liaoning,China,2020-03-22,127.0,2.0
4617,6862,Liaoning,China,2020-03-23,127.0,2.0
4618,6863,Liaoning,China,2020-03-24,127.0,2.0
4619,6864,Liaoning,China,2020-03-25,127.0,2.0
4620,6865,Liaoning,China,2020-03-26,128.0,2.0
4621,6866,Liaoning,China,2020-03-27,128.0,2.0
4622,6867,Liaoning,China,2020-03-28,132.0,2.0
