,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
4623,6901,Macau,China,2020-01-22,1.0,0.0
4624,6902,Macau,China,2020-01-23,2.0,0.0
4625,6903,Macau,China,2020-01-24,2.0,0.0
4626,6904,Macau,China,2020-01-25,2.0,0.0
4627,6905,Macau,China,2020-01-26,5.0,0.0
4628,6906,Macau,China,2020-01-27,6.0,0.0
4629,6907,Macau,China,2020-01-28,7.0,0.0
4630,6908,Macau,China,2020-01-29,7.0,0.0
4631,6909,Macau,China,2020-01-30,7.0,0.0
4632,6910,Macau,China,2020-01-31,7.0,0.0
4633,6911,Macau,China,2020-02-01,7.0,0.0
4634,6912,Macau,China,2020-02-02,8.0,0.0
4635,6913,Macau,China,2020-02-03,8.0,0.0
4636,6914,Macau,China,2020-02-04,10.0,0.0
4637,6915,Macau,China,2020-02-05,10.0,0.0
4638,6916,Macau,China,2020-02-06,10.0,0.0
4639,6917,Macau,China,2020-02-07,10.0,0.0
4640,6918,Macau,China,2020-02-08,10.0,0.0
4641,6919,Macau,China,2020-02-09,10.0,0.0
4642,6920,Macau,China,2020-02-10,10.0,0.0
4643,6921,Macau,China,2020-02-11,10.0,0.0
4644,6922,Macau,China,2020-02-12,10.0,0.0
4645,6923,Macau,China,2020-02-13,10.0,0.0
4646,6924,Macau,China,2020-02-14,10.0,0.0
4647,6925,Macau,China,2020-02-15,10.0,0.0
4648,6926,Macau,China,2020-02-16,10.0,0.0
4649,6927,Macau,China,2020-02-17,10.0,0.0
4650,6928,Macau,China,2020-02-18,10.0,0.0
4651,6929,Macau,China,2020-02-19,10.0,0.0
4652,6930,Macau,China,2020-02-20,10.0,0.0
4653,6931,Macau,China,2020-02-21,10.0,0.0
4654,6932,Macau,China,2020-02-22,10.0,0.0
4655,6933,Macau,China,2020-02-23,10.0,0.0
4656,6934,Macau,China,2020-02-24,10.0,0.0
4657,6935,Macau,China,2020-02-25,10.0,0.0
4658,6936,Macau,China,2020-02-26,10.0,0.0
4659,6937,Macau,China,2020-02-27,10.0,0.0
4660,6938,Macau,China,2020-02-28,10.0,0.0
4661,6939,Macau,China,2020-02-29,10.0,0.0
4662,6940,Macau,China,2020-03-01,10.0,0.0
4663,6941,Macau,China,2020-03-02,10.0,0.0
4664,6942,Macau,China,2020-03-03,10.0,0.0
4665,6943,Macau,China,2020-03-04,10.0,0.0
4666,6944,Macau,China,2020-03-05,10.0,0.0
4667,6945,Macau,China,2020-03-06,10.0,0.0
4668,6946,Macau,China,2020-03-07,10.0,0.0
4669,6947,Macau,China,2020-03-08,10.0,0.0
4670,6948,Macau,China,2020-03-09,10.0,0.0
4671,6949,Macau,China,2020-03-10,10.0,0.0
4672,6950,Macau,China,2020-03-11,10.0,0.0
4673,6951,Macau,China,2020-03-12,10.0,0.0
4674,6952,Macau,China,2020-03-13,10.0,0.0
4675,6953,Macau,China,2020-03-14,10.0,0.0
4676,6954,Macau,China,2020-03-15,10.0,0.0
4677,6955,Macau,China,2020-03-16,11.0,0.0
4678,6956,Macau,China,2020-03-17,12.0,0.0
4679,6957,Macau,China,2020-03-18,15.0,0.0
4680,6958,Macau,China,2020-03-19,17.0,0.0
4681,6959,Macau,China,2020-03-20,17.0,0.0
4682,6960,Macau,China,2020-03-21,18.0,0.0
4683,6961,Macau,China,2020-03-22,24.0,0.0
4684,6962,Macau,China,2020-03-23,24.0,0.0
4685,6963,Macau,China,2020-03-24,25.0,0.0
4686,6964,Macau,China,2020-03-25,30.0,0.0
4687,6965,Macau,China,2020-03-26,31.0,0.0
4688,6966,Macau,China,2020-03-27,33.0,0.0
4689,6967,Macau,China,2020-03-28,37.0,0.0
