,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
4690,7001,Ningxia,China,2020-01-22,1.0,0.0
4691,7002,Ningxia,China,2020-01-23,1.0,0.0
4692,7003,Ningxia,China,2020-01-24,2.0,0.0
4693,7004,Ningxia,China,2020-01-25,3.0,0.0
4694,7005,Ningxia,China,2020-01-26,4.0,0.0
4695,7006,Ningxia,China,2020-01-27,7.0,0.0
4696,7007,Ningxia,China,2020-01-28,11.0,0.0
4697,7008,Ningxia,China,2020-01-29,12.0,0.0
4698,7009,Ningxia,China,2020-01-30,17.0,0.0
4699,7010,Ningxia,China,2020-01-31,21.0,0.0
4700,7011,Ningxia,China,2020-02-01,26.0,0.0
4701,7012,Ningxia,China,2020-02-02,28.0,0.0
4702,7013,Ningxia,China,2020-02-03,31.0,0.0
4703,7014,Ningxia,China,2020-02-04,34.0,0.0
4704,7015,Ningxia,China,2020-02-05,34.0,0.0
4705,7016,Ningxia,China,2020-02-06,40.0,0.0
4706,7017,Ningxia,China,2020-02-07,43.0,0.0
4707,7018,Ningxia,China,2020-02-08,45.0,0.0
4708,7019,Ningxia,China,2020-02-09,45.0,0.0
4709,7020,Ningxia,China,2020-02-10,49.0,0.0
4710,7021,Ningxia,China,2020-02-11,53.0,0.0
4711,7022,Ningxia,China,2020-02-12,58.0,0.0
4712,7023,Ningxia,China,2020-02-13,64.0,0.0
4713,7024,Ningxia,China,2020-02-14,67.0,0.0
4714,7025,Ningxia,China,2020-02-15,70.0,0.0
4715,7026,Ningxia,China,2020-02-16,70.0,0.0
4716,7027,Ningxia,China,2020-02-17,70.0,0.0
4717,7028,Ningxia,China,2020-02-18,70.0,0.0
4718,7029,Ningxia,China,2020-02-19,71.0,0.0
4719,7030,Ningxia,China,2020-02-20,71.0,0.0
4720,7031,Ningxia,China,2020-02-21,71.0,0.0
4721,7032,Ningxia,China,2020-02-22,71.0,0.0
4722,7033,Ningxia,China,2020-02-23,71.0,0.0
4723,7034,Ningxia,China,2020-02-24,71.0,0.0
4724,7035,Ningxia,China,2020-02-25,71.0,0.0
4725,7036,Ningxia,China,2020-02-26,71.0,0.0
4726,7037,Ningxia,China,2020-02-27,72.0,0.0
4727,7038,Ningxia,China,2020-02-28,72.0,0.0
4728,7039,Ningxia,China,2020-02-29,73.0,0.0
4729,7040,Ningxia,China,2020-03-01,73.0,0.0
4730,7041,Ningxia,China,2020-03-02,74.0,0.0
4731,7042,Ningxia,China,2020-03-03,74.0,0.0
4732,7043,Ningxia,China,2020-03-04,75.0,0.0
4733,7044,Ningxia,China,2020-03-05,75.0,0.0
4734,7045,Ningxia,China,2020-03-06,75.0,0.0
4735,7046,Ningxia,China,2020-03-07,75.0,0.0
4736,7047,Ningxia,China,2020-03-08,75.0,0.0
4737,7048,Ningxia,China,2020-03-09,75.0,0.0
4738,7049,Ningxia,China,2020-03-10,75.0,0.0
4739,7050,Ningxia,China,2020-03-11,75.0,0.0
4740,7051,Ningxia,China,2020-03-12,75.0,0.0
4741,7052,Ningxia,China,2020-03-13,75.0,0.0
4742,7053,Ningxia,China,2020-03-14,75.0,0.0
4743,7054,Ningxia,China,2020-03-15,75.0,0.0
4744,7055,Ningxia,China,2020-03-16,75.0,0.0
4745,7056,Ningxia,China,2020-03-17,75.0,0.0
4746,7057,Ningxia,China,2020-03-18,75.0,0.0
4747,7058,Ningxia,China,2020-03-19,75.0,0.0
4748,7059,Ningxia,China,2020-03-20,75.0,0.0
4749,7060,Ningxia,China,2020-03-21,75.0,0.0
4750,7061,Ningxia,China,2020-03-22,75.0,0.0
4751,7062,Ningxia,China,2020-03-23,75.0,0.0
4752,7063,Ningxia,China,2020-03-24,75.0,0.0
4753,7064,Ningxia,China,2020-03-25,75.0,0.0
4754,7065,Ningxia,China,2020-03-26,75.0,0.0
4755,7066,Ningxia,China,2020-03-27,75.0,0.0
4756,7067,Ningxia,China,2020-03-28,75.0,0.0
