,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
5025,7501,Shanxi,China,2020-01-22,1.0,0.0
5026,7502,Shanxi,China,2020-01-23,1.0,0.0
5027,7503,Shanxi,China,2020-01-24,1.0,0.0
5028,7504,Shanxi,China,2020-01-25,6.0,0.0
5029,7505,Shanxi,China,2020-01-26,9.0,0.0
5030,7506,Shanxi,China,2020-01-27,13.0,0.0
5031,7507,Shanxi,China,2020-01-28,27.0,0.0
5032,7508,Shanxi,China,2020-01-29,27.0,0.0
5033,7509,Shanxi,China,2020-01-30,35.0,0.0
5034,7510,Shanxi,China,2020-01-31,39.0,0.0
5035,7511,Shanxi,China,2020-02-01,47.0,0.0
5036,7512,Shanxi,China,2020-02-02,66.0,0.0
5037,7513,Shanxi,China,2020-02-03,74.0,0.0
5038,7514,Shanxi,China,2020-02-04,81.0,0.0
5039,7515,Shanxi,China,2020-02-05,81.0,0.0
5040,7516,Shanxi,China,2020-02-06,96.0,0.0
5041,7517,Shanxi,China,2020-02-07,104.0,0.0
5042,7518,Shanxi,China,2020-02-08,115.0,0.0
5043,7519,Shanxi,China,2020-02-09,119.0,0.0
5044,7520,Shanxi,China,2020-02-10,119.0,0.0
5045,7521,Shanxi,China,2020-02-11,124.0,0.0
5046,7522,Shanxi,China,2020-02-12,126.0,0.0
5047,7523,Shanxi,China,2020-02-13,126.0,0.0
5048,7524,Shanxi,China,2020-02-14,127.0,0.0
5049,7525,Shanxi,China,2020-02-15,128.0,0.0
5050,7526,Shanxi,China,2020-02-16,129.0,0.0
5051,7527,Shanxi,China,2020-02-17,130.0,0.0
5052,7528,Shanxi,China,2020-02-18,131.0,0.0
5053,7529,Shanxi,China,2020-02-19,131.0,0.0
5054,7530,Shanxi,China,2020-02-20,132.0,0.0
5055,7531,Shanxi,China,2020-02-21,132.0,0.0
5056,7532,Shanxi,China,2020-02-22,132.0,0.0
5057,7533,Shanxi,China,2020-02-23,132.0,0.0
5058,7534,Shanxi,China,2020-02-24,133.0,0.0
5059,7535,Shanxi,China,2020-02-25,133.0,0.0
5060,7536,Shanxi,China,2020-02-26,133.0,0.0
5061,7537,Shanxi,China,2020-02-27,133.0,0.0
5062,7538,Shanxi,China,2020-02-28,133.0,0.0
5063,7539,Shanxi,China,2020-02-29,133.0,0.0
5064,7540,Shanxi,China,2020-03-01,133.0,0.0
5065,7541,Shanxi,China,2020-03-02,133.0,0.0
5066,7542,Shanxi,China,2020-03-03,133.0,0.0
5067,7543,Shanxi,China,2020-03-04,133.0,0.0
5068,7544,Shanxi,China,2020-03-05,133.0,0.0
5069,7545,Shanxi,China,2020-03-06,133.0,0.0
5070,7546,Shanxi,China,2020-03-07,133.0,0.0
5071,7547,Shanxi,China,2020-03-08,133.0,0.0
5072,7548,Shanxi,China,2020-03-09,133.0,0.0
5073,7549,Shanxi,China,2020-03-10,133.0,0.0
5074,7550,Shanxi,China,2020-03-11,133.0,0.0
5075,7551,Shanxi,China,2020-03-12,133.0,0.0
5076,7552,Shanxi,China,2020-03-13,133.0,0.0
5077,7553,Shanxi,China,2020-03-14,133.0,0.0
5078,7554,Shanxi,China,2020-03-15,133.0,0.0
5079,7555,Shanxi,China,2020-03-16,133.0,0.0
5080,7556,Shanxi,China,2020-03-17,133.0,0.0
5081,7557,Shanxi,China,2020-03-18,133.0,0.0
5082,7558,Shanxi,China,2020-03-19,133.0,0.0
5083,7559,Shanxi,China,2020-03-20,133.0,0.0
5084,7560,Shanxi,China,2020-03-21,133.0,0.0
5085,7561,Shanxi,China,2020-03-22,133.0,0.0
5086,7562,Shanxi,China,2020-03-23,134.0,0.0
5087,7563,Shanxi,China,2020-03-24,134.0,0.0
5088,7564,Shanxi,China,2020-03-25,134.0,0.0
5089,7565,Shanxi,China,2020-03-26,135.0,0.0
5090,7566,Shanxi,China,2020-03-27,135.0,0.0
5091,7567,Shanxi,China,2020-03-28,135.0,0.0
