,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
5092,7601,Sichuan,China,2020-01-22,5.0,0.0
5093,7602,Sichuan,China,2020-01-23,8.0,0.0
5094,7603,Sichuan,China,2020-01-24,15.0,0.0
5095,7604,Sichuan,China,2020-01-25,28.0,0.0
5096,7605,Sichuan,China,2020-01-26,44.0,0.0
5097,7606,Sichuan,China,2020-01-27,69.0,0.0
5098,7607,Sichuan,China,2020-01-28,90.0,0.0
5099,7608,Sichuan,China,2020-01-29,108.0,1.0
5100,7609,Sichuan,China,2020-01-30,142.0,1.0
5101,7610,Sichuan,China,2020-01-31,177.0,1.0
5102,7611,Sichuan,China,2020-02-01,207.0,1.0
5103,7612,Sichuan,China,2020-02-02,231.0,1.0
5104,7613,Sichuan,China,2020-02-03,254.0,1.0
5105,7614,Sichuan,China,2020-02-04,282.0,1.0
5106,7615,Sichuan,China,2020-02-05,301.0,1.0
5107,7616,Sichuan,China,2020-02-06,321.0,1.0
5108,7617,Sichuan,China,2020-02-07,344.0,1.0
5109,7618,Sichuan,China,2020-02-08,364.0,1.0
5110,7619,Sichuan,China,2020-02-09,386.0,1.0
5111,7620,Sichuan,China,2020-02-10,405.0,1.0
5112,7621,Sichuan,China,2020-02-11,417.0,1.0
5113,7622,Sichuan,China,2020-02-12,436.0,1.0
5114,7623,Sichuan,China,2020-02-13,451.0,1.0
5115,7624,Sichuan,China,2020-02-14,463.0,1.0
5116,7625,Sichuan,China,2020-02-15,470.0,1.0
5117,7626,Sichuan,China,2020-02-16,481.0,3.0
5118,7627,Sichuan,China,2020-02-17,495.0,3.0
5119,7628,Sichuan,China,2020-02-18,508.0,3.0
5120,7629,Sichuan,China,2020-02-19,514.0,3.0
5121,7630,Sichuan,China,2020-02-20,520.0,3.0
5122,7631,Sichuan,China,2020-02-21,525.0,3.0
5123,7632,Sichuan,China,2020-02-22,526.0,3.0
5124,7633,Sichuan,China,2020-02-23,526.0,3.0
5125,7634,Sichuan,China,2020-02-24,527.0,3.0
5126,7635,Sichuan,China,2020-02-25,529.0,3.0
5127,7636,Sichuan,China,2020-02-26,531.0,3.0
5128,7637,Sichuan,China,2020-02-27,534.0,3.0
5129,7638,Sichuan,China,2020-02-28,538.0,3.0
5130,7639,Sichuan,China,2020-02-29,538.0,3.0
5131,7640,Sichuan,China,2020-03-01,538.0,3.0
5132,7641,Sichuan,China,2020-03-02,538.0,3.0
5133,7642,Sichuan,China,2020-03-03,538.0,3.0
5134,7643,Sichuan,China,2020-03-04,538.0,3.0
5135,7644,Sichuan,China,2020-03-05,539.0,3.0
5136,7645,Sichuan,China,2020-03-06,539.0,3.0
5137,7646,Sichuan,China,2020-03-07,539.0,3.0
5138,7647,Sichuan,China,2020-03-08,539.0,3.0
5139,7648,Sichuan,China,2020-03-09,539.0,3.0
5140,7649,Sichuan,China,2020-03-10,539.0,3.0
5141,7650,Sichuan,China,2020-03-11,539.0,3.0
5142,7651,Sichuan,China,2020-03-12,539.0,3.0
5143,7652,Sichuan,China,2020-03-13,539.0,3.0
5144,7653,Sichuan,China,2020-03-14,539.0,3.0
5145,7654,Sichuan,China,2020-03-15,539.0,3.0
5146,7655,Sichuan,China,2020-03-16,539.0,3.0
5147,7656,Sichuan,China,2020-03-17,540.0,3.0
5148,7657,Sichuan,China,2020-03-18,540.0,3.0
5149,7658,Sichuan,China,2020-03-19,540.0,3.0
5150,7659,Sichuan,China,2020-03-20,541.0,3.0
5151,7660,Sichuan,China,2020-03-21,542.0,3.0
5152,7661,Sichuan,China,2020-03-22,543.0,3.0
5153,7662,Sichuan,China,2020-03-23,543.0,3.0
5154,7663,Sichuan,China,2020-03-24,545.0,3.0
5155,7664,Sichuan,China,2020-03-25,547.0,3.0
5156,7665,Sichuan,China,2020-03-26,547.0,3.0
5157,7666,Sichuan,China,2020-03-27,548.0,3.0
5158,7667,Sichuan,China,2020-03-28,548.0,3.0
