,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
5159,7701,Tianjin,China,2020-01-22,4.0,0.0
5160,7702,Tianjin,China,2020-01-23,4.0,0.0
5161,7703,Tianjin,China,2020-01-24,8.0,0.0
5162,7704,Tianjin,China,2020-01-25,10.0,0.0
5163,7705,Tianjin,China,2020-01-26,14.0,0.0
5164,7706,Tianjin,China,2020-01-27,23.0,0.0
5165,7707,Tianjin,China,2020-01-28,24.0,0.0
5166,7708,Tianjin,China,2020-01-29,27.0,0.0
5167,7709,Tianjin,China,2020-01-30,31.0,0.0
5168,7710,Tianjin,China,2020-01-31,32.0,0.0
5169,7711,Tianjin,China,2020-02-01,41.0,0.0
5170,7712,Tianjin,China,2020-02-02,48.0,0.0
5171,7713,Tianjin,China,2020-02-03,60.0,0.0
5172,7714,Tianjin,China,2020-02-04,67.0,0.0
5173,7715,Tianjin,China,2020-02-05,69.0,1.0
5174,7716,Tianjin,China,2020-02-06,79.0,1.0
5175,7717,Tianjin,China,2020-02-07,81.0,1.0
5176,7718,Tianjin,China,2020-02-08,88.0,1.0
5177,7719,Tianjin,China,2020-02-09,91.0,1.0
5178,7720,Tianjin,China,2020-02-10,95.0,1.0
5179,7721,Tianjin,China,2020-02-11,106.0,2.0
5180,7722,Tianjin,China,2020-02-12,112.0,2.0
5181,7723,Tianjin,China,2020-02-13,119.0,3.0
5182,7724,Tianjin,China,2020-02-14,120.0,3.0
5183,7725,Tianjin,China,2020-02-15,122.0,3.0
5184,7726,Tianjin,China,2020-02-16,124.0,3.0
5185,7727,Tianjin,China,2020-02-17,125.0,3.0
5186,7728,Tianjin,China,2020-02-18,128.0,3.0
5187,7729,Tianjin,China,2020-02-19,130.0,3.0
5188,7730,Tianjin,China,2020-02-20,131.0,3.0
5189,7731,Tianjin,China,2020-02-21,132.0,3.0
5190,7732,Tianjin,China,2020-02-22,135.0,3.0
5191,7733,Tianjin,China,2020-02-23,135.0,3.0
5192,7734,Tianjin,China,2020-02-24,135.0,3.0
5193,7735,Tianjin,China,2020-02-25,135.0,3.0
5194,7736,Tianjin,China,2020-02-26,135.0,3.0
5195,7737,Tianjin,China,2020-02-27,136.0,3.0
5196,7738,Tianjin,China,2020-02-28,136.0,3.0
5197,7739,Tianjin,China,2020-02-29,136.0,3.0
5198,7740,Tianjin,China,2020-03-01,136.0,3.0
5199,7741,Tianjin,China,2020-03-02,136.0,3.0
5200,7742,Tianjin,China,2020-03-03,136.0,3.0
5201,7743,Tianjin,China,2020-03-04,136.0,3.0
5202,7744,Tianjin,China,2020-03-05,136.0,3.0
5203,7745,Tianjin,China,2020-03-06,136.0,3.0
5204,7746,Tianjin,China,2020-03-07,136.0,3.0
5205,7747,Tianjin,China,2020-03-08,136.0,3.0
5206,7748,Tianjin,China,2020-03-09,136.0,3.0
5207,7749,Tianjin,China,2020-03-10,136.0,3.0
5208,7750,Tianjin,China,2020-03-11,136.0,3.0
5209,7751,Tianjin,China,2020-03-12,136.0,3.0
5210,7752,Tianjin,China,2020-03-13,136.0,3.0
5211,7753,Tianjin,China,2020-03-14,136.0,3.0
5212,7754,Tianjin,China,2020-03-15,136.0,3.0
5213,7755,Tianjin,China,2020-03-16,136.0,3.0
5214,7756,Tianjin,China,2020-03-17,136.0,3.0
5215,7757,Tianjin,China,2020-03-18,136.0,3.0
5216,7758,Tianjin,China,2020-03-19,137.0,3.0
5217,7759,Tianjin,China,2020-03-20,137.0,3.0
5218,7760,Tianjin,China,2020-03-21,137.0,3.0
5219,7761,Tianjin,China,2020-03-22,137.0,3.0
5220,7762,Tianjin,China,2020-03-23,141.0,3.0
5221,7763,Tianjin,China,2020-03-24,145.0,3.0
5222,7764,Tianjin,China,2020-03-25,145.0,3.0
5223,7765,Tianjin,China,2020-03-26,151.0,3.0
5224,7766,Tianjin,China,2020-03-27,155.0,3.0
5225,7767,Tianjin,China,2020-03-28,161.0,3.0
