,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
5226,7801,Tibet,China,2020-01-22,0.0,0.0
5227,7802,Tibet,China,2020-01-23,0.0,0.0
5228,7803,Tibet,China,2020-01-24,0.0,0.0
5229,7804,Tibet,China,2020-01-25,0.0,0.0
5230,7805,Tibet,China,2020-01-26,0.0,0.0
5231,7806,Tibet,China,2020-01-27,0.0,0.0
5232,7807,Tibet,China,2020-01-28,0.0,0.0
5233,7808,Tibet,China,2020-01-29,0.0,0.0
5234,7809,Tibet,China,2020-01-30,1.0,0.0
5235,7810,Tibet,China,2020-01-31,1.0,0.0
5236,7811,Tibet,China,2020-02-01,1.0,0.0
5237,7812,Tibet,China,2020-02-02,1.0,0.0
5238,7813,Tibet,China,2020-02-03,1.0,0.0
5239,7814,Tibet,China,2020-02-04,1.0,0.0
5240,7815,Tibet,China,2020-02-05,1.0,0.0
5241,7816,Tibet,China,2020-02-06,1.0,0.0
5242,7817,Tibet,China,2020-02-07,1.0,0.0
5243,7818,Tibet,China,2020-02-08,1.0,0.0
5244,7819,Tibet,China,2020-02-09,1.0,0.0
5245,7820,Tibet,China,2020-02-10,1.0,0.0
5246,7821,Tibet,China,2020-02-11,1.0,0.0
5247,7822,Tibet,China,2020-02-12,1.0,0.0
5248,7823,Tibet,China,2020-02-13,1.0,0.0
5249,7824,Tibet,China,2020-02-14,1.0,0.0
5250,7825,Tibet,China,2020-02-15,1.0,0.0
5251,7826,Tibet,China,2020-02-16,1.0,0.0
5252,7827,Tibet,China,2020-02-17,1.0,0.0
5253,7828,Tibet,China,2020-02-18,1.0,0.0
5254,7829,Tibet,China,2020-02-19,1.0,0.0
5255,7830,Tibet,China,2020-02-20,1.0,0.0
5256,7831,Tibet,China,2020-02-21,1.0,0.0
5257,7832,Tibet,China,2020-02-22,1.0,0.0
5258,7833,Tibet,China,2020-02-23,1.0,0.0
5259,7834,Tibet,China,2020-02-24,1.0,0.0
5260,7835,Tibet,China,2020-02-25,1.0,0.0
5261,7836,Tibet,China,2020-02-26,1.0,0.0
5262,7837,Tibet,China,2020-02-27,1.0,0.0
5263,7838,Tibet,China,2020-02-28,1.0,0.0
5264,7839,Tibet,China,2020-02-29,1.0,0.0
5265,7840,Tibet,China,2020-03-01,1.0,0.0
5266,7841,Tibet,China,2020-03-02,1.0,0.0
5267,7842,Tibet,China,2020-03-03,1.0,0.0
5268,7843,Tibet,China,2020-03-04,1.0,0.0
5269,7844,Tibet,China,2020-03-05,1.0,0.0
5270,7845,Tibet,China,2020-03-06,1.0,0.0
5271,7846,Tibet,China,2020-03-07,1.0,0.0
5272,7847,Tibet,China,2020-03-08,1.0,0.0
5273,7848,Tibet,China,2020-03-09,1.0,0.0
5274,7849,Tibet,China,2020-03-10,1.0,0.0
5275,7850,Tibet,China,2020-03-11,1.0,0.0
5276,7851,Tibet,China,2020-03-12,1.0,0.0
5277,7852,Tibet,China,2020-03-13,1.0,0.0
5278,7853,Tibet,China,2020-03-14,1.0,0.0
5279,7854,Tibet,China,2020-03-15,1.0,0.0
5280,7855,Tibet,China,2020-03-16,1.0,0.0
5281,7856,Tibet,China,2020-03-17,1.0,0.0
5282,7857,Tibet,China,2020-03-18,1.0,0.0
5283,7858,Tibet,China,2020-03-19,1.0,0.0
5284,7859,Tibet,China,2020-03-20,1.0,0.0
5285,7860,Tibet,China,2020-03-21,1.0,0.0
5286,7861,Tibet,China,2020-03-22,1.0,0.0
5287,7862,Tibet,China,2020-03-23,1.0,0.0
5288,7863,Tibet,China,2020-03-24,1.0,0.0
5289,7864,Tibet,China,2020-03-25,1.0,0.0
5290,7865,Tibet,China,2020-03-26,1.0,0.0
5291,7866,Tibet,China,2020-03-27,1.0,0.0
5292,7867,Tibet,China,2020-03-28,1.0,0.0
