,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
5494,8201,,Colombia,2020-01-22,0.0,0.0
5495,8202,,Colombia,2020-01-23,0.0,0.0
5496,8203,,Colombia,2020-01-24,0.0,0.0
5497,8204,,Colombia,2020-01-25,0.0,0.0
5498,8205,,Colombia,2020-01-26,0.0,0.0
5499,8206,,Colombia,2020-01-27,0.0,0.0
5500,8207,,Colombia,2020-01-28,0.0,0.0
5501,8208,,Colombia,2020-01-29,0.0,0.0
5502,8209,,Colombia,2020-01-30,0.0,0.0
5503,8210,,Colombia,2020-01-31,0.0,0.0
5504,8211,,Colombia,2020-02-01,0.0,0.0
5505,8212,,Colombia,2020-02-02,0.0,0.0
5506,8213,,Colombia,2020-02-03,0.0,0.0
5507,8214,,Colombia,2020-02-04,0.0,0.0
5508,8215,,Colombia,2020-02-05,0.0,0.0
5509,8216,,Colombia,2020-02-06,0.0,0.0
5510,8217,,Colombia,2020-02-07,0.0,0.0
5511,8218,,Colombia,2020-02-08,0.0,0.0
5512,8219,,Colombia,2020-02-09,0.0,0.0
5513,8220,,Colombia,2020-02-10,0.0,0.0
5514,8221,,Colombia,2020-02-11,0.0,0.0
5515,8222,,Colombia,2020-02-12,0.0,0.0
5516,8223,,Colombia,2020-02-13,0.0,0.0
5517,8224,,Colombia,2020-02-14,0.0,0.0
5518,8225,,Colombia,2020-02-15,0.0,0.0
5519,8226,,Colombia,2020-02-16,0.0,0.0
5520,8227,,Colombia,2020-02-17,0.0,0.0
5521,8228,,Colombia,2020-02-18,0.0,0.0
5522,8229,,Colombia,2020-02-19,0.0,0.0
5523,8230,,Colombia,2020-02-20,0.0,0.0
5524,8231,,Colombia,2020-02-21,0.0,0.0
5525,8232,,Colombia,2020-02-22,0.0,0.0
5526,8233,,Colombia,2020-02-23,0.0,0.0
5527,8234,,Colombia,2020-02-24,0.0,0.0
5528,8235,,Colombia,2020-02-25,0.0,0.0
5529,8236,,Colombia,2020-02-26,0.0,0.0
5530,8237,,Colombia,2020-02-27,0.0,0.0
5531,8238,,Colombia,2020-02-28,0.0,0.0
5532,8239,,Colombia,2020-02-29,0.0,0.0
5533,8240,,Colombia,2020-03-01,0.0,0.0
5534,8241,,Colombia,2020-03-02,0.0,0.0
5535,8242,,Colombia,2020-03-03,0.0,0.0
5536,8243,,Colombia,2020-03-04,0.0,0.0
5537,8244,,Colombia,2020-03-05,0.0,0.0
5538,8245,,Colombia,2020-03-06,1.0,0.0
5539,8246,,Colombia,2020-03-07,1.0,0.0
5540,8247,,Colombia,2020-03-08,1.0,0.0
5541,8248,,Colombia,2020-03-09,1.0,0.0
5542,8249,,Colombia,2020-03-10,3.0,0.0
5543,8250,,Colombia,2020-03-11,9.0,0.0
5544,8251,,Colombia,2020-03-12,9.0,0.0
5545,8252,,Colombia,2020-03-13,13.0,0.0
5546,8253,,Colombia,2020-03-14,22.0,0.0
5547,8254,,Colombia,2020-03-15,34.0,0.0
5548,8255,,Colombia,2020-03-16,54.0,0.0
5549,8256,,Colombia,2020-03-17,65.0,0.0
5550,8257,,Colombia,2020-03-18,93.0,0.0
5551,8258,,Colombia,2020-03-19,102.0,0.0
5552,8259,,Colombia,2020-03-20,128.0,0.0
5553,8260,,Colombia,2020-03-21,196.0,0.0
5554,8261,,Colombia,2020-03-22,231.0,2.0
5555,8262,,Colombia,2020-03-23,277.0,3.0
5556,8263,,Colombia,2020-03-24,378.0,3.0
5557,8264,,Colombia,2020-03-25,470.0,4.0
5558,8265,,Colombia,2020-03-26,491.0,6.0
5559,8266,,Colombia,2020-03-27,539.0,6.0
5560,8267,,Colombia,2020-03-28,608.0,6.0
