,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
5561,8301,,Congo (Brazzaville),2020-01-22,0.0,0.0
5562,8302,,Congo (Brazzaville),2020-01-23,0.0,0.0
5563,8303,,Congo (Brazzaville),2020-01-24,0.0,0.0
5564,8304,,Congo (Brazzaville),2020-01-25,0.0,0.0
5565,8305,,Congo (Brazzaville),2020-01-26,0.0,0.0
5566,8306,,Congo (Brazzaville),2020-01-27,0.0,0.0
5567,8307,,Congo (Brazzaville),2020-01-28,0.0,0.0
5568,8308,,Congo (Brazzaville),2020-01-29,0.0,0.0
5569,8309,,Congo (Brazzaville),2020-01-30,0.0,0.0
5570,8310,,Congo (Brazzaville),2020-01-31,0.0,0.0
5571,8311,,Congo (Brazzaville),2020-02-01,0.0,0.0
5572,8312,,Congo (Brazzaville),2020-02-02,0.0,0.0
5573,8313,,Congo (Brazzaville),2020-02-03,0.0,0.0
5574,8314,,Congo (Brazzaville),2020-02-04,0.0,0.0
5575,8315,,Congo (Brazzaville),2020-02-05,0.0,0.0
5576,8316,,Congo (Brazzaville),2020-02-06,0.0,0.0
5577,8317,,Congo (Brazzaville),2020-02-07,0.0,0.0
5578,8318,,Congo (Brazzaville),2020-02-08,0.0,0.0
5579,8319,,Congo (Brazzaville),2020-02-09,0.0,0.0
5580,8320,,Congo (Brazzaville),2020-02-10,0.0,0.0
5581,8321,,Congo (Brazzaville),2020-02-11,0.0,0.0
5582,8322,,Congo (Brazzaville),2020-02-12,0.0,0.0
5583,8323,,Congo (Brazzaville),2020-02-13,0.0,0.0
5584,8324,,Congo (Brazzaville),2020-02-14,0.0,0.0
5585,8325,,Congo (Brazzaville),2020-02-15,0.0,0.0
5586,8326,,Congo (Brazzaville),2020-02-16,0.0,0.0
5587,8327,,Congo (Brazzaville),2020-02-17,0.0,0.0
5588,8328,,Congo (Brazzaville),2020-02-18,0.0,0.0
5589,8329,,Congo (Brazzaville),2020-02-19,0.0,0.0
5590,8330,,Congo (Brazzaville),2020-02-20,0.0,0.0
5591,8331,,Congo (Brazzaville),2020-02-21,0.0,0.0
5592,8332,,Congo (Brazzaville),2020-02-22,0.0,0.0
5593,8333,,Congo (Brazzaville),2020-02-23,0.0,0.0
5594,8334,,Congo (Brazzaville),2020-02-24,0.0,0.0
5595,8335,,Congo (Brazzaville),2020-02-25,0.0,0.0
5596,8336,,Congo (Brazzaville),2020-02-26,0.0,0.0
5597,8337,,Congo (Brazzaville),2020-02-27,0.0,0.0
5598,8338,,Congo (Brazzaville),2020-02-28,0.0,0.0
5599,8339,,Congo (Brazzaville),2020-02-29,0.0,0.0
5600,8340,,Congo (Brazzaville),2020-03-01,0.0,0.0
5601,8341,,Congo (Brazzaville),2020-03-02,0.0,0.0
5602,8342,,Congo (Brazzaville),2020-03-03,0.0,0.0
5603,8343,,Congo (Brazzaville),2020-03-04,0.0,0.0
5604,8344,,Congo (Brazzaville),2020-03-05,0.0,0.0
5605,8345,,Congo (Brazzaville),2020-03-06,0.0,0.0
5606,8346,,Congo (Brazzaville),2020-03-07,0.0,0.0
5607,8347,,Congo (Brazzaville),2020-03-08,0.0,0.0
5608,8348,,Congo (Brazzaville),2020-03-09,0.0,0.0
5609,8349,,Congo (Brazzaville),2020-03-10,0.0,0.0
5610,8350,,Congo (Brazzaville),2020-03-11,0.0,0.0
5611,8351,,Congo (Brazzaville),2020-03-12,0.0,0.0
5612,8352,,Congo (Brazzaville),2020-03-13,0.0,0.0
5613,8353,,Congo (Brazzaville),2020-03-14,0.0,0.0
5614,8354,,Congo (Brazzaville),2020-03-15,1.0,0.0
5615,8355,,Congo (Brazzaville),2020-03-16,1.0,0.0
5616,8356,,Congo (Brazzaville),2020-03-17,1.0,0.0
5617,8357,,Congo (Brazzaville),2020-03-18,1.0,0.0
5618,8358,,Congo (Brazzaville),2020-03-19,3.0,0.0
5619,8359,,Congo (Brazzaville),2020-03-20,3.0,0.0
5620,8360,,Congo (Brazzaville),2020-03-21,3.0,0.0
5621,8361,,Congo (Brazzaville),2020-03-22,3.0,0.0
5622,8362,,Congo (Brazzaville),2020-03-23,4.0,0.0
5623,8363,,Congo (Brazzaville),2020-03-24,4.0,0.0
5624,8364,,Congo (Brazzaville),2020-03-25,4.0,0.0
5625,8365,,Congo (Brazzaville),2020-03-26,4.0,0.0
5626,8366,,Congo (Brazzaville),2020-03-27,4.0,0.0
5627,8367,,Congo (Brazzaville),2020-03-28,4.0,0.0
