,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
5628,8401,,Congo (Kinshasa),2020-01-22,0.0,0.0
5629,8402,,Congo (Kinshasa),2020-01-23,0.0,0.0
5630,8403,,Congo (Kinshasa),2020-01-24,0.0,0.0
5631,8404,,Congo (Kinshasa),2020-01-25,0.0,0.0
5632,8405,,Congo (Kinshasa),2020-01-26,0.0,0.0
5633,8406,,Congo (Kinshasa),2020-01-27,0.0,0.0
5634,8407,,Congo (Kinshasa),2020-01-28,0.0,0.0
5635,8408,,Congo (Kinshasa),2020-01-29,0.0,0.0
5636,8409,,Congo (Kinshasa),2020-01-30,0.0,0.0
5637,8410,,Congo (Kinshasa),2020-01-31,0.0,0.0
5638,8411,,Congo (Kinshasa),2020-02-01,0.0,0.0
5639,8412,,Congo (Kinshasa),2020-02-02,0.0,0.0
5640,8413,,Congo (Kinshasa),2020-02-03,0.0,0.0
5641,8414,,Congo (Kinshasa),2020-02-04,0.0,0.0
5642,8415,,Congo (Kinshasa),2020-02-05,0.0,0.0
5643,8416,,Congo (Kinshasa),2020-02-06,0.0,0.0
5644,8417,,Congo (Kinshasa),2020-02-07,0.0,0.0
5645,8418,,Congo (Kinshasa),2020-02-08,0.0,0.0
5646,8419,,Congo (Kinshasa),2020-02-09,0.0,0.0
5647,8420,,Congo (Kinshasa),2020-02-10,0.0,0.0
5648,8421,,Congo (Kinshasa),2020-02-11,0.0,0.0
5649,8422,,Congo (Kinshasa),2020-02-12,0.0,0.0
5650,8423,,Congo (Kinshasa),2020-02-13,0.0,0.0
5651,8424,,Congo (Kinshasa),2020-02-14,0.0,0.0
5652,8425,,Congo (Kinshasa),2020-02-15,0.0,0.0
5653,8426,,Congo (Kinshasa),2020-02-16,0.0,0.0
5654,8427,,Congo (Kinshasa),2020-02-17,0.0,0.0
5655,8428,,Congo (Kinshasa),2020-02-18,0.0,0.0
5656,8429,,Congo (Kinshasa),2020-02-19,0.0,0.0
5657,8430,,Congo (Kinshasa),2020-02-20,0.0,0.0
5658,8431,,Congo (Kinshasa),2020-02-21,0.0,0.0
5659,8432,,Congo (Kinshasa),2020-02-22,0.0,0.0
5660,8433,,Congo (Kinshasa),2020-02-23,0.0,0.0
5661,8434,,Congo (Kinshasa),2020-02-24,0.0,0.0
5662,8435,,Congo (Kinshasa),2020-02-25,0.0,0.0
5663,8436,,Congo (Kinshasa),2020-02-26,0.0,0.0
5664,8437,,Congo (Kinshasa),2020-02-27,0.0,0.0
5665,8438,,Congo (Kinshasa),2020-02-28,0.0,0.0
5666,8439,,Congo (Kinshasa),2020-02-29,0.0,0.0
5667,8440,,Congo (Kinshasa),2020-03-01,0.0,0.0
5668,8441,,Congo (Kinshasa),2020-03-02,0.0,0.0
5669,8442,,Congo (Kinshasa),2020-03-03,0.0,0.0
5670,8443,,Congo (Kinshasa),2020-03-04,0.0,0.0
5671,8444,,Congo (Kinshasa),2020-03-05,0.0,0.0
5672,8445,,Congo (Kinshasa),2020-03-06,0.0,0.0
5673,8446,,Congo (Kinshasa),2020-03-07,0.0,0.0
5674,8447,,Congo (Kinshasa),2020-03-08,0.0,0.0
5675,8448,,Congo (Kinshasa),2020-03-09,0.0,0.0
5676,8449,,Congo (Kinshasa),2020-03-10,0.0,0.0
5677,8450,,Congo (Kinshasa),2020-03-11,1.0,0.0
5678,8451,,Congo (Kinshasa),2020-03-12,1.0,0.0
5679,8452,,Congo (Kinshasa),2020-03-13,2.0,0.0
5680,8453,,Congo (Kinshasa),2020-03-14,2.0,0.0
5681,8454,,Congo (Kinshasa),2020-03-15,2.0,0.0
5682,8455,,Congo (Kinshasa),2020-03-16,2.0,0.0
5683,8456,,Congo (Kinshasa),2020-03-17,3.0,0.0
5684,8457,,Congo (Kinshasa),2020-03-18,4.0,0.0
5685,8458,,Congo (Kinshasa),2020-03-19,14.0,0.0
5686,8459,,Congo (Kinshasa),2020-03-20,18.0,0.0
5687,8460,,Congo (Kinshasa),2020-03-21,23.0,1.0
5688,8461,,Congo (Kinshasa),2020-03-22,30.0,1.0
5689,8462,,Congo (Kinshasa),2020-03-23,36.0,1.0
5690,8463,,Congo (Kinshasa),2020-03-24,45.0,2.0
5691,8464,,Congo (Kinshasa),2020-03-25,48.0,2.0
5692,8465,,Congo (Kinshasa),2020-03-26,51.0,3.0
5693,8466,,Congo (Kinshasa),2020-03-27,51.0,3.0
5694,8467,,Congo (Kinshasa),2020-03-28,65.0,6.0
