,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
6231,9301,,Denmark,2020-01-22,0.0,0.0
6232,9302,,Denmark,2020-01-23,0.0,0.0
6233,9303,,Denmark,2020-01-24,0.0,0.0
6234,9304,,Denmark,2020-01-25,0.0,0.0
6235,9305,,Denmark,2020-01-26,0.0,0.0
6236,9306,,Denmark,2020-01-27,0.0,0.0
6237,9307,,Denmark,2020-01-28,0.0,0.0
6238,9308,,Denmark,2020-01-29,0.0,0.0
6239,9309,,Denmark,2020-01-30,0.0,0.0
6240,9310,,Denmark,2020-01-31,0.0,0.0
6241,9311,,Denmark,2020-02-01,0.0,0.0
6242,9312,,Denmark,2020-02-02,0.0,0.0
6243,9313,,Denmark,2020-02-03,0.0,0.0
6244,9314,,Denmark,2020-02-04,0.0,0.0
6245,9315,,Denmark,2020-02-05,0.0,0.0
6246,9316,,Denmark,2020-02-06,0.0,0.0
6247,9317,,Denmark,2020-02-07,0.0,0.0
6248,9318,,Denmark,2020-02-08,0.0,0.0
6249,9319,,Denmark,2020-02-09,0.0,0.0
6250,9320,,Denmark,2020-02-10,0.0,0.0
6251,9321,,Denmark,2020-02-11,0.0,0.0
6252,9322,,Denmark,2020-02-12,0.0,0.0
6253,9323,,Denmark,2020-02-13,0.0,0.0
6254,9324,,Denmark,2020-02-14,0.0,0.0
6255,9325,,Denmark,2020-02-15,0.0,0.0
6256,9326,,Denmark,2020-02-16,0.0,0.0
6257,9327,,Denmark,2020-02-17,0.0,0.0
6258,9328,,Denmark,2020-02-18,0.0,0.0
6259,9329,,Denmark,2020-02-19,0.0,0.0
6260,9330,,Denmark,2020-02-20,0.0,0.0
6261,9331,,Denmark,2020-02-21,0.0,0.0
6262,9332,,Denmark,2020-02-22,0.0,0.0
6263,9333,,Denmark,2020-02-23,0.0,0.0
6264,9334,,Denmark,2020-02-24,0.0,0.0
6265,9335,,Denmark,2020-02-25,0.0,0.0
6266,9336,,Denmark,2020-02-26,0.0,0.0
6267,9337,,Denmark,2020-02-27,1.0,0.0
6268,9338,,Denmark,2020-02-28,1.0,0.0
6269,9339,,Denmark,2020-02-29,3.0,0.0
6270,9340,,Denmark,2020-03-01,4.0,0.0
6271,9341,,Denmark,2020-03-02,4.0,0.0
6272,9342,,Denmark,2020-03-03,6.0,0.0
6273,9343,,Denmark,2020-03-04,10.0,0.0
6274,9344,,Denmark,2020-03-05,10.0,0.0
6275,9345,,Denmark,2020-03-06,23.0,0.0
6276,9346,,Denmark,2020-03-07,23.0,0.0
6277,9347,,Denmark,2020-03-08,35.0,0.0
6278,9348,,Denmark,2020-03-09,90.0,0.0
6279,9349,,Denmark,2020-03-10,262.0,0.0
6280,9350,,Denmark,2020-03-11,442.0,0.0
6281,9351,,Denmark,2020-03-12,615.0,0.0
6282,9352,,Denmark,2020-03-13,801.0,0.0
6283,9353,,Denmark,2020-03-14,827.0,1.0
6284,9354,,Denmark,2020-03-15,864.0,2.0
6285,9355,,Denmark,2020-03-16,914.0,3.0
6286,9356,,Denmark,2020-03-17,977.0,4.0
6287,9357,,Denmark,2020-03-18,1057.0,4.0
6288,9358,,Denmark,2020-03-19,1151.0,6.0
6289,9359,,Denmark,2020-03-20,1255.0,9.0
6290,9360,,Denmark,2020-03-21,1326.0,13.0
6291,9361,,Denmark,2020-03-22,1395.0,13.0
6292,9362,,Denmark,2020-03-23,1450.0,24.0
6293,9363,,Denmark,2020-03-24,1591.0,32.0
6294,9364,,Denmark,2020-03-25,1724.0,34.0
6295,9365,,Denmark,2020-03-26,1877.0,41.0
6296,9366,,Denmark,2020-03-27,2046.0,52.0
6297,9367,,Denmark,2020-03-28,2201.0,65.0
