,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
6633,9901,,Egypt,2020-01-22,0.0,0.0
6634,9902,,Egypt,2020-01-23,0.0,0.0
6635,9903,,Egypt,2020-01-24,0.0,0.0
6636,9904,,Egypt,2020-01-25,0.0,0.0
6637,9905,,Egypt,2020-01-26,0.0,0.0
6638,9906,,Egypt,2020-01-27,0.0,0.0
6639,9907,,Egypt,2020-01-28,0.0,0.0
6640,9908,,Egypt,2020-01-29,0.0,0.0
6641,9909,,Egypt,2020-01-30,0.0,0.0
6642,9910,,Egypt,2020-01-31,0.0,0.0
6643,9911,,Egypt,2020-02-01,0.0,0.0
6644,9912,,Egypt,2020-02-02,0.0,0.0
6645,9913,,Egypt,2020-02-03,0.0,0.0
6646,9914,,Egypt,2020-02-04,0.0,0.0
6647,9915,,Egypt,2020-02-05,0.0,0.0
6648,9916,,Egypt,2020-02-06,0.0,0.0
6649,9917,,Egypt,2020-02-07,0.0,0.0
6650,9918,,Egypt,2020-02-08,0.0,0.0
6651,9919,,Egypt,2020-02-09,0.0,0.0
6652,9920,,Egypt,2020-02-10,0.0,0.0
6653,9921,,Egypt,2020-02-11,0.0,0.0
6654,9922,,Egypt,2020-02-12,0.0,0.0
6655,9923,,Egypt,2020-02-13,0.0,0.0
6656,9924,,Egypt,2020-02-14,1.0,0.0
6657,9925,,Egypt,2020-02-15,1.0,0.0
6658,9926,,Egypt,2020-02-16,1.0,0.0
6659,9927,,Egypt,2020-02-17,1.0,0.0
6660,9928,,Egypt,2020-02-18,1.0,0.0
6661,9929,,Egypt,2020-02-19,1.0,0.0
6662,9930,,Egypt,2020-02-20,1.0,0.0
6663,9931,,Egypt,2020-02-21,1.0,0.0
6664,9932,,Egypt,2020-02-22,1.0,0.0
6665,9933,,Egypt,2020-02-23,1.0,0.0
6666,9934,,Egypt,2020-02-24,1.0,0.0
6667,9935,,Egypt,2020-02-25,1.0,0.0
6668,9936,,Egypt,2020-02-26,1.0,0.0
6669,9937,,Egypt,2020-02-27,1.0,0.0
6670,9938,,Egypt,2020-02-28,1.0,0.0
6671,9939,,Egypt,2020-02-29,1.0,0.0
6672,9940,,Egypt,2020-03-01,2.0,0.0
6673,9941,,Egypt,2020-03-02,2.0,0.0
6674,9942,,Egypt,2020-03-03,2.0,0.0
6675,9943,,Egypt,2020-03-04,2.0,0.0
6676,9944,,Egypt,2020-03-05,3.0,0.0
6677,9945,,Egypt,2020-03-06,15.0,0.0
6678,9946,,Egypt,2020-03-07,15.0,0.0
6679,9947,,Egypt,2020-03-08,49.0,1.0
6680,9948,,Egypt,2020-03-09,55.0,1.0
6681,9949,,Egypt,2020-03-10,59.0,1.0
6682,9950,,Egypt,2020-03-11,60.0,1.0
6683,9951,,Egypt,2020-03-12,67.0,1.0
6684,9952,,Egypt,2020-03-13,80.0,2.0
6685,9953,,Egypt,2020-03-14,109.0,2.0
6686,9954,,Egypt,2020-03-15,110.0,2.0
6687,9955,,Egypt,2020-03-16,150.0,2.0
6688,9956,,Egypt,2020-03-17,196.0,4.0
6689,9957,,Egypt,2020-03-18,196.0,6.0
6690,9958,,Egypt,2020-03-19,256.0,6.0
6691,9959,,Egypt,2020-03-20,285.0,8.0
6692,9960,,Egypt,2020-03-21,294.0,10.0
6693,9961,,Egypt,2020-03-22,327.0,14.0
6694,9962,,Egypt,2020-03-23,366.0,19.0
6695,9963,,Egypt,2020-03-24,402.0,20.0
6696,9964,,Egypt,2020-03-25,456.0,21.0
6697,9965,,Egypt,2020-03-26,495.0,24.0
6698,9966,,Egypt,2020-03-27,536.0,30.0
6699,9967,,Egypt,2020-03-28,576.0,36.0
