,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
6834,10201,,Eritrea,2020-01-22,0.0,0.0
6835,10202,,Eritrea,2020-01-23,0.0,0.0
6836,10203,,Eritrea,2020-01-24,0.0,0.0
6837,10204,,Eritrea,2020-01-25,0.0,0.0
6838,10205,,Eritrea,2020-01-26,0.0,0.0
6839,10206,,Eritrea,2020-01-27,0.0,0.0
6840,10207,,Eritrea,2020-01-28,0.0,0.0
6841,10208,,Eritrea,2020-01-29,0.0,0.0
6842,10209,,Eritrea,2020-01-30,0.0,0.0
6843,10210,,Eritrea,2020-01-31,0.0,0.0
6844,10211,,Eritrea,2020-02-01,0.0,0.0
6845,10212,,Eritrea,2020-02-02,0.0,0.0
6846,10213,,Eritrea,2020-02-03,0.0,0.0
6847,10214,,Eritrea,2020-02-04,0.0,0.0
6848,10215,,Eritrea,2020-02-05,0.0,0.0
6849,10216,,Eritrea,2020-02-06,0.0,0.0
6850,10217,,Eritrea,2020-02-07,0.0,0.0
6851,10218,,Eritrea,2020-02-08,0.0,0.0
6852,10219,,Eritrea,2020-02-09,0.0,0.0
6853,10220,,Eritrea,2020-02-10,0.0,0.0
6854,10221,,Eritrea,2020-02-11,0.0,0.0
6855,10222,,Eritrea,2020-02-12,0.0,0.0
6856,10223,,Eritrea,2020-02-13,0.0,0.0
6857,10224,,Eritrea,2020-02-14,0.0,0.0
6858,10225,,Eritrea,2020-02-15,0.0,0.0
6859,10226,,Eritrea,2020-02-16,0.0,0.0
6860,10227,,Eritrea,2020-02-17,0.0,0.0
6861,10228,,Eritrea,2020-02-18,0.0,0.0
6862,10229,,Eritrea,2020-02-19,0.0,0.0
6863,10230,,Eritrea,2020-02-20,0.0,0.0
6864,10231,,Eritrea,2020-02-21,0.0,0.0
6865,10232,,Eritrea,2020-02-22,0.0,0.0
6866,10233,,Eritrea,2020-02-23,0.0,0.0
6867,10234,,Eritrea,2020-02-24,0.0,0.0
6868,10235,,Eritrea,2020-02-25,0.0,0.0
6869,10236,,Eritrea,2020-02-26,0.0,0.0
6870,10237,,Eritrea,2020-02-27,0.0,0.0
6871,10238,,Eritrea,2020-02-28,0.0,0.0
6872,10239,,Eritrea,2020-02-29,0.0,0.0
6873,10240,,Eritrea,2020-03-01,0.0,0.0
6874,10241,,Eritrea,2020-03-02,0.0,0.0
6875,10242,,Eritrea,2020-03-03,0.0,0.0
6876,10243,,Eritrea,2020-03-04,0.0,0.0
6877,10244,,Eritrea,2020-03-05,0.0,0.0
6878,10245,,Eritrea,2020-03-06,0.0,0.0
6879,10246,,Eritrea,2020-03-07,0.0,0.0
6880,10247,,Eritrea,2020-03-08,0.0,0.0
6881,10248,,Eritrea,2020-03-09,0.0,0.0
6882,10249,,Eritrea,2020-03-10,0.0,0.0
6883,10250,,Eritrea,2020-03-11,0.0,0.0
6884,10251,,Eritrea,2020-03-12,0.0,0.0
6885,10252,,Eritrea,2020-03-13,0.0,0.0
6886,10253,,Eritrea,2020-03-14,0.0,0.0
6887,10254,,Eritrea,2020-03-15,0.0,0.0
6888,10255,,Eritrea,2020-03-16,0.0,0.0
6889,10256,,Eritrea,2020-03-17,0.0,0.0
6890,10257,,Eritrea,2020-03-18,0.0,0.0
6891,10258,,Eritrea,2020-03-19,0.0,0.0
6892,10259,,Eritrea,2020-03-20,0.0,0.0
6893,10260,,Eritrea,2020-03-21,1.0,0.0
6894,10261,,Eritrea,2020-03-22,1.0,0.0
6895,10262,,Eritrea,2020-03-23,1.0,0.0
6896,10263,,Eritrea,2020-03-24,1.0,0.0
6897,10264,,Eritrea,2020-03-25,4.0,0.0
6898,10265,,Eritrea,2020-03-26,6.0,0.0
6899,10266,,Eritrea,2020-03-27,6.0,0.0
6900,10267,,Eritrea,2020-03-28,6.0,0.0
