,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
6901,10301,,Estonia,2020-01-22,0.0,0.0
6902,10302,,Estonia,2020-01-23,0.0,0.0
6903,10303,,Estonia,2020-01-24,0.0,0.0
6904,10304,,Estonia,2020-01-25,0.0,0.0
6905,10305,,Estonia,2020-01-26,0.0,0.0
6906,10306,,Estonia,2020-01-27,0.0,0.0
6907,10307,,Estonia,2020-01-28,0.0,0.0
6908,10308,,Estonia,2020-01-29,0.0,0.0
6909,10309,,Estonia,2020-01-30,0.0,0.0
6910,10310,,Estonia,2020-01-31,0.0,0.0
6911,10311,,Estonia,2020-02-01,0.0,0.0
6912,10312,,Estonia,2020-02-02,0.0,0.0
6913,10313,,Estonia,2020-02-03,0.0,0.0
6914,10314,,Estonia,2020-02-04,0.0,0.0
6915,10315,,Estonia,2020-02-05,0.0,0.0
6916,10316,,Estonia,2020-02-06,0.0,0.0
6917,10317,,Estonia,2020-02-07,0.0,0.0
6918,10318,,Estonia,2020-02-08,0.0,0.0
6919,10319,,Estonia,2020-02-09,0.0,0.0
6920,10320,,Estonia,2020-02-10,0.0,0.0
6921,10321,,Estonia,2020-02-11,0.0,0.0
6922,10322,,Estonia,2020-02-12,0.0,0.0
6923,10323,,Estonia,2020-02-13,0.0,0.0
6924,10324,,Estonia,2020-02-14,0.0,0.0
6925,10325,,Estonia,2020-02-15,0.0,0.0
6926,10326,,Estonia,2020-02-16,0.0,0.0
6927,10327,,Estonia,2020-02-17,0.0,0.0
6928,10328,,Estonia,2020-02-18,0.0,0.0
6929,10329,,Estonia,2020-02-19,0.0,0.0
6930,10330,,Estonia,2020-02-20,0.0,0.0
6931,10331,,Estonia,2020-02-21,0.0,0.0
6932,10332,,Estonia,2020-02-22,0.0,0.0
6933,10333,,Estonia,2020-02-23,0.0,0.0
6934,10334,,Estonia,2020-02-24,0.0,0.0
6935,10335,,Estonia,2020-02-25,0.0,0.0
6936,10336,,Estonia,2020-02-26,0.0,0.0
6937,10337,,Estonia,2020-02-27,1.0,0.0
6938,10338,,Estonia,2020-02-28,1.0,0.0
6939,10339,,Estonia,2020-02-29,1.0,0.0
6940,10340,,Estonia,2020-03-01,1.0,0.0
6941,10341,,Estonia,2020-03-02,1.0,0.0
6942,10342,,Estonia,2020-03-03,2.0,0.0
6943,10343,,Estonia,2020-03-04,2.0,0.0
6944,10344,,Estonia,2020-03-05,3.0,0.0
6945,10345,,Estonia,2020-03-06,10.0,0.0
6946,10346,,Estonia,2020-03-07,10.0,0.0
6947,10347,,Estonia,2020-03-08,10.0,0.0
6948,10348,,Estonia,2020-03-09,10.0,0.0
6949,10349,,Estonia,2020-03-10,12.0,0.0
6950,10350,,Estonia,2020-03-11,16.0,0.0
6951,10351,,Estonia,2020-03-12,16.0,0.0
6952,10352,,Estonia,2020-03-13,79.0,0.0
6953,10353,,Estonia,2020-03-14,115.0,0.0
6954,10354,,Estonia,2020-03-15,171.0,0.0
6955,10355,,Estonia,2020-03-16,205.0,0.0
6956,10356,,Estonia,2020-03-17,225.0,0.0
6957,10357,,Estonia,2020-03-18,258.0,0.0
6958,10358,,Estonia,2020-03-19,267.0,0.0
6959,10359,,Estonia,2020-03-20,283.0,0.0
6960,10360,,Estonia,2020-03-21,306.0,0.0
6961,10361,,Estonia,2020-03-22,326.0,0.0
6962,10362,,Estonia,2020-03-23,352.0,0.0
6963,10363,,Estonia,2020-03-24,369.0,0.0
6964,10364,,Estonia,2020-03-25,404.0,1.0
6965,10365,,Estonia,2020-03-26,538.0,1.0
6966,10366,,Estonia,2020-03-27,575.0,1.0
6967,10367,,Estonia,2020-03-28,645.0,1.0
