,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
7035,10501,,Ethiopia,2020-01-22,0.0,0.0
7036,10502,,Ethiopia,2020-01-23,0.0,0.0
7037,10503,,Ethiopia,2020-01-24,0.0,0.0
7038,10504,,Ethiopia,2020-01-25,0.0,0.0
7039,10505,,Ethiopia,2020-01-26,0.0,0.0
7040,10506,,Ethiopia,2020-01-27,0.0,0.0
7041,10507,,Ethiopia,2020-01-28,0.0,0.0
7042,10508,,Ethiopia,2020-01-29,0.0,0.0
7043,10509,,Ethiopia,2020-01-30,0.0,0.0
7044,10510,,Ethiopia,2020-01-31,0.0,0.0
7045,10511,,Ethiopia,2020-02-01,0.0,0.0
7046,10512,,Ethiopia,2020-02-02,0.0,0.0
7047,10513,,Ethiopia,2020-02-03,0.0,0.0
7048,10514,,Ethiopia,2020-02-04,0.0,0.0
7049,10515,,Ethiopia,2020-02-05,0.0,0.0
7050,10516,,Ethiopia,2020-02-06,0.0,0.0
7051,10517,,Ethiopia,2020-02-07,0.0,0.0
7052,10518,,Ethiopia,2020-02-08,0.0,0.0
7053,10519,,Ethiopia,2020-02-09,0.0,0.0
7054,10520,,Ethiopia,2020-02-10,0.0,0.0
7055,10521,,Ethiopia,2020-02-11,0.0,0.0
7056,10522,,Ethiopia,2020-02-12,0.0,0.0
7057,10523,,Ethiopia,2020-02-13,0.0,0.0
7058,10524,,Ethiopia,2020-02-14,0.0,0.0
7059,10525,,Ethiopia,2020-02-15,0.0,0.0
7060,10526,,Ethiopia,2020-02-16,0.0,0.0
7061,10527,,Ethiopia,2020-02-17,0.0,0.0
7062,10528,,Ethiopia,2020-02-18,0.0,0.0
7063,10529,,Ethiopia,2020-02-19,0.0,0.0
7064,10530,,Ethiopia,2020-02-20,0.0,0.0
7065,10531,,Ethiopia,2020-02-21,0.0,0.0
7066,10532,,Ethiopia,2020-02-22,0.0,0.0
7067,10533,,Ethiopia,2020-02-23,0.0,0.0
7068,10534,,Ethiopia,2020-02-24,0.0,0.0
7069,10535,,Ethiopia,2020-02-25,0.0,0.0
7070,10536,,Ethiopia,2020-02-26,0.0,0.0
7071,10537,,Ethiopia,2020-02-27,0.0,0.0
7072,10538,,Ethiopia,2020-02-28,0.0,0.0
7073,10539,,Ethiopia,2020-02-29,0.0,0.0
7074,10540,,Ethiopia,2020-03-01,0.0,0.0
7075,10541,,Ethiopia,2020-03-02,0.0,0.0
7076,10542,,Ethiopia,2020-03-03,0.0,0.0
7077,10543,,Ethiopia,2020-03-04,0.0,0.0
7078,10544,,Ethiopia,2020-03-05,0.0,0.0
7079,10545,,Ethiopia,2020-03-06,0.0,0.0
7080,10546,,Ethiopia,2020-03-07,0.0,0.0
7081,10547,,Ethiopia,2020-03-08,0.0,0.0
7082,10548,,Ethiopia,2020-03-09,0.0,0.0
7083,10549,,Ethiopia,2020-03-10,0.0,0.0
7084,10550,,Ethiopia,2020-03-11,0.0,0.0
7085,10551,,Ethiopia,2020-03-12,0.0,0.0
7086,10552,,Ethiopia,2020-03-13,1.0,0.0
7087,10553,,Ethiopia,2020-03-14,1.0,0.0
7088,10554,,Ethiopia,2020-03-15,1.0,0.0
7089,10555,,Ethiopia,2020-03-16,5.0,0.0
7090,10556,,Ethiopia,2020-03-17,5.0,0.0
7091,10557,,Ethiopia,2020-03-18,6.0,0.0
7092,10558,,Ethiopia,2020-03-19,6.0,0.0
7093,10559,,Ethiopia,2020-03-20,9.0,0.0
7094,10560,,Ethiopia,2020-03-21,9.0,0.0
7095,10561,,Ethiopia,2020-03-22,11.0,0.0
7096,10562,,Ethiopia,2020-03-23,11.0,0.0
7097,10563,,Ethiopia,2020-03-24,12.0,0.0
7098,10564,,Ethiopia,2020-03-25,12.0,0.0
7099,10565,,Ethiopia,2020-03-26,12.0,0.0
7100,10566,,Ethiopia,2020-03-27,16.0,0.0
7101,10567,,Ethiopia,2020-03-28,16.0,0.0
