,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
7102,10601,,Fiji,2020-01-22,0.0,0.0
7103,10602,,Fiji,2020-01-23,0.0,0.0
7104,10603,,Fiji,2020-01-24,0.0,0.0
7105,10604,,Fiji,2020-01-25,0.0,0.0
7106,10605,,Fiji,2020-01-26,0.0,0.0
7107,10606,,Fiji,2020-01-27,0.0,0.0
7108,10607,,Fiji,2020-01-28,0.0,0.0
7109,10608,,Fiji,2020-01-29,0.0,0.0
7110,10609,,Fiji,2020-01-30,0.0,0.0
7111,10610,,Fiji,2020-01-31,0.0,0.0
7112,10611,,Fiji,2020-02-01,0.0,0.0
7113,10612,,Fiji,2020-02-02,0.0,0.0
7114,10613,,Fiji,2020-02-03,0.0,0.0
7115,10614,,Fiji,2020-02-04,0.0,0.0
7116,10615,,Fiji,2020-02-05,0.0,0.0
7117,10616,,Fiji,2020-02-06,0.0,0.0
7118,10617,,Fiji,2020-02-07,0.0,0.0
7119,10618,,Fiji,2020-02-08,0.0,0.0
7120,10619,,Fiji,2020-02-09,0.0,0.0
7121,10620,,Fiji,2020-02-10,0.0,0.0
7122,10621,,Fiji,2020-02-11,0.0,0.0
7123,10622,,Fiji,2020-02-12,0.0,0.0
7124,10623,,Fiji,2020-02-13,0.0,0.0
7125,10624,,Fiji,2020-02-14,0.0,0.0
7126,10625,,Fiji,2020-02-15,0.0,0.0
7127,10626,,Fiji,2020-02-16,0.0,0.0
7128,10627,,Fiji,2020-02-17,0.0,0.0
7129,10628,,Fiji,2020-02-18,0.0,0.0
7130,10629,,Fiji,2020-02-19,0.0,0.0
7131,10630,,Fiji,2020-02-20,0.0,0.0
7132,10631,,Fiji,2020-02-21,0.0,0.0
7133,10632,,Fiji,2020-02-22,0.0,0.0
7134,10633,,Fiji,2020-02-23,0.0,0.0
7135,10634,,Fiji,2020-02-24,0.0,0.0
7136,10635,,Fiji,2020-02-25,0.0,0.0
7137,10636,,Fiji,2020-02-26,0.0,0.0
7138,10637,,Fiji,2020-02-27,0.0,0.0
7139,10638,,Fiji,2020-02-28,0.0,0.0
7140,10639,,Fiji,2020-02-29,0.0,0.0
7141,10640,,Fiji,2020-03-01,0.0,0.0
7142,10641,,Fiji,2020-03-02,0.0,0.0
7143,10642,,Fiji,2020-03-03,0.0,0.0
7144,10643,,Fiji,2020-03-04,0.0,0.0
7145,10644,,Fiji,2020-03-05,0.0,0.0
7146,10645,,Fiji,2020-03-06,0.0,0.0
7147,10646,,Fiji,2020-03-07,0.0,0.0
7148,10647,,Fiji,2020-03-08,0.0,0.0
7149,10648,,Fiji,2020-03-09,0.0,0.0
7150,10649,,Fiji,2020-03-10,0.0,0.0
7151,10650,,Fiji,2020-03-11,0.0,0.0
7152,10651,,Fiji,2020-03-12,0.0,0.0
7153,10652,,Fiji,2020-03-13,0.0,0.0
7154,10653,,Fiji,2020-03-14,0.0,0.0
7155,10654,,Fiji,2020-03-15,0.0,0.0
7156,10655,,Fiji,2020-03-16,0.0,0.0
7157,10656,,Fiji,2020-03-17,0.0,0.0
7158,10657,,Fiji,2020-03-18,0.0,0.0
7159,10658,,Fiji,2020-03-19,1.0,0.0
7160,10659,,Fiji,2020-03-20,1.0,0.0
7161,10660,,Fiji,2020-03-21,1.0,0.0
7162,10661,,Fiji,2020-03-22,2.0,0.0
7163,10662,,Fiji,2020-03-23,3.0,0.0
7164,10663,,Fiji,2020-03-24,4.0,0.0
7165,10664,,Fiji,2020-03-25,5.0,0.0
7166,10665,,Fiji,2020-03-26,5.0,0.0
7167,10666,,Fiji,2020-03-27,5.0,0.0
7168,10667,,Fiji,2020-03-28,5.0,0.0
