,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
7169,10701,,Finland,2020-01-22,0.0,0.0
7170,10702,,Finland,2020-01-23,0.0,0.0
7171,10703,,Finland,2020-01-24,0.0,0.0
7172,10704,,Finland,2020-01-25,0.0,0.0
7173,10705,,Finland,2020-01-26,0.0,0.0
7174,10706,,Finland,2020-01-27,0.0,0.0
7175,10707,,Finland,2020-01-28,0.0,0.0
7176,10708,,Finland,2020-01-29,1.0,0.0
7177,10709,,Finland,2020-01-30,1.0,0.0
7178,10710,,Finland,2020-01-31,1.0,0.0
7179,10711,,Finland,2020-02-01,1.0,0.0
7180,10712,,Finland,2020-02-02,1.0,0.0
7181,10713,,Finland,2020-02-03,1.0,0.0
7182,10714,,Finland,2020-02-04,1.0,0.0
7183,10715,,Finland,2020-02-05,1.0,0.0
7184,10716,,Finland,2020-02-06,1.0,0.0
7185,10717,,Finland,2020-02-07,1.0,0.0
7186,10718,,Finland,2020-02-08,1.0,0.0
7187,10719,,Finland,2020-02-09,1.0,0.0
7188,10720,,Finland,2020-02-10,1.0,0.0
7189,10721,,Finland,2020-02-11,1.0,0.0
7190,10722,,Finland,2020-02-12,1.0,0.0
7191,10723,,Finland,2020-02-13,1.0,0.0
7192,10724,,Finland,2020-02-14,1.0,0.0
7193,10725,,Finland,2020-02-15,1.0,0.0
7194,10726,,Finland,2020-02-16,1.0,0.0
7195,10727,,Finland,2020-02-17,1.0,0.0
7196,10728,,Finland,2020-02-18,1.0,0.0
7197,10729,,Finland,2020-02-19,1.0,0.0
7198,10730,,Finland,2020-02-20,1.0,0.0
7199,10731,,Finland,2020-02-21,1.0,0.0
7200,10732,,Finland,2020-02-22,1.0,0.0
7201,10733,,Finland,2020-02-23,1.0,0.0
7202,10734,,Finland,2020-02-24,1.0,0.0
7203,10735,,Finland,2020-02-25,1.0,0.0
7204,10736,,Finland,2020-02-26,2.0,0.0
7205,10737,,Finland,2020-02-27,2.0,0.0
7206,10738,,Finland,2020-02-28,2.0,0.0
7207,10739,,Finland,2020-02-29,3.0,0.0
7208,10740,,Finland,2020-03-01,6.0,0.0
7209,10741,,Finland,2020-03-02,6.0,0.0
7210,10742,,Finland,2020-03-03,6.0,0.0
7211,10743,,Finland,2020-03-04,6.0,0.0
7212,10744,,Finland,2020-03-05,12.0,0.0
7213,10745,,Finland,2020-03-06,15.0,0.0
7214,10746,,Finland,2020-03-07,15.0,0.0
7215,10747,,Finland,2020-03-08,23.0,0.0
7216,10748,,Finland,2020-03-09,30.0,0.0
7217,10749,,Finland,2020-03-10,40.0,0.0
7218,10750,,Finland,2020-03-11,59.0,0.0
7219,10751,,Finland,2020-03-12,59.0,0.0
7220,10752,,Finland,2020-03-13,155.0,0.0
7221,10753,,Finland,2020-03-14,225.0,0.0
7222,10754,,Finland,2020-03-15,244.0,0.0
7223,10755,,Finland,2020-03-16,277.0,0.0
7224,10756,,Finland,2020-03-17,321.0,0.0
7225,10757,,Finland,2020-03-18,336.0,0.0
7226,10758,,Finland,2020-03-19,400.0,0.0
7227,10759,,Finland,2020-03-20,450.0,0.0
7228,10760,,Finland,2020-03-21,523.0,1.0
7229,10761,,Finland,2020-03-22,626.0,1.0
7230,10762,,Finland,2020-03-23,700.0,1.0
7231,10763,,Finland,2020-03-24,792.0,1.0
7232,10764,,Finland,2020-03-25,880.0,3.0
7233,10765,,Finland,2020-03-26,958.0,5.0
7234,10766,,Finland,2020-03-27,1041.0,7.0
7235,10767,,Finland,2020-03-28,1167.0,9.0
