,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
7437,11101,Martinique,France,2020-01-22,0.0,0.0
7438,11102,Martinique,France,2020-01-23,0.0,0.0
7439,11103,Martinique,France,2020-01-24,0.0,0.0
7440,11104,Martinique,France,2020-01-25,0.0,0.0
7441,11105,Martinique,France,2020-01-26,0.0,0.0
7442,11106,Martinique,France,2020-01-27,0.0,0.0
7443,11107,Martinique,France,2020-01-28,0.0,0.0
7444,11108,Martinique,France,2020-01-29,0.0,0.0
7445,11109,Martinique,France,2020-01-30,0.0,0.0
7446,11110,Martinique,France,2020-01-31,0.0,0.0
7447,11111,Martinique,France,2020-02-01,0.0,0.0
7448,11112,Martinique,France,2020-02-02,0.0,0.0
7449,11113,Martinique,France,2020-02-03,0.0,0.0
7450,11114,Martinique,France,2020-02-04,0.0,0.0
7451,11115,Martinique,France,2020-02-05,0.0,0.0
7452,11116,Martinique,France,2020-02-06,0.0,0.0
7453,11117,Martinique,France,2020-02-07,0.0,0.0
7454,11118,Martinique,France,2020-02-08,0.0,0.0
7455,11119,Martinique,France,2020-02-09,0.0,0.0
7456,11120,Martinique,France,2020-02-10,0.0,0.0
7457,11121,Martinique,France,2020-02-11,0.0,0.0
7458,11122,Martinique,France,2020-02-12,0.0,0.0
7459,11123,Martinique,France,2020-02-13,0.0,0.0
7460,11124,Martinique,France,2020-02-14,0.0,0.0
7461,11125,Martinique,France,2020-02-15,0.0,0.0
7462,11126,Martinique,France,2020-02-16,0.0,0.0
7463,11127,Martinique,France,2020-02-17,0.0,0.0
7464,11128,Martinique,France,2020-02-18,0.0,0.0
7465,11129,Martinique,France,2020-02-19,0.0,0.0
7466,11130,Martinique,France,2020-02-20,0.0,0.0
7467,11131,Martinique,France,2020-02-21,0.0,0.0
7468,11132,Martinique,France,2020-02-22,0.0,0.0
7469,11133,Martinique,France,2020-02-23,0.0,0.0
7470,11134,Martinique,France,2020-02-24,0.0,0.0
7471,11135,Martinique,France,2020-02-25,0.0,0.0
7472,11136,Martinique,France,2020-02-26,0.0,0.0
7473,11137,Martinique,France,2020-02-27,0.0,0.0
7474,11138,Martinique,France,2020-02-28,0.0,0.0
7475,11139,Martinique,France,2020-02-29,0.0,0.0
7476,11140,Martinique,France,2020-03-01,0.0,0.0
7477,11141,Martinique,France,2020-03-02,0.0,0.0
7478,11142,Martinique,France,2020-03-03,0.0,0.0
7479,11143,Martinique,France,2020-03-04,0.0,0.0
7480,11144,Martinique,France,2020-03-05,0.0,0.0
7481,11145,Martinique,France,2020-03-06,0.0,0.0
7482,11146,Martinique,France,2020-03-07,2.0,0.0
7483,11147,Martinique,France,2020-03-08,2.0,0.0
7484,11148,Martinique,France,2020-03-09,2.0,0.0
7485,11149,Martinique,France,2020-03-10,2.0,0.0
7486,11150,Martinique,France,2020-03-11,3.0,0.0
7487,11151,Martinique,France,2020-03-12,3.0,0.0
7488,11152,Martinique,France,2020-03-13,3.0,0.0
7489,11153,Martinique,France,2020-03-14,9.0,0.0
7490,11154,Martinique,France,2020-03-15,9.0,0.0
7491,11155,Martinique,France,2020-03-16,15.0,1.0
7492,11156,Martinique,France,2020-03-17,16.0,1.0
7493,11157,Martinique,France,2020-03-18,19.0,1.0
7494,11158,Martinique,France,2020-03-19,23.0,1.0
7495,11159,Martinique,France,2020-03-20,32.0,1.0
7496,11160,Martinique,France,2020-03-21,32.0,1.0
7497,11161,Martinique,France,2020-03-22,44.0,1.0
7498,11162,Martinique,France,2020-03-23,53.0,1.0
7499,11163,Martinique,France,2020-03-24,57.0,1.0
7500,11164,Martinique,France,2020-03-25,66.0,1.0
7501,11165,Martinique,France,2020-03-26,66.0,1.0
7502,11166,Martinique,France,2020-03-27,81.0,1.0
7503,11167,Martinique,France,2020-03-28,93.0,1.0
