,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
7571,11301,New Caledonia,France,2020-01-22,0.0,0.0
7572,11302,New Caledonia,France,2020-01-23,0.0,0.0
7573,11303,New Caledonia,France,2020-01-24,0.0,0.0
7574,11304,New Caledonia,France,2020-01-25,0.0,0.0
7575,11305,New Caledonia,France,2020-01-26,0.0,0.0
7576,11306,New Caledonia,France,2020-01-27,0.0,0.0
7577,11307,New Caledonia,France,2020-01-28,0.0,0.0
7578,11308,New Caledonia,France,2020-01-29,0.0,0.0
7579,11309,New Caledonia,France,2020-01-30,0.0,0.0
7580,11310,New Caledonia,France,2020-01-31,0.0,0.0
7581,11311,New Caledonia,France,2020-02-01,0.0,0.0
7582,11312,New Caledonia,France,2020-02-02,0.0,0.0
7583,11313,New Caledonia,France,2020-02-03,0.0,0.0
7584,11314,New Caledonia,France,2020-02-04,0.0,0.0
7585,11315,New Caledonia,France,2020-02-05,0.0,0.0
7586,11316,New Caledonia,France,2020-02-06,0.0,0.0
7587,11317,New Caledonia,France,2020-02-07,0.0,0.0
7588,11318,New Caledonia,France,2020-02-08,0.0,0.0
7589,11319,New Caledonia,France,2020-02-09,0.0,0.0
7590,11320,New Caledonia,France,2020-02-10,0.0,0.0
7591,11321,New Caledonia,France,2020-02-11,0.0,0.0
7592,11322,New Caledonia,France,2020-02-12,0.0,0.0
7593,11323,New Caledonia,France,2020-02-13,0.0,0.0
7594,11324,New Caledonia,France,2020-02-14,0.0,0.0
7595,11325,New Caledonia,France,2020-02-15,0.0,0.0
7596,11326,New Caledonia,France,2020-02-16,0.0,0.0
7597,11327,New Caledonia,France,2020-02-17,0.0,0.0
7598,11328,New Caledonia,France,2020-02-18,0.0,0.0
7599,11329,New Caledonia,France,2020-02-19,0.0,0.0
7600,11330,New Caledonia,France,2020-02-20,0.0,0.0
7601,11331,New Caledonia,France,2020-02-21,0.0,0.0
7602,11332,New Caledonia,France,2020-02-22,0.0,0.0
7603,11333,New Caledonia,France,2020-02-23,0.0,0.0
7604,11334,New Caledonia,France,2020-02-24,0.0,0.0
7605,11335,New Caledonia,France,2020-02-25,0.0,0.0
7606,11336,New Caledonia,France,2020-02-26,0.0,0.0
7607,11337,New Caledonia,France,2020-02-27,0.0,0.0
7608,11338,New Caledonia,France,2020-02-28,0.0,0.0
7609,11339,New Caledonia,France,2020-02-29,0.0,0.0
7610,11340,New Caledonia,France,2020-03-01,0.0,0.0
7611,11341,New Caledonia,France,2020-03-02,0.0,0.0
7612,11342,New Caledonia,France,2020-03-03,0.0,0.0
7613,11343,New Caledonia,France,2020-03-04,0.0,0.0
7614,11344,New Caledonia,France,2020-03-05,0.0,0.0
7615,11345,New Caledonia,France,2020-03-06,0.0,0.0
7616,11346,New Caledonia,France,2020-03-07,0.0,0.0
7617,11347,New Caledonia,France,2020-03-08,0.0,0.0
7618,11348,New Caledonia,France,2020-03-09,0.0,0.0
7619,11349,New Caledonia,France,2020-03-10,0.0,0.0
7620,11350,New Caledonia,France,2020-03-11,0.0,0.0
7621,11351,New Caledonia,France,2020-03-12,0.0,0.0
7622,11352,New Caledonia,France,2020-03-13,0.0,0.0
7623,11353,New Caledonia,France,2020-03-14,0.0,0.0
7624,11354,New Caledonia,France,2020-03-15,0.0,0.0
7625,11355,New Caledonia,France,2020-03-16,0.0,0.0
7626,11356,New Caledonia,France,2020-03-17,0.0,0.0
7627,11357,New Caledonia,France,2020-03-18,0.0,0.0
7628,11358,New Caledonia,France,2020-03-19,2.0,0.0
7629,11359,New Caledonia,France,2020-03-20,2.0,0.0
7630,11360,New Caledonia,France,2020-03-21,4.0,0.0
7631,11361,New Caledonia,France,2020-03-22,4.0,0.0
7632,11362,New Caledonia,France,2020-03-23,8.0,0.0
7633,11363,New Caledonia,France,2020-03-24,10.0,0.0
7634,11364,New Caledonia,France,2020-03-25,14.0,0.0
7635,11365,New Caledonia,France,2020-03-26,14.0,0.0
7636,11366,New Caledonia,France,2020-03-27,15.0,0.0
7637,11367,New Caledonia,France,2020-03-28,15.0,0.0
