,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
7772,11601,St Martin,France,2020-01-22,0.0,0.0
7773,11602,St Martin,France,2020-01-23,0.0,0.0
7774,11603,St Martin,France,2020-01-24,0.0,0.0
7775,11604,St Martin,France,2020-01-25,0.0,0.0
7776,11605,St Martin,France,2020-01-26,0.0,0.0
7777,11606,St Martin,France,2020-01-27,0.0,0.0
7778,11607,St Martin,France,2020-01-28,0.0,0.0
7779,11608,St Martin,France,2020-01-29,0.0,0.0
7780,11609,St Martin,France,2020-01-30,0.0,0.0
7781,11610,St Martin,France,2020-01-31,0.0,0.0
7782,11611,St Martin,France,2020-02-01,0.0,0.0
7783,11612,St Martin,France,2020-02-02,0.0,0.0
7784,11613,St Martin,France,2020-02-03,0.0,0.0
7785,11614,St Martin,France,2020-02-04,0.0,0.0
7786,11615,St Martin,France,2020-02-05,0.0,0.0
7787,11616,St Martin,France,2020-02-06,0.0,0.0
7788,11617,St Martin,France,2020-02-07,0.0,0.0
7789,11618,St Martin,France,2020-02-08,0.0,0.0
7790,11619,St Martin,France,2020-02-09,0.0,0.0
7791,11620,St Martin,France,2020-02-10,0.0,0.0
7792,11621,St Martin,France,2020-02-11,0.0,0.0
7793,11622,St Martin,France,2020-02-12,0.0,0.0
7794,11623,St Martin,France,2020-02-13,0.0,0.0
7795,11624,St Martin,France,2020-02-14,0.0,0.0
7796,11625,St Martin,France,2020-02-15,0.0,0.0
7797,11626,St Martin,France,2020-02-16,0.0,0.0
7798,11627,St Martin,France,2020-02-17,0.0,0.0
7799,11628,St Martin,France,2020-02-18,0.0,0.0
7800,11629,St Martin,France,2020-02-19,0.0,0.0
7801,11630,St Martin,France,2020-02-20,0.0,0.0
7802,11631,St Martin,France,2020-02-21,0.0,0.0
7803,11632,St Martin,France,2020-02-22,0.0,0.0
7804,11633,St Martin,France,2020-02-23,0.0,0.0
7805,11634,St Martin,France,2020-02-24,0.0,0.0
7806,11635,St Martin,France,2020-02-25,0.0,0.0
7807,11636,St Martin,France,2020-02-26,0.0,0.0
7808,11637,St Martin,France,2020-02-27,0.0,0.0
7809,11638,St Martin,France,2020-02-28,0.0,0.0
7810,11639,St Martin,France,2020-02-29,0.0,0.0
7811,11640,St Martin,France,2020-03-01,0.0,0.0
7812,11641,St Martin,France,2020-03-02,0.0,0.0
7813,11642,St Martin,France,2020-03-03,0.0,0.0
7814,11643,St Martin,France,2020-03-04,0.0,0.0
7815,11644,St Martin,France,2020-03-05,0.0,0.0
7816,11645,St Martin,France,2020-03-06,0.0,0.0
7817,11646,St Martin,France,2020-03-07,0.0,0.0
7818,11647,St Martin,France,2020-03-08,0.0,0.0
7819,11648,St Martin,France,2020-03-09,2.0,0.0
7820,11649,St Martin,France,2020-03-10,2.0,0.0
7821,11650,St Martin,France,2020-03-11,2.0,0.0
7822,11651,St Martin,France,2020-03-12,2.0,0.0
7823,11652,St Martin,France,2020-03-13,2.0,0.0
7824,11653,St Martin,France,2020-03-14,2.0,0.0
7825,11654,St Martin,France,2020-03-15,2.0,0.0
7826,11655,St Martin,France,2020-03-16,2.0,0.0
7827,11656,St Martin,France,2020-03-17,2.0,0.0
7828,11657,St Martin,France,2020-03-18,3.0,0.0
7829,11658,St Martin,France,2020-03-19,4.0,0.0
7830,11659,St Martin,France,2020-03-20,4.0,0.0
7831,11660,St Martin,France,2020-03-21,4.0,0.0
7832,11661,St Martin,France,2020-03-22,5.0,0.0
7833,11662,St Martin,France,2020-03-23,8.0,0.0
7834,11663,St Martin,France,2020-03-24,8.0,0.0
7835,11664,St Martin,France,2020-03-25,11.0,0.0
7836,11665,St Martin,France,2020-03-26,11.0,0.0
7837,11666,St Martin,France,2020-03-27,11.0,0.0
7838,11667,St Martin,France,2020-03-28,11.0,0.0
