,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
8174,12201,,Ghana,2020-01-22,0.0,0.0
8175,12202,,Ghana,2020-01-23,0.0,0.0
8176,12203,,Ghana,2020-01-24,0.0,0.0
8177,12204,,Ghana,2020-01-25,0.0,0.0
8178,12205,,Ghana,2020-01-26,0.0,0.0
8179,12206,,Ghana,2020-01-27,0.0,0.0
8180,12207,,Ghana,2020-01-28,0.0,0.0
8181,12208,,Ghana,2020-01-29,0.0,0.0
8182,12209,,Ghana,2020-01-30,0.0,0.0
8183,12210,,Ghana,2020-01-31,0.0,0.0
8184,12211,,Ghana,2020-02-01,0.0,0.0
8185,12212,,Ghana,2020-02-02,0.0,0.0
8186,12213,,Ghana,2020-02-03,0.0,0.0
8187,12214,,Ghana,2020-02-04,0.0,0.0
8188,12215,,Ghana,2020-02-05,0.0,0.0
8189,12216,,Ghana,2020-02-06,0.0,0.0
8190,12217,,Ghana,2020-02-07,0.0,0.0
8191,12218,,Ghana,2020-02-08,0.0,0.0
8192,12219,,Ghana,2020-02-09,0.0,0.0
8193,12220,,Ghana,2020-02-10,0.0,0.0
8194,12221,,Ghana,2020-02-11,0.0,0.0
8195,12222,,Ghana,2020-02-12,0.0,0.0
8196,12223,,Ghana,2020-02-13,0.0,0.0
8197,12224,,Ghana,2020-02-14,0.0,0.0
8198,12225,,Ghana,2020-02-15,0.0,0.0
8199,12226,,Ghana,2020-02-16,0.0,0.0
8200,12227,,Ghana,2020-02-17,0.0,0.0
8201,12228,,Ghana,2020-02-18,0.0,0.0
8202,12229,,Ghana,2020-02-19,0.0,0.0
8203,12230,,Ghana,2020-02-20,0.0,0.0
8204,12231,,Ghana,2020-02-21,0.0,0.0
8205,12232,,Ghana,2020-02-22,0.0,0.0
8206,12233,,Ghana,2020-02-23,0.0,0.0
8207,12234,,Ghana,2020-02-24,0.0,0.0
8208,12235,,Ghana,2020-02-25,0.0,0.0
8209,12236,,Ghana,2020-02-26,0.0,0.0
8210,12237,,Ghana,2020-02-27,0.0,0.0
8211,12238,,Ghana,2020-02-28,0.0,0.0
8212,12239,,Ghana,2020-02-29,0.0,0.0
8213,12240,,Ghana,2020-03-01,0.0,0.0
8214,12241,,Ghana,2020-03-02,0.0,0.0
8215,12242,,Ghana,2020-03-03,0.0,0.0
8216,12243,,Ghana,2020-03-04,0.0,0.0
8217,12244,,Ghana,2020-03-05,0.0,0.0
8218,12245,,Ghana,2020-03-06,0.0,0.0
8219,12246,,Ghana,2020-03-07,0.0,0.0
8220,12247,,Ghana,2020-03-08,0.0,0.0
8221,12248,,Ghana,2020-03-09,0.0,0.0
8222,12249,,Ghana,2020-03-10,0.0,0.0
8223,12250,,Ghana,2020-03-11,0.0,0.0
8224,12251,,Ghana,2020-03-12,0.0,0.0
8225,12252,,Ghana,2020-03-13,0.0,0.0
8226,12253,,Ghana,2020-03-14,3.0,0.0
8227,12254,,Ghana,2020-03-15,6.0,0.0
8228,12255,,Ghana,2020-03-16,6.0,0.0
8229,12256,,Ghana,2020-03-17,7.0,0.0
8230,12257,,Ghana,2020-03-18,7.0,0.0
8231,12258,,Ghana,2020-03-19,11.0,0.0
8232,12259,,Ghana,2020-03-20,16.0,0.0
8233,12260,,Ghana,2020-03-21,19.0,1.0
8234,12261,,Ghana,2020-03-22,23.0,1.0
8235,12262,,Ghana,2020-03-23,27.0,2.0
8236,12263,,Ghana,2020-03-24,53.0,2.0
8237,12264,,Ghana,2020-03-25,93.0,4.0
8238,12265,,Ghana,2020-03-26,132.0,4.0
8239,12266,,Ghana,2020-03-27,137.0,4.0
8240,12267,,Ghana,2020-03-28,141.0,5.0
