,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
8241,12301,,Greece,2020-01-22,0.0,0.0
8242,12302,,Greece,2020-01-23,0.0,0.0
8243,12303,,Greece,2020-01-24,0.0,0.0
8244,12304,,Greece,2020-01-25,0.0,0.0
8245,12305,,Greece,2020-01-26,0.0,0.0
8246,12306,,Greece,2020-01-27,0.0,0.0
8247,12307,,Greece,2020-01-28,0.0,0.0
8248,12308,,Greece,2020-01-29,0.0,0.0
8249,12309,,Greece,2020-01-30,0.0,0.0
8250,12310,,Greece,2020-01-31,0.0,0.0
8251,12311,,Greece,2020-02-01,0.0,0.0
8252,12312,,Greece,2020-02-02,0.0,0.0
8253,12313,,Greece,2020-02-03,0.0,0.0
8254,12314,,Greece,2020-02-04,0.0,0.0
8255,12315,,Greece,2020-02-05,0.0,0.0
8256,12316,,Greece,2020-02-06,0.0,0.0
8257,12317,,Greece,2020-02-07,0.0,0.0
8258,12318,,Greece,2020-02-08,0.0,0.0
8259,12319,,Greece,2020-02-09,0.0,0.0
8260,12320,,Greece,2020-02-10,0.0,0.0
8261,12321,,Greece,2020-02-11,0.0,0.0
8262,12322,,Greece,2020-02-12,0.0,0.0
8263,12323,,Greece,2020-02-13,0.0,0.0
8264,12324,,Greece,2020-02-14,0.0,0.0
8265,12325,,Greece,2020-02-15,0.0,0.0
8266,12326,,Greece,2020-02-16,0.0,0.0
8267,12327,,Greece,2020-02-17,0.0,0.0
8268,12328,,Greece,2020-02-18,0.0,0.0
8269,12329,,Greece,2020-02-19,0.0,0.0
8270,12330,,Greece,2020-02-20,0.0,0.0
8271,12331,,Greece,2020-02-21,0.0,0.0
8272,12332,,Greece,2020-02-22,0.0,0.0
8273,12333,,Greece,2020-02-23,0.0,0.0
8274,12334,,Greece,2020-02-24,0.0,0.0
8275,12335,,Greece,2020-02-25,0.0,0.0
8276,12336,,Greece,2020-02-26,1.0,0.0
8277,12337,,Greece,2020-02-27,3.0,0.0
8278,12338,,Greece,2020-02-28,4.0,0.0
8279,12339,,Greece,2020-02-29,4.0,0.0
8280,12340,,Greece,2020-03-01,7.0,0.0
8281,12341,,Greece,2020-03-02,7.0,0.0
8282,12342,,Greece,2020-03-03,7.0,0.0
8283,12343,,Greece,2020-03-04,9.0,0.0
8284,12344,,Greece,2020-03-05,31.0,0.0
8285,12345,,Greece,2020-03-06,45.0,0.0
8286,12346,,Greece,2020-03-07,46.0,0.0
8287,12347,,Greece,2020-03-08,73.0,0.0
8288,12348,,Greece,2020-03-09,73.0,0.0
8289,12349,,Greece,2020-03-10,89.0,0.0
8290,12350,,Greece,2020-03-11,99.0,1.0
8291,12351,,Greece,2020-03-12,99.0,1.0
8292,12352,,Greece,2020-03-13,190.0,1.0
8293,12353,,Greece,2020-03-14,228.0,3.0
8294,12354,,Greece,2020-03-15,331.0,4.0
8295,12355,,Greece,2020-03-16,331.0,4.0
8296,12356,,Greece,2020-03-17,387.0,5.0
8297,12357,,Greece,2020-03-18,418.0,5.0
8298,12358,,Greece,2020-03-19,418.0,6.0
8299,12359,,Greece,2020-03-20,495.0,6.0
8300,12360,,Greece,2020-03-21,530.0,13.0
8301,12361,,Greece,2020-03-22,624.0,15.0
8302,12362,,Greece,2020-03-23,695.0,17.0
8303,12363,,Greece,2020-03-24,743.0,20.0
8304,12364,,Greece,2020-03-25,821.0,22.0
8305,12365,,Greece,2020-03-26,892.0,26.0
8306,12366,,Greece,2020-03-27,966.0,28.0
8307,12367,,Greece,2020-03-28,1061.0,32.0
