,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
8509,12701,,Guinea-Bissau,2020-01-22,0.0,0.0
8510,12702,,Guinea-Bissau,2020-01-23,0.0,0.0
8511,12703,,Guinea-Bissau,2020-01-24,0.0,0.0
8512,12704,,Guinea-Bissau,2020-01-25,0.0,0.0
8513,12705,,Guinea-Bissau,2020-01-26,0.0,0.0
8514,12706,,Guinea-Bissau,2020-01-27,0.0,0.0
8515,12707,,Guinea-Bissau,2020-01-28,0.0,0.0
8516,12708,,Guinea-Bissau,2020-01-29,0.0,0.0
8517,12709,,Guinea-Bissau,2020-01-30,0.0,0.0
8518,12710,,Guinea-Bissau,2020-01-31,0.0,0.0
8519,12711,,Guinea-Bissau,2020-02-01,0.0,0.0
8520,12712,,Guinea-Bissau,2020-02-02,0.0,0.0
8521,12713,,Guinea-Bissau,2020-02-03,0.0,0.0
8522,12714,,Guinea-Bissau,2020-02-04,0.0,0.0
8523,12715,,Guinea-Bissau,2020-02-05,0.0,0.0
8524,12716,,Guinea-Bissau,2020-02-06,0.0,0.0
8525,12717,,Guinea-Bissau,2020-02-07,0.0,0.0
8526,12718,,Guinea-Bissau,2020-02-08,0.0,0.0
8527,12719,,Guinea-Bissau,2020-02-09,0.0,0.0
8528,12720,,Guinea-Bissau,2020-02-10,0.0,0.0
8529,12721,,Guinea-Bissau,2020-02-11,0.0,0.0
8530,12722,,Guinea-Bissau,2020-02-12,0.0,0.0
8531,12723,,Guinea-Bissau,2020-02-13,0.0,0.0
8532,12724,,Guinea-Bissau,2020-02-14,0.0,0.0
8533,12725,,Guinea-Bissau,2020-02-15,0.0,0.0
8534,12726,,Guinea-Bissau,2020-02-16,0.0,0.0
8535,12727,,Guinea-Bissau,2020-02-17,0.0,0.0
8536,12728,,Guinea-Bissau,2020-02-18,0.0,0.0
8537,12729,,Guinea-Bissau,2020-02-19,0.0,0.0
8538,12730,,Guinea-Bissau,2020-02-20,0.0,0.0
8539,12731,,Guinea-Bissau,2020-02-21,0.0,0.0
8540,12732,,Guinea-Bissau,2020-02-22,0.0,0.0
8541,12733,,Guinea-Bissau,2020-02-23,0.0,0.0
8542,12734,,Guinea-Bissau,2020-02-24,0.0,0.0
8543,12735,,Guinea-Bissau,2020-02-25,0.0,0.0
8544,12736,,Guinea-Bissau,2020-02-26,0.0,0.0
8545,12737,,Guinea-Bissau,2020-02-27,0.0,0.0
8546,12738,,Guinea-Bissau,2020-02-28,0.0,0.0
8547,12739,,Guinea-Bissau,2020-02-29,0.0,0.0
8548,12740,,Guinea-Bissau,2020-03-01,0.0,0.0
8549,12741,,Guinea-Bissau,2020-03-02,0.0,0.0
8550,12742,,Guinea-Bissau,2020-03-03,0.0,0.0
8551,12743,,Guinea-Bissau,2020-03-04,0.0,0.0
8552,12744,,Guinea-Bissau,2020-03-05,0.0,0.0
8553,12745,,Guinea-Bissau,2020-03-06,0.0,0.0
8554,12746,,Guinea-Bissau,2020-03-07,0.0,0.0
8555,12747,,Guinea-Bissau,2020-03-08,0.0,0.0
8556,12748,,Guinea-Bissau,2020-03-09,0.0,0.0
8557,12749,,Guinea-Bissau,2020-03-10,0.0,0.0
8558,12750,,Guinea-Bissau,2020-03-11,0.0,0.0
8559,12751,,Guinea-Bissau,2020-03-12,0.0,0.0
8560,12752,,Guinea-Bissau,2020-03-13,0.0,0.0
8561,12753,,Guinea-Bissau,2020-03-14,0.0,0.0
8562,12754,,Guinea-Bissau,2020-03-15,0.0,0.0
8563,12755,,Guinea-Bissau,2020-03-16,0.0,0.0
8564,12756,,Guinea-Bissau,2020-03-17,0.0,0.0
8565,12757,,Guinea-Bissau,2020-03-18,0.0,0.0
8566,12758,,Guinea-Bissau,2020-03-19,0.0,0.0
8567,12759,,Guinea-Bissau,2020-03-20,0.0,0.0
8568,12760,,Guinea-Bissau,2020-03-21,0.0,0.0
8569,12761,,Guinea-Bissau,2020-03-22,0.0,0.0
8570,12762,,Guinea-Bissau,2020-03-23,0.0,0.0
8571,12763,,Guinea-Bissau,2020-03-24,0.0,0.0
8572,12764,,Guinea-Bissau,2020-03-25,2.0,0.0
8573,12765,,Guinea-Bissau,2020-03-26,2.0,0.0
8574,12766,,Guinea-Bissau,2020-03-27,2.0,0.0
8575,12767,,Guinea-Bissau,2020-03-28,2.0,0.0
