,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
9045,13501,,Indonesia,2020-01-22,0.0,0.0
9046,13502,,Indonesia,2020-01-23,0.0,0.0
9047,13503,,Indonesia,2020-01-24,0.0,0.0
9048,13504,,Indonesia,2020-01-25,0.0,0.0
9049,13505,,Indonesia,2020-01-26,0.0,0.0
9050,13506,,Indonesia,2020-01-27,0.0,0.0
9051,13507,,Indonesia,2020-01-28,0.0,0.0
9052,13508,,Indonesia,2020-01-29,0.0,0.0
9053,13509,,Indonesia,2020-01-30,0.0,0.0
9054,13510,,Indonesia,2020-01-31,0.0,0.0
9055,13511,,Indonesia,2020-02-01,0.0,0.0
9056,13512,,Indonesia,2020-02-02,0.0,0.0
9057,13513,,Indonesia,2020-02-03,0.0,0.0
9058,13514,,Indonesia,2020-02-04,0.0,0.0
9059,13515,,Indonesia,2020-02-05,0.0,0.0
9060,13516,,Indonesia,2020-02-06,0.0,0.0
9061,13517,,Indonesia,2020-02-07,0.0,0.0
9062,13518,,Indonesia,2020-02-08,0.0,0.0
9063,13519,,Indonesia,2020-02-09,0.0,0.0
9064,13520,,Indonesia,2020-02-10,0.0,0.0
9065,13521,,Indonesia,2020-02-11,0.0,0.0
9066,13522,,Indonesia,2020-02-12,0.0,0.0
9067,13523,,Indonesia,2020-02-13,0.0,0.0
9068,13524,,Indonesia,2020-02-14,0.0,0.0
9069,13525,,Indonesia,2020-02-15,0.0,0.0
9070,13526,,Indonesia,2020-02-16,0.0,0.0
9071,13527,,Indonesia,2020-02-17,0.0,0.0
9072,13528,,Indonesia,2020-02-18,0.0,0.0
9073,13529,,Indonesia,2020-02-19,0.0,0.0
9074,13530,,Indonesia,2020-02-20,0.0,0.0
9075,13531,,Indonesia,2020-02-21,0.0,0.0
9076,13532,,Indonesia,2020-02-22,0.0,0.0
9077,13533,,Indonesia,2020-02-23,0.0,0.0
9078,13534,,Indonesia,2020-02-24,0.0,0.0
9079,13535,,Indonesia,2020-02-25,0.0,0.0
9080,13536,,Indonesia,2020-02-26,0.0,0.0
9081,13537,,Indonesia,2020-02-27,0.0,0.0
9082,13538,,Indonesia,2020-02-28,0.0,0.0
9083,13539,,Indonesia,2020-02-29,0.0,0.0
9084,13540,,Indonesia,2020-03-01,0.0,0.0
9085,13541,,Indonesia,2020-03-02,2.0,0.0
9086,13542,,Indonesia,2020-03-03,2.0,0.0
9087,13543,,Indonesia,2020-03-04,2.0,0.0
9088,13544,,Indonesia,2020-03-05,2.0,0.0
9089,13545,,Indonesia,2020-03-06,4.0,0.0
9090,13546,,Indonesia,2020-03-07,4.0,0.0
9091,13547,,Indonesia,2020-03-08,6.0,0.0
9092,13548,,Indonesia,2020-03-09,19.0,0.0
9093,13549,,Indonesia,2020-03-10,27.0,0.0
9094,13550,,Indonesia,2020-03-11,34.0,1.0
9095,13551,,Indonesia,2020-03-12,34.0,1.0
9096,13552,,Indonesia,2020-03-13,69.0,4.0
9097,13553,,Indonesia,2020-03-14,96.0,5.0
9098,13554,,Indonesia,2020-03-15,117.0,5.0
9099,13555,,Indonesia,2020-03-16,134.0,5.0
9100,13556,,Indonesia,2020-03-17,172.0,5.0
9101,13557,,Indonesia,2020-03-18,227.0,19.0
9102,13558,,Indonesia,2020-03-19,311.0,25.0
9103,13559,,Indonesia,2020-03-20,369.0,32.0
9104,13560,,Indonesia,2020-03-21,450.0,38.0
9105,13561,,Indonesia,2020-03-22,514.0,48.0
9106,13562,,Indonesia,2020-03-23,579.0,49.0
9107,13563,,Indonesia,2020-03-24,686.0,55.0
9108,13564,,Indonesia,2020-03-25,790.0,58.0
9109,13565,,Indonesia,2020-03-26,893.0,78.0
9110,13566,,Indonesia,2020-03-27,1046.0,87.0
9111,13567,,Indonesia,2020-03-28,1155.0,102.0
