,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
9514,14201,,Japan,2020-01-22,2.0,0.0
9515,14202,,Japan,2020-01-23,2.0,0.0
9516,14203,,Japan,2020-01-24,2.0,0.0
9517,14204,,Japan,2020-01-25,2.0,0.0
9518,14205,,Japan,2020-01-26,4.0,0.0
9519,14206,,Japan,2020-01-27,4.0,0.0
9520,14207,,Japan,2020-01-28,7.0,0.0
9521,14208,,Japan,2020-01-29,7.0,0.0
9522,14209,,Japan,2020-01-30,11.0,0.0
9523,14210,,Japan,2020-01-31,15.0,0.0
9524,14211,,Japan,2020-02-01,20.0,0.0
9525,14212,,Japan,2020-02-02,20.0,0.0
9526,14213,,Japan,2020-02-03,20.0,0.0
9527,14214,,Japan,2020-02-04,22.0,0.0
9528,14215,,Japan,2020-02-05,22.0,0.0
9529,14216,,Japan,2020-02-06,22.0,0.0
9530,14217,,Japan,2020-02-07,25.0,0.0
9531,14218,,Japan,2020-02-08,25.0,0.0
9532,14219,,Japan,2020-02-09,26.0,0.0
9533,14220,,Japan,2020-02-10,26.0,0.0
9534,14221,,Japan,2020-02-11,26.0,0.0
9535,14222,,Japan,2020-02-12,28.0,0.0
9536,14223,,Japan,2020-02-13,28.0,1.0
9537,14224,,Japan,2020-02-14,29.0,1.0
9538,14225,,Japan,2020-02-15,43.0,1.0
9539,14226,,Japan,2020-02-16,59.0,1.0
9540,14227,,Japan,2020-02-17,66.0,1.0
9541,14228,,Japan,2020-02-18,74.0,1.0
9542,14229,,Japan,2020-02-19,84.0,1.0
9543,14230,,Japan,2020-02-20,94.0,1.0
9544,14231,,Japan,2020-02-21,105.0,1.0
9545,14232,,Japan,2020-02-22,122.0,1.0
9546,14233,,Japan,2020-02-23,147.0,1.0
9547,14234,,Japan,2020-02-24,159.0,1.0
9548,14235,,Japan,2020-02-25,170.0,1.0
9549,14236,,Japan,2020-02-26,189.0,2.0
9550,14237,,Japan,2020-02-27,214.0,4.0
9551,14238,,Japan,2020-02-28,228.0,4.0
9552,14239,,Japan,2020-02-29,241.0,5.0
9553,14240,,Japan,2020-03-01,256.0,6.0
9554,14241,,Japan,2020-03-02,274.0,6.0
9555,14242,,Japan,2020-03-03,293.0,6.0
9556,14243,,Japan,2020-03-04,331.0,6.0
9557,14244,,Japan,2020-03-05,360.0,6.0
9558,14245,,Japan,2020-03-06,420.0,6.0
9559,14246,,Japan,2020-03-07,461.0,6.0
9560,14247,,Japan,2020-03-08,502.0,6.0
9561,14248,,Japan,2020-03-09,511.0,10.0
9562,14249,,Japan,2020-03-10,581.0,10.0
9563,14250,,Japan,2020-03-11,639.0,15.0
9564,14251,,Japan,2020-03-12,639.0,16.0
9565,14252,,Japan,2020-03-13,701.0,19.0
9566,14253,,Japan,2020-03-14,773.0,22.0
9567,14254,,Japan,2020-03-15,839.0,22.0
9568,14255,,Japan,2020-03-16,839.0,27.0
9569,14256,,Japan,2020-03-17,878.0,29.0
9570,14257,,Japan,2020-03-18,889.0,29.0
9571,14258,,Japan,2020-03-19,924.0,29.0
9572,14259,,Japan,2020-03-20,963.0,33.0
9573,14260,,Japan,2020-03-21,1007.0,35.0
9574,14261,,Japan,2020-03-22,1101.0,41.0
9575,14262,,Japan,2020-03-23,1128.0,42.0
9576,14263,,Japan,2020-03-24,1193.0,43.0
9577,14264,,Japan,2020-03-25,1307.0,45.0
9578,14265,,Japan,2020-03-26,1387.0,47.0
9579,14266,,Japan,2020-03-27,1468.0,49.0
9580,14267,,Japan,2020-03-28,1693.0,52.0
