,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
9648,14401,,Kazakhstan,2020-01-22,0.0,0.0
9649,14402,,Kazakhstan,2020-01-23,0.0,0.0
9650,14403,,Kazakhstan,2020-01-24,0.0,0.0
9651,14404,,Kazakhstan,2020-01-25,0.0,0.0
9652,14405,,Kazakhstan,2020-01-26,0.0,0.0
9653,14406,,Kazakhstan,2020-01-27,0.0,0.0
9654,14407,,Kazakhstan,2020-01-28,0.0,0.0
9655,14408,,Kazakhstan,2020-01-29,0.0,0.0
9656,14409,,Kazakhstan,2020-01-30,0.0,0.0
9657,14410,,Kazakhstan,2020-01-31,0.0,0.0
9658,14411,,Kazakhstan,2020-02-01,0.0,0.0
9659,14412,,Kazakhstan,2020-02-02,0.0,0.0
9660,14413,,Kazakhstan,2020-02-03,0.0,0.0
9661,14414,,Kazakhstan,2020-02-04,0.0,0.0
9662,14415,,Kazakhstan,2020-02-05,0.0,0.0
9663,14416,,Kazakhstan,2020-02-06,0.0,0.0
9664,14417,,Kazakhstan,2020-02-07,0.0,0.0
9665,14418,,Kazakhstan,2020-02-08,0.0,0.0
9666,14419,,Kazakhstan,2020-02-09,0.0,0.0
9667,14420,,Kazakhstan,2020-02-10,0.0,0.0
9668,14421,,Kazakhstan,2020-02-11,0.0,0.0
9669,14422,,Kazakhstan,2020-02-12,0.0,0.0
9670,14423,,Kazakhstan,2020-02-13,0.0,0.0
9671,14424,,Kazakhstan,2020-02-14,0.0,0.0
9672,14425,,Kazakhstan,2020-02-15,0.0,0.0
9673,14426,,Kazakhstan,2020-02-16,0.0,0.0
9674,14427,,Kazakhstan,2020-02-17,0.0,0.0
9675,14428,,Kazakhstan,2020-02-18,0.0,0.0
9676,14429,,Kazakhstan,2020-02-19,0.0,0.0
9677,14430,,Kazakhstan,2020-02-20,0.0,0.0
9678,14431,,Kazakhstan,2020-02-21,0.0,0.0
9679,14432,,Kazakhstan,2020-02-22,0.0,0.0
9680,14433,,Kazakhstan,2020-02-23,0.0,0.0
9681,14434,,Kazakhstan,2020-02-24,0.0,0.0
9682,14435,,Kazakhstan,2020-02-25,0.0,0.0
9683,14436,,Kazakhstan,2020-02-26,0.0,0.0
9684,14437,,Kazakhstan,2020-02-27,0.0,0.0
9685,14438,,Kazakhstan,2020-02-28,0.0,0.0
9686,14439,,Kazakhstan,2020-02-29,0.0,0.0
9687,14440,,Kazakhstan,2020-03-01,0.0,0.0
9688,14441,,Kazakhstan,2020-03-02,0.0,0.0
9689,14442,,Kazakhstan,2020-03-03,0.0,0.0
9690,14443,,Kazakhstan,2020-03-04,0.0,0.0
9691,14444,,Kazakhstan,2020-03-05,0.0,0.0
9692,14445,,Kazakhstan,2020-03-06,0.0,0.0
9693,14446,,Kazakhstan,2020-03-07,0.0,0.0
9694,14447,,Kazakhstan,2020-03-08,0.0,0.0
9695,14448,,Kazakhstan,2020-03-09,0.0,0.0
9696,14449,,Kazakhstan,2020-03-10,0.0,0.0
9697,14450,,Kazakhstan,2020-03-11,0.0,0.0
9698,14451,,Kazakhstan,2020-03-12,0.0,0.0
9699,14452,,Kazakhstan,2020-03-13,4.0,0.0
9700,14453,,Kazakhstan,2020-03-14,6.0,0.0
9701,14454,,Kazakhstan,2020-03-15,9.0,0.0
9702,14455,,Kazakhstan,2020-03-16,10.0,0.0
9703,14456,,Kazakhstan,2020-03-17,33.0,0.0
9704,14457,,Kazakhstan,2020-03-18,35.0,0.0
9705,14458,,Kazakhstan,2020-03-19,44.0,0.0
9706,14459,,Kazakhstan,2020-03-20,49.0,3.0
9707,14460,,Kazakhstan,2020-03-21,53.0,0.0
9708,14461,,Kazakhstan,2020-03-22,60.0,0.0
9709,14462,,Kazakhstan,2020-03-23,62.0,0.0
9710,14463,,Kazakhstan,2020-03-24,72.0,0.0
9711,14464,,Kazakhstan,2020-03-25,81.0,0.0
9712,14465,,Kazakhstan,2020-03-26,111.0,1.0
9713,14466,,Kazakhstan,2020-03-27,150.0,1.0
9714,14467,,Kazakhstan,2020-03-28,228.0,1.0
