,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
9849,14701,,Kuwait,2020-01-22,0.0,0.0
9850,14702,,Kuwait,2020-01-23,0.0,0.0
9851,14703,,Kuwait,2020-01-24,0.0,0.0
9852,14704,,Kuwait,2020-01-25,0.0,0.0
9853,14705,,Kuwait,2020-01-26,0.0,0.0
9854,14706,,Kuwait,2020-01-27,0.0,0.0
9855,14707,,Kuwait,2020-01-28,0.0,0.0
9856,14708,,Kuwait,2020-01-29,0.0,0.0
9857,14709,,Kuwait,2020-01-30,0.0,0.0
9858,14710,,Kuwait,2020-01-31,0.0,0.0
9859,14711,,Kuwait,2020-02-01,0.0,0.0
9860,14712,,Kuwait,2020-02-02,0.0,0.0
9861,14713,,Kuwait,2020-02-03,0.0,0.0
9862,14714,,Kuwait,2020-02-04,0.0,0.0
9863,14715,,Kuwait,2020-02-05,0.0,0.0
9864,14716,,Kuwait,2020-02-06,0.0,0.0
9865,14717,,Kuwait,2020-02-07,0.0,0.0
9866,14718,,Kuwait,2020-02-08,0.0,0.0
9867,14719,,Kuwait,2020-02-09,0.0,0.0
9868,14720,,Kuwait,2020-02-10,0.0,0.0
9869,14721,,Kuwait,2020-02-11,0.0,0.0
9870,14722,,Kuwait,2020-02-12,0.0,0.0
9871,14723,,Kuwait,2020-02-13,0.0,0.0
9872,14724,,Kuwait,2020-02-14,0.0,0.0
9873,14725,,Kuwait,2020-02-15,0.0,0.0
9874,14726,,Kuwait,2020-02-16,0.0,0.0
9875,14727,,Kuwait,2020-02-17,0.0,0.0
9876,14728,,Kuwait,2020-02-18,0.0,0.0
9877,14729,,Kuwait,2020-02-19,0.0,0.0
9878,14730,,Kuwait,2020-02-20,0.0,0.0
9879,14731,,Kuwait,2020-02-21,0.0,0.0
9880,14732,,Kuwait,2020-02-22,0.0,0.0
9881,14733,,Kuwait,2020-02-23,0.0,0.0
9882,14734,,Kuwait,2020-02-24,1.0,0.0
9883,14735,,Kuwait,2020-02-25,11.0,0.0
9884,14736,,Kuwait,2020-02-26,26.0,0.0
9885,14737,,Kuwait,2020-02-27,43.0,0.0
9886,14738,,Kuwait,2020-02-28,45.0,0.0
9887,14739,,Kuwait,2020-02-29,45.0,0.0
9888,14740,,Kuwait,2020-03-01,45.0,0.0
9889,14741,,Kuwait,2020-03-02,56.0,0.0
9890,14742,,Kuwait,2020-03-03,56.0,0.0
9891,14743,,Kuwait,2020-03-04,56.0,0.0
9892,14744,,Kuwait,2020-03-05,58.0,0.0
9893,14745,,Kuwait,2020-03-06,58.0,0.0
9894,14746,,Kuwait,2020-03-07,61.0,0.0
9895,14747,,Kuwait,2020-03-08,64.0,0.0
9896,14748,,Kuwait,2020-03-09,64.0,0.0
9897,14749,,Kuwait,2020-03-10,69.0,0.0
9898,14750,,Kuwait,2020-03-11,72.0,0.0
9899,14751,,Kuwait,2020-03-12,80.0,0.0
9900,14752,,Kuwait,2020-03-13,80.0,0.0
9901,14753,,Kuwait,2020-03-14,104.0,0.0
9902,14754,,Kuwait,2020-03-15,112.0,0.0
9903,14755,,Kuwait,2020-03-16,123.0,0.0
9904,14756,,Kuwait,2020-03-17,130.0,0.0
9905,14757,,Kuwait,2020-03-18,142.0,0.0
9906,14758,,Kuwait,2020-03-19,148.0,0.0
9907,14759,,Kuwait,2020-03-20,159.0,0.0
9908,14760,,Kuwait,2020-03-21,176.0,0.0
9909,14761,,Kuwait,2020-03-22,188.0,0.0
9910,14762,,Kuwait,2020-03-23,189.0,0.0
9911,14763,,Kuwait,2020-03-24,191.0,0.0
9912,14764,,Kuwait,2020-03-25,195.0,0.0
9913,14765,,Kuwait,2020-03-26,208.0,0.0
9914,14766,,Kuwait,2020-03-27,225.0,0.0
9915,14767,,Kuwait,2020-03-28,235.0,0.0
