,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
9983,14901,,Laos,2020-01-22,0.0,0.0
9984,14902,,Laos,2020-01-23,0.0,0.0
9985,14903,,Laos,2020-01-24,0.0,0.0
9986,14904,,Laos,2020-01-25,0.0,0.0
9987,14905,,Laos,2020-01-26,0.0,0.0
9988,14906,,Laos,2020-01-27,0.0,0.0
9989,14907,,Laos,2020-01-28,0.0,0.0
9990,14908,,Laos,2020-01-29,0.0,0.0
9991,14909,,Laos,2020-01-30,0.0,0.0
9992,14910,,Laos,2020-01-31,0.0,0.0
9993,14911,,Laos,2020-02-01,0.0,0.0
9994,14912,,Laos,2020-02-02,0.0,0.0
9995,14913,,Laos,2020-02-03,0.0,0.0
9996,14914,,Laos,2020-02-04,0.0,0.0
9997,14915,,Laos,2020-02-05,0.0,0.0
9998,14916,,Laos,2020-02-06,0.0,0.0
9999,14917,,Laos,2020-02-07,0.0,0.0
10000,14918,,Laos,2020-02-08,0.0,0.0
10001,14919,,Laos,2020-02-09,0.0,0.0
10002,14920,,Laos,2020-02-10,0.0,0.0
10003,14921,,Laos,2020-02-11,0.0,0.0
10004,14922,,Laos,2020-02-12,0.0,0.0
10005,14923,,Laos,2020-02-13,0.0,0.0
10006,14924,,Laos,2020-02-14,0.0,0.0
10007,14925,,Laos,2020-02-15,0.0,0.0
10008,14926,,Laos,2020-02-16,0.0,0.0
10009,14927,,Laos,2020-02-17,0.0,0.0
10010,14928,,Laos,2020-02-18,0.0,0.0
10011,14929,,Laos,2020-02-19,0.0,0.0
10012,14930,,Laos,2020-02-20,0.0,0.0
10013,14931,,Laos,2020-02-21,0.0,0.0
10014,14932,,Laos,2020-02-22,0.0,0.0
10015,14933,,Laos,2020-02-23,0.0,0.0
10016,14934,,Laos,2020-02-24,0.0,0.0
10017,14935,,Laos,2020-02-25,0.0,0.0
10018,14936,,Laos,2020-02-26,0.0,0.0
10019,14937,,Laos,2020-02-27,0.0,0.0
10020,14938,,Laos,2020-02-28,0.0,0.0
10021,14939,,Laos,2020-02-29,0.0,0.0
10022,14940,,Laos,2020-03-01,0.0,0.0
10023,14941,,Laos,2020-03-02,0.0,0.0
10024,14942,,Laos,2020-03-03,0.0,0.0
10025,14943,,Laos,2020-03-04,0.0,0.0
10026,14944,,Laos,2020-03-05,0.0,0.0
10027,14945,,Laos,2020-03-06,0.0,0.0
10028,14946,,Laos,2020-03-07,0.0,0.0
10029,14947,,Laos,2020-03-08,0.0,0.0
10030,14948,,Laos,2020-03-09,0.0,0.0
10031,14949,,Laos,2020-03-10,0.0,0.0
10032,14950,,Laos,2020-03-11,0.0,0.0
10033,14951,,Laos,2020-03-12,0.0,0.0
10034,14952,,Laos,2020-03-13,0.0,0.0
10035,14953,,Laos,2020-03-14,0.0,0.0
10036,14954,,Laos,2020-03-15,0.0,0.0
10037,14955,,Laos,2020-03-16,0.0,0.0
10038,14956,,Laos,2020-03-17,0.0,0.0
10039,14957,,Laos,2020-03-18,0.0,0.0
10040,14958,,Laos,2020-03-19,0.0,0.0
10041,14959,,Laos,2020-03-20,0.0,0.0
10042,14960,,Laos,2020-03-21,0.0,0.0
10043,14961,,Laos,2020-03-22,0.0,0.0
10044,14962,,Laos,2020-03-23,0.0,0.0
10045,14963,,Laos,2020-03-24,2.0,0.0
10046,14964,,Laos,2020-03-25,3.0,0.0
10047,14965,,Laos,2020-03-26,6.0,0.0
10048,14966,,Laos,2020-03-27,6.0,0.0
10049,14967,,Laos,2020-03-28,8.0,0.0
