,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
10050,15001,,Latvia,2020-01-22,0.0,0.0
10051,15002,,Latvia,2020-01-23,0.0,0.0
10052,15003,,Latvia,2020-01-24,0.0,0.0
10053,15004,,Latvia,2020-01-25,0.0,0.0
10054,15005,,Latvia,2020-01-26,0.0,0.0
10055,15006,,Latvia,2020-01-27,0.0,0.0
10056,15007,,Latvia,2020-01-28,0.0,0.0
10057,15008,,Latvia,2020-01-29,0.0,0.0
10058,15009,,Latvia,2020-01-30,0.0,0.0
10059,15010,,Latvia,2020-01-31,0.0,0.0
10060,15011,,Latvia,2020-02-01,0.0,0.0
10061,15012,,Latvia,2020-02-02,0.0,0.0
10062,15013,,Latvia,2020-02-03,0.0,0.0
10063,15014,,Latvia,2020-02-04,0.0,0.0
10064,15015,,Latvia,2020-02-05,0.0,0.0
10065,15016,,Latvia,2020-02-06,0.0,0.0
10066,15017,,Latvia,2020-02-07,0.0,0.0
10067,15018,,Latvia,2020-02-08,0.0,0.0
10068,15019,,Latvia,2020-02-09,0.0,0.0
10069,15020,,Latvia,2020-02-10,0.0,0.0
10070,15021,,Latvia,2020-02-11,0.0,0.0
10071,15022,,Latvia,2020-02-12,0.0,0.0
10072,15023,,Latvia,2020-02-13,0.0,0.0
10073,15024,,Latvia,2020-02-14,0.0,0.0
10074,15025,,Latvia,2020-02-15,0.0,0.0
10075,15026,,Latvia,2020-02-16,0.0,0.0
10076,15027,,Latvia,2020-02-17,0.0,0.0
10077,15028,,Latvia,2020-02-18,0.0,0.0
10078,15029,,Latvia,2020-02-19,0.0,0.0
10079,15030,,Latvia,2020-02-20,0.0,0.0
10080,15031,,Latvia,2020-02-21,0.0,0.0
10081,15032,,Latvia,2020-02-22,0.0,0.0
10082,15033,,Latvia,2020-02-23,0.0,0.0
10083,15034,,Latvia,2020-02-24,0.0,0.0
10084,15035,,Latvia,2020-02-25,0.0,0.0
10085,15036,,Latvia,2020-02-26,0.0,0.0
10086,15037,,Latvia,2020-02-27,0.0,0.0
10087,15038,,Latvia,2020-02-28,0.0,0.0
10088,15039,,Latvia,2020-02-29,0.0,0.0
10089,15040,,Latvia,2020-03-01,0.0,0.0
10090,15041,,Latvia,2020-03-02,1.0,0.0
10091,15042,,Latvia,2020-03-03,1.0,0.0
10092,15043,,Latvia,2020-03-04,1.0,0.0
10093,15044,,Latvia,2020-03-05,1.0,0.0
10094,15045,,Latvia,2020-03-06,1.0,0.0
10095,15046,,Latvia,2020-03-07,1.0,0.0
10096,15047,,Latvia,2020-03-08,2.0,0.0
10097,15048,,Latvia,2020-03-09,6.0,0.0
10098,15049,,Latvia,2020-03-10,8.0,0.0
10099,15050,,Latvia,2020-03-11,10.0,0.0
10100,15051,,Latvia,2020-03-12,10.0,0.0
10101,15052,,Latvia,2020-03-13,17.0,0.0
10102,15053,,Latvia,2020-03-14,26.0,0.0
10103,15054,,Latvia,2020-03-15,30.0,0.0
10104,15055,,Latvia,2020-03-16,34.0,0.0
10105,15056,,Latvia,2020-03-17,49.0,0.0
10106,15057,,Latvia,2020-03-18,71.0,0.0
10107,15058,,Latvia,2020-03-19,86.0,0.0
10108,15059,,Latvia,2020-03-20,111.0,0.0
10109,15060,,Latvia,2020-03-21,124.0,0.0
10110,15061,,Latvia,2020-03-22,139.0,0.0
10111,15062,,Latvia,2020-03-23,180.0,0.0
10112,15063,,Latvia,2020-03-24,197.0,0.0
10113,15064,,Latvia,2020-03-25,221.0,0.0
10114,15065,,Latvia,2020-03-26,244.0,0.0
10115,15066,,Latvia,2020-03-27,280.0,0.0
10116,15067,,Latvia,2020-03-28,305.0,0.0
