,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
10318,15401,,Liechtenstein,2020-01-22,0.0,0.0
10319,15402,,Liechtenstein,2020-01-23,0.0,0.0
10320,15403,,Liechtenstein,2020-01-24,0.0,0.0
10321,15404,,Liechtenstein,2020-01-25,0.0,0.0
10322,15405,,Liechtenstein,2020-01-26,0.0,0.0
10323,15406,,Liechtenstein,2020-01-27,0.0,0.0
10324,15407,,Liechtenstein,2020-01-28,0.0,0.0
10325,15408,,Liechtenstein,2020-01-29,0.0,0.0
10326,15409,,Liechtenstein,2020-01-30,0.0,0.0
10327,15410,,Liechtenstein,2020-01-31,0.0,0.0
10328,15411,,Liechtenstein,2020-02-01,0.0,0.0
10329,15412,,Liechtenstein,2020-02-02,0.0,0.0
10330,15413,,Liechtenstein,2020-02-03,0.0,0.0
10331,15414,,Liechtenstein,2020-02-04,0.0,0.0
10332,15415,,Liechtenstein,2020-02-05,0.0,0.0
10333,15416,,Liechtenstein,2020-02-06,0.0,0.0
10334,15417,,Liechtenstein,2020-02-07,0.0,0.0
10335,15418,,Liechtenstein,2020-02-08,0.0,0.0
10336,15419,,Liechtenstein,2020-02-09,0.0,0.0
10337,15420,,Liechtenstein,2020-02-10,0.0,0.0
10338,15421,,Liechtenstein,2020-02-11,0.0,0.0
10339,15422,,Liechtenstein,2020-02-12,0.0,0.0
10340,15423,,Liechtenstein,2020-02-13,0.0,0.0
10341,15424,,Liechtenstein,2020-02-14,0.0,0.0
10342,15425,,Liechtenstein,2020-02-15,0.0,0.0
10343,15426,,Liechtenstein,2020-02-16,0.0,0.0
10344,15427,,Liechtenstein,2020-02-17,0.0,0.0
10345,15428,,Liechtenstein,2020-02-18,0.0,0.0
10346,15429,,Liechtenstein,2020-02-19,0.0,0.0
10347,15430,,Liechtenstein,2020-02-20,0.0,0.0
10348,15431,,Liechtenstein,2020-02-21,0.0,0.0
10349,15432,,Liechtenstein,2020-02-22,0.0,0.0
10350,15433,,Liechtenstein,2020-02-23,0.0,0.0
10351,15434,,Liechtenstein,2020-02-24,0.0,0.0
10352,15435,,Liechtenstein,2020-02-25,0.0,0.0
10353,15436,,Liechtenstein,2020-02-26,0.0,0.0
10354,15437,,Liechtenstein,2020-02-27,0.0,0.0
10355,15438,,Liechtenstein,2020-02-28,0.0,0.0
10356,15439,,Liechtenstein,2020-02-29,0.0,0.0
10357,15440,,Liechtenstein,2020-03-01,0.0,0.0
10358,15441,,Liechtenstein,2020-03-02,0.0,0.0
10359,15442,,Liechtenstein,2020-03-03,0.0,0.0
10360,15443,,Liechtenstein,2020-03-04,1.0,0.0
10361,15444,,Liechtenstein,2020-03-05,1.0,0.0
10362,15445,,Liechtenstein,2020-03-06,1.0,0.0
10363,15446,,Liechtenstein,2020-03-07,1.0,0.0
10364,15447,,Liechtenstein,2020-03-08,1.0,0.0
10365,15448,,Liechtenstein,2020-03-09,1.0,0.0
10366,15449,,Liechtenstein,2020-03-10,1.0,0.0
10367,15450,,Liechtenstein,2020-03-11,1.0,0.0
10368,15451,,Liechtenstein,2020-03-12,1.0,0.0
10369,15452,,Liechtenstein,2020-03-13,1.0,0.0
10370,15453,,Liechtenstein,2020-03-14,4.0,0.0
10371,15454,,Liechtenstein,2020-03-15,4.0,0.0
10372,15455,,Liechtenstein,2020-03-16,4.0,0.0
10373,15456,,Liechtenstein,2020-03-17,7.0,0.0
10374,15457,,Liechtenstein,2020-03-18,28.0,0.0
10375,15458,,Liechtenstein,2020-03-19,28.0,0.0
10376,15459,,Liechtenstein,2020-03-20,28.0,0.0
10377,15460,,Liechtenstein,2020-03-21,37.0,0.0
10378,15461,,Liechtenstein,2020-03-22,37.0,0.0
10379,15462,,Liechtenstein,2020-03-23,51.0,0.0
10380,15463,,Liechtenstein,2020-03-24,51.0,0.0
10381,15464,,Liechtenstein,2020-03-25,51.0,0.0
10382,15465,,Liechtenstein,2020-03-26,56.0,0.0
10383,15466,,Liechtenstein,2020-03-27,56.0,0.0
10384,15467,,Liechtenstein,2020-03-28,56.0,0.0
