,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
10519,15701,,Madagascar,2020-01-22,0.0,0.0
10520,15702,,Madagascar,2020-01-23,0.0,0.0
10521,15703,,Madagascar,2020-01-24,0.0,0.0
10522,15704,,Madagascar,2020-01-25,0.0,0.0
10523,15705,,Madagascar,2020-01-26,0.0,0.0
10524,15706,,Madagascar,2020-01-27,0.0,0.0
10525,15707,,Madagascar,2020-01-28,0.0,0.0
10526,15708,,Madagascar,2020-01-29,0.0,0.0
10527,15709,,Madagascar,2020-01-30,0.0,0.0
10528,15710,,Madagascar,2020-01-31,0.0,0.0
10529,15711,,Madagascar,2020-02-01,0.0,0.0
10530,15712,,Madagascar,2020-02-02,0.0,0.0
10531,15713,,Madagascar,2020-02-03,0.0,0.0
10532,15714,,Madagascar,2020-02-04,0.0,0.0
10533,15715,,Madagascar,2020-02-05,0.0,0.0
10534,15716,,Madagascar,2020-02-06,0.0,0.0
10535,15717,,Madagascar,2020-02-07,0.0,0.0
10536,15718,,Madagascar,2020-02-08,0.0,0.0
10537,15719,,Madagascar,2020-02-09,0.0,0.0
10538,15720,,Madagascar,2020-02-10,0.0,0.0
10539,15721,,Madagascar,2020-02-11,0.0,0.0
10540,15722,,Madagascar,2020-02-12,0.0,0.0
10541,15723,,Madagascar,2020-02-13,0.0,0.0
10542,15724,,Madagascar,2020-02-14,0.0,0.0
10543,15725,,Madagascar,2020-02-15,0.0,0.0
10544,15726,,Madagascar,2020-02-16,0.0,0.0
10545,15727,,Madagascar,2020-02-17,0.0,0.0
10546,15728,,Madagascar,2020-02-18,0.0,0.0
10547,15729,,Madagascar,2020-02-19,0.0,0.0
10548,15730,,Madagascar,2020-02-20,0.0,0.0
10549,15731,,Madagascar,2020-02-21,0.0,0.0
10550,15732,,Madagascar,2020-02-22,0.0,0.0
10551,15733,,Madagascar,2020-02-23,0.0,0.0
10552,15734,,Madagascar,2020-02-24,0.0,0.0
10553,15735,,Madagascar,2020-02-25,0.0,0.0
10554,15736,,Madagascar,2020-02-26,0.0,0.0
10555,15737,,Madagascar,2020-02-27,0.0,0.0
10556,15738,,Madagascar,2020-02-28,0.0,0.0
10557,15739,,Madagascar,2020-02-29,0.0,0.0
10558,15740,,Madagascar,2020-03-01,0.0,0.0
10559,15741,,Madagascar,2020-03-02,0.0,0.0
10560,15742,,Madagascar,2020-03-03,0.0,0.0
10561,15743,,Madagascar,2020-03-04,0.0,0.0
10562,15744,,Madagascar,2020-03-05,0.0,0.0
10563,15745,,Madagascar,2020-03-06,0.0,0.0
10564,15746,,Madagascar,2020-03-07,0.0,0.0
10565,15747,,Madagascar,2020-03-08,0.0,0.0
10566,15748,,Madagascar,2020-03-09,0.0,0.0
10567,15749,,Madagascar,2020-03-10,0.0,0.0
10568,15750,,Madagascar,2020-03-11,0.0,0.0
10569,15751,,Madagascar,2020-03-12,0.0,0.0
10570,15752,,Madagascar,2020-03-13,0.0,0.0
10571,15753,,Madagascar,2020-03-14,0.0,0.0
10572,15754,,Madagascar,2020-03-15,0.0,0.0
10573,15755,,Madagascar,2020-03-16,0.0,0.0
10574,15756,,Madagascar,2020-03-17,0.0,0.0
10575,15757,,Madagascar,2020-03-18,0.0,0.0
10576,15758,,Madagascar,2020-03-19,0.0,0.0
10577,15759,,Madagascar,2020-03-20,3.0,0.0
10578,15760,,Madagascar,2020-03-21,3.0,0.0
10579,15761,,Madagascar,2020-03-22,3.0,0.0
10580,15762,,Madagascar,2020-03-23,12.0,0.0
10581,15763,,Madagascar,2020-03-24,17.0,0.0
10582,15764,,Madagascar,2020-03-25,19.0,0.0
10583,15765,,Madagascar,2020-03-26,23.0,0.0
10584,15766,,Madagascar,2020-03-27,26.0,0.0
10585,15767,,Madagascar,2020-03-28,26.0,0.0
