,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
10787,16101,,Malta,2020-01-22,0.0,0.0
10788,16102,,Malta,2020-01-23,0.0,0.0
10789,16103,,Malta,2020-01-24,0.0,0.0
10790,16104,,Malta,2020-01-25,0.0,0.0
10791,16105,,Malta,2020-01-26,0.0,0.0
10792,16106,,Malta,2020-01-27,0.0,0.0
10793,16107,,Malta,2020-01-28,0.0,0.0
10794,16108,,Malta,2020-01-29,0.0,0.0
10795,16109,,Malta,2020-01-30,0.0,0.0
10796,16110,,Malta,2020-01-31,0.0,0.0
10797,16111,,Malta,2020-02-01,0.0,0.0
10798,16112,,Malta,2020-02-02,0.0,0.0
10799,16113,,Malta,2020-02-03,0.0,0.0
10800,16114,,Malta,2020-02-04,0.0,0.0
10801,16115,,Malta,2020-02-05,0.0,0.0
10802,16116,,Malta,2020-02-06,0.0,0.0
10803,16117,,Malta,2020-02-07,0.0,0.0
10804,16118,,Malta,2020-02-08,0.0,0.0
10805,16119,,Malta,2020-02-09,0.0,0.0
10806,16120,,Malta,2020-02-10,0.0,0.0
10807,16121,,Malta,2020-02-11,0.0,0.0
10808,16122,,Malta,2020-02-12,0.0,0.0
10809,16123,,Malta,2020-02-13,0.0,0.0
10810,16124,,Malta,2020-02-14,0.0,0.0
10811,16125,,Malta,2020-02-15,0.0,0.0
10812,16126,,Malta,2020-02-16,0.0,0.0
10813,16127,,Malta,2020-02-17,0.0,0.0
10814,16128,,Malta,2020-02-18,0.0,0.0
10815,16129,,Malta,2020-02-19,0.0,0.0
10816,16130,,Malta,2020-02-20,0.0,0.0
10817,16131,,Malta,2020-02-21,0.0,0.0
10818,16132,,Malta,2020-02-22,0.0,0.0
10819,16133,,Malta,2020-02-23,0.0,0.0
10820,16134,,Malta,2020-02-24,0.0,0.0
10821,16135,,Malta,2020-02-25,0.0,0.0
10822,16136,,Malta,2020-02-26,0.0,0.0
10823,16137,,Malta,2020-02-27,0.0,0.0
10824,16138,,Malta,2020-02-28,0.0,0.0
10825,16139,,Malta,2020-02-29,0.0,0.0
10826,16140,,Malta,2020-03-01,0.0,0.0
10827,16141,,Malta,2020-03-02,0.0,0.0
10828,16142,,Malta,2020-03-03,0.0,0.0
10829,16143,,Malta,2020-03-04,0.0,0.0
10830,16144,,Malta,2020-03-05,0.0,0.0
10831,16145,,Malta,2020-03-06,0.0,0.0
10832,16146,,Malta,2020-03-07,3.0,0.0
10833,16147,,Malta,2020-03-08,3.0,0.0
10834,16148,,Malta,2020-03-09,3.0,0.0
10835,16149,,Malta,2020-03-10,5.0,0.0
10836,16150,,Malta,2020-03-11,6.0,0.0
10837,16151,,Malta,2020-03-12,6.0,0.0
10838,16152,,Malta,2020-03-13,12.0,0.0
10839,16153,,Malta,2020-03-14,18.0,0.0
10840,16154,,Malta,2020-03-15,21.0,0.0
10841,16155,,Malta,2020-03-16,30.0,0.0
10842,16156,,Malta,2020-03-17,38.0,0.0
10843,16157,,Malta,2020-03-18,38.0,0.0
10844,16158,,Malta,2020-03-19,53.0,0.0
10845,16159,,Malta,2020-03-20,64.0,0.0
10846,16160,,Malta,2020-03-21,73.0,0.0
10847,16161,,Malta,2020-03-22,90.0,0.0
10848,16162,,Malta,2020-03-23,107.0,0.0
10849,16163,,Malta,2020-03-24,110.0,0.0
10850,16164,,Malta,2020-03-25,129.0,0.0
10851,16165,,Malta,2020-03-26,134.0,0.0
10852,16166,,Malta,2020-03-27,139.0,0.0
10853,16167,,Malta,2020-03-28,149.0,0.0
