,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
10921,16301,,Mauritius,2020-01-22,0.0,0.0
10922,16302,,Mauritius,2020-01-23,0.0,0.0
10923,16303,,Mauritius,2020-01-24,0.0,0.0
10924,16304,,Mauritius,2020-01-25,0.0,0.0
10925,16305,,Mauritius,2020-01-26,0.0,0.0
10926,16306,,Mauritius,2020-01-27,0.0,0.0
10927,16307,,Mauritius,2020-01-28,0.0,0.0
10928,16308,,Mauritius,2020-01-29,0.0,0.0
10929,16309,,Mauritius,2020-01-30,0.0,0.0
10930,16310,,Mauritius,2020-01-31,0.0,0.0
10931,16311,,Mauritius,2020-02-01,0.0,0.0
10932,16312,,Mauritius,2020-02-02,0.0,0.0
10933,16313,,Mauritius,2020-02-03,0.0,0.0
10934,16314,,Mauritius,2020-02-04,0.0,0.0
10935,16315,,Mauritius,2020-02-05,0.0,0.0
10936,16316,,Mauritius,2020-02-06,0.0,0.0
10937,16317,,Mauritius,2020-02-07,0.0,0.0
10938,16318,,Mauritius,2020-02-08,0.0,0.0
10939,16319,,Mauritius,2020-02-09,0.0,0.0
10940,16320,,Mauritius,2020-02-10,0.0,0.0
10941,16321,,Mauritius,2020-02-11,0.0,0.0
10942,16322,,Mauritius,2020-02-12,0.0,0.0
10943,16323,,Mauritius,2020-02-13,0.0,0.0
10944,16324,,Mauritius,2020-02-14,0.0,0.0
10945,16325,,Mauritius,2020-02-15,0.0,0.0
10946,16326,,Mauritius,2020-02-16,0.0,0.0
10947,16327,,Mauritius,2020-02-17,0.0,0.0
10948,16328,,Mauritius,2020-02-18,0.0,0.0
10949,16329,,Mauritius,2020-02-19,0.0,0.0
10950,16330,,Mauritius,2020-02-20,0.0,0.0
10951,16331,,Mauritius,2020-02-21,0.0,0.0
10952,16332,,Mauritius,2020-02-22,0.0,0.0
10953,16333,,Mauritius,2020-02-23,0.0,0.0
10954,16334,,Mauritius,2020-02-24,0.0,0.0
10955,16335,,Mauritius,2020-02-25,0.0,0.0
10956,16336,,Mauritius,2020-02-26,0.0,0.0
10957,16337,,Mauritius,2020-02-27,0.0,0.0
10958,16338,,Mauritius,2020-02-28,0.0,0.0
10959,16339,,Mauritius,2020-02-29,0.0,0.0
10960,16340,,Mauritius,2020-03-01,0.0,0.0
10961,16341,,Mauritius,2020-03-02,0.0,0.0
10962,16342,,Mauritius,2020-03-03,0.0,0.0
10963,16343,,Mauritius,2020-03-04,0.0,0.0
10964,16344,,Mauritius,2020-03-05,0.0,0.0
10965,16345,,Mauritius,2020-03-06,0.0,0.0
10966,16346,,Mauritius,2020-03-07,0.0,0.0
10967,16347,,Mauritius,2020-03-08,0.0,0.0
10968,16348,,Mauritius,2020-03-09,0.0,0.0
10969,16349,,Mauritius,2020-03-10,0.0,0.0
10970,16350,,Mauritius,2020-03-11,0.0,0.0
10971,16351,,Mauritius,2020-03-12,0.0,0.0
10972,16352,,Mauritius,2020-03-13,0.0,0.0
10973,16353,,Mauritius,2020-03-14,0.0,0.0
10974,16354,,Mauritius,2020-03-15,0.0,0.0
10975,16355,,Mauritius,2020-03-16,0.0,0.0
10976,16356,,Mauritius,2020-03-17,0.0,0.0
10977,16357,,Mauritius,2020-03-18,3.0,0.0
10978,16358,,Mauritius,2020-03-19,3.0,0.0
10979,16359,,Mauritius,2020-03-20,12.0,0.0
10980,16360,,Mauritius,2020-03-21,14.0,1.0
10981,16361,,Mauritius,2020-03-22,28.0,2.0
10982,16362,,Mauritius,2020-03-23,36.0,2.0
10983,16363,,Mauritius,2020-03-24,42.0,2.0
10984,16364,,Mauritius,2020-03-25,48.0,2.0
10985,16365,,Mauritius,2020-03-26,81.0,2.0
10986,16366,,Mauritius,2020-03-27,94.0,2.0
10987,16367,,Mauritius,2020-03-28,102.0,2.0
