,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
10988,16401,,Mexico,2020-01-22,0.0,0.0
10989,16402,,Mexico,2020-01-23,0.0,0.0
10990,16403,,Mexico,2020-01-24,0.0,0.0
10991,16404,,Mexico,2020-01-25,0.0,0.0
10992,16405,,Mexico,2020-01-26,0.0,0.0
10993,16406,,Mexico,2020-01-27,0.0,0.0
10994,16407,,Mexico,2020-01-28,0.0,0.0
10995,16408,,Mexico,2020-01-29,0.0,0.0
10996,16409,,Mexico,2020-01-30,0.0,0.0
10997,16410,,Mexico,2020-01-31,0.0,0.0
10998,16411,,Mexico,2020-02-01,0.0,0.0
10999,16412,,Mexico,2020-02-02,0.0,0.0
11000,16413,,Mexico,2020-02-03,0.0,0.0
11001,16414,,Mexico,2020-02-04,0.0,0.0
11002,16415,,Mexico,2020-02-05,0.0,0.0
11003,16416,,Mexico,2020-02-06,0.0,0.0
11004,16417,,Mexico,2020-02-07,0.0,0.0
11005,16418,,Mexico,2020-02-08,0.0,0.0
11006,16419,,Mexico,2020-02-09,0.0,0.0
11007,16420,,Mexico,2020-02-10,0.0,0.0
11008,16421,,Mexico,2020-02-11,0.0,0.0
11009,16422,,Mexico,2020-02-12,0.0,0.0
11010,16423,,Mexico,2020-02-13,0.0,0.0
11011,16424,,Mexico,2020-02-14,0.0,0.0
11012,16425,,Mexico,2020-02-15,0.0,0.0
11013,16426,,Mexico,2020-02-16,0.0,0.0
11014,16427,,Mexico,2020-02-17,0.0,0.0
11015,16428,,Mexico,2020-02-18,0.0,0.0
11016,16429,,Mexico,2020-02-19,0.0,0.0
11017,16430,,Mexico,2020-02-20,0.0,0.0
11018,16431,,Mexico,2020-02-21,0.0,0.0
11019,16432,,Mexico,2020-02-22,0.0,0.0
11020,16433,,Mexico,2020-02-23,0.0,0.0
11021,16434,,Mexico,2020-02-24,0.0,0.0
11022,16435,,Mexico,2020-02-25,0.0,0.0
11023,16436,,Mexico,2020-02-26,0.0,0.0
11024,16437,,Mexico,2020-02-27,0.0,0.0
11025,16438,,Mexico,2020-02-28,1.0,0.0
11026,16439,,Mexico,2020-02-29,4.0,0.0
11027,16440,,Mexico,2020-03-01,5.0,0.0
11028,16441,,Mexico,2020-03-02,5.0,0.0
11029,16442,,Mexico,2020-03-03,5.0,0.0
11030,16443,,Mexico,2020-03-04,5.0,0.0
11031,16444,,Mexico,2020-03-05,5.0,0.0
11032,16445,,Mexico,2020-03-06,6.0,0.0
11033,16446,,Mexico,2020-03-07,6.0,0.0
11034,16447,,Mexico,2020-03-08,7.0,0.0
11035,16448,,Mexico,2020-03-09,7.0,0.0
11036,16449,,Mexico,2020-03-10,7.0,0.0
11037,16450,,Mexico,2020-03-11,8.0,0.0
11038,16451,,Mexico,2020-03-12,12.0,0.0
11039,16452,,Mexico,2020-03-13,12.0,0.0
11040,16453,,Mexico,2020-03-14,26.0,0.0
11041,16454,,Mexico,2020-03-15,41.0,0.0
11042,16455,,Mexico,2020-03-16,53.0,0.0
11043,16456,,Mexico,2020-03-17,82.0,0.0
11044,16457,,Mexico,2020-03-18,93.0,0.0
11045,16458,,Mexico,2020-03-19,118.0,1.0
11046,16459,,Mexico,2020-03-20,164.0,1.0
11047,16460,,Mexico,2020-03-21,203.0,2.0
11048,16461,,Mexico,2020-03-22,251.0,2.0
11049,16462,,Mexico,2020-03-23,316.0,3.0
11050,16463,,Mexico,2020-03-24,367.0,4.0
11051,16464,,Mexico,2020-03-25,405.0,5.0
11052,16465,,Mexico,2020-03-26,475.0,6.0
11053,16466,,Mexico,2020-03-27,585.0,8.0
11054,16467,,Mexico,2020-03-28,717.0,12.0
