,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
11055,16501,,Moldova,2020-01-22,0.0,0.0
11056,16502,,Moldova,2020-01-23,0.0,0.0
11057,16503,,Moldova,2020-01-24,0.0,0.0
11058,16504,,Moldova,2020-01-25,0.0,0.0
11059,16505,,Moldova,2020-01-26,0.0,0.0
11060,16506,,Moldova,2020-01-27,0.0,0.0
11061,16507,,Moldova,2020-01-28,0.0,0.0
11062,16508,,Moldova,2020-01-29,0.0,0.0
11063,16509,,Moldova,2020-01-30,0.0,0.0
11064,16510,,Moldova,2020-01-31,0.0,0.0
11065,16511,,Moldova,2020-02-01,0.0,0.0
11066,16512,,Moldova,2020-02-02,0.0,0.0
11067,16513,,Moldova,2020-02-03,0.0,0.0
11068,16514,,Moldova,2020-02-04,0.0,0.0
11069,16515,,Moldova,2020-02-05,0.0,0.0
11070,16516,,Moldova,2020-02-06,0.0,0.0
11071,16517,,Moldova,2020-02-07,0.0,0.0
11072,16518,,Moldova,2020-02-08,0.0,0.0
11073,16519,,Moldova,2020-02-09,0.0,0.0
11074,16520,,Moldova,2020-02-10,0.0,0.0
11075,16521,,Moldova,2020-02-11,0.0,0.0
11076,16522,,Moldova,2020-02-12,0.0,0.0
11077,16523,,Moldova,2020-02-13,0.0,0.0
11078,16524,,Moldova,2020-02-14,0.0,0.0
11079,16525,,Moldova,2020-02-15,0.0,0.0
11080,16526,,Moldova,2020-02-16,0.0,0.0
11081,16527,,Moldova,2020-02-17,0.0,0.0
11082,16528,,Moldova,2020-02-18,0.0,0.0
11083,16529,,Moldova,2020-02-19,0.0,0.0
11084,16530,,Moldova,2020-02-20,0.0,0.0
11085,16531,,Moldova,2020-02-21,0.0,0.0
11086,16532,,Moldova,2020-02-22,0.0,0.0
11087,16533,,Moldova,2020-02-23,0.0,0.0
11088,16534,,Moldova,2020-02-24,0.0,0.0
11089,16535,,Moldova,2020-02-25,0.0,0.0
11090,16536,,Moldova,2020-02-26,0.0,0.0
11091,16537,,Moldova,2020-02-27,0.0,0.0
11092,16538,,Moldova,2020-02-28,0.0,0.0
11093,16539,,Moldova,2020-02-29,0.0,0.0
11094,16540,,Moldova,2020-03-01,0.0,0.0
11095,16541,,Moldova,2020-03-02,0.0,0.0
11096,16542,,Moldova,2020-03-03,0.0,0.0
11097,16543,,Moldova,2020-03-04,0.0,0.0
11098,16544,,Moldova,2020-03-05,0.0,0.0
11099,16545,,Moldova,2020-03-06,0.0,0.0
11100,16546,,Moldova,2020-03-07,0.0,0.0
11101,16547,,Moldova,2020-03-08,1.0,0.0
11102,16548,,Moldova,2020-03-09,1.0,0.0
11103,16549,,Moldova,2020-03-10,3.0,0.0
11104,16550,,Moldova,2020-03-11,3.0,0.0
11105,16551,,Moldova,2020-03-12,3.0,0.0
11106,16552,,Moldova,2020-03-13,6.0,0.0
11107,16553,,Moldova,2020-03-14,12.0,0.0
11108,16554,,Moldova,2020-03-15,23.0,0.0
11109,16555,,Moldova,2020-03-16,23.0,0.0
11110,16556,,Moldova,2020-03-17,30.0,0.0
11111,16557,,Moldova,2020-03-18,30.0,1.0
11112,16558,,Moldova,2020-03-19,49.0,1.0
11113,16559,,Moldova,2020-03-20,66.0,1.0
11114,16560,,Moldova,2020-03-21,80.0,1.0
11115,16561,,Moldova,2020-03-22,94.0,1.0
11116,16562,,Moldova,2020-03-23,109.0,1.0
11117,16563,,Moldova,2020-03-24,125.0,1.0
11118,16564,,Moldova,2020-03-25,149.0,1.0
11119,16565,,Moldova,2020-03-26,177.0,1.0
11120,16566,,Moldova,2020-03-27,199.0,2.0
11121,16567,,Moldova,2020-03-28,231.0,2.0
