,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
11323,16901,,Morocco,2020-01-22,0.0,0.0
11324,16902,,Morocco,2020-01-23,0.0,0.0
11325,16903,,Morocco,2020-01-24,0.0,0.0
11326,16904,,Morocco,2020-01-25,0.0,0.0
11327,16905,,Morocco,2020-01-26,0.0,0.0
11328,16906,,Morocco,2020-01-27,0.0,0.0
11329,16907,,Morocco,2020-01-28,0.0,0.0
11330,16908,,Morocco,2020-01-29,0.0,0.0
11331,16909,,Morocco,2020-01-30,0.0,0.0
11332,16910,,Morocco,2020-01-31,0.0,0.0
11333,16911,,Morocco,2020-02-01,0.0,0.0
11334,16912,,Morocco,2020-02-02,0.0,0.0
11335,16913,,Morocco,2020-02-03,0.0,0.0
11336,16914,,Morocco,2020-02-04,0.0,0.0
11337,16915,,Morocco,2020-02-05,0.0,0.0
11338,16916,,Morocco,2020-02-06,0.0,0.0
11339,16917,,Morocco,2020-02-07,0.0,0.0
11340,16918,,Morocco,2020-02-08,0.0,0.0
11341,16919,,Morocco,2020-02-09,0.0,0.0
11342,16920,,Morocco,2020-02-10,0.0,0.0
11343,16921,,Morocco,2020-02-11,0.0,0.0
11344,16922,,Morocco,2020-02-12,0.0,0.0
11345,16923,,Morocco,2020-02-13,0.0,0.0
11346,16924,,Morocco,2020-02-14,0.0,0.0
11347,16925,,Morocco,2020-02-15,0.0,0.0
11348,16926,,Morocco,2020-02-16,0.0,0.0
11349,16927,,Morocco,2020-02-17,0.0,0.0
11350,16928,,Morocco,2020-02-18,0.0,0.0
11351,16929,,Morocco,2020-02-19,0.0,0.0
11352,16930,,Morocco,2020-02-20,0.0,0.0
11353,16931,,Morocco,2020-02-21,0.0,0.0
11354,16932,,Morocco,2020-02-22,0.0,0.0
11355,16933,,Morocco,2020-02-23,0.0,0.0
11356,16934,,Morocco,2020-02-24,0.0,0.0
11357,16935,,Morocco,2020-02-25,0.0,0.0
11358,16936,,Morocco,2020-02-26,0.0,0.0
11359,16937,,Morocco,2020-02-27,0.0,0.0
11360,16938,,Morocco,2020-02-28,0.0,0.0
11361,16939,,Morocco,2020-02-29,0.0,0.0
11362,16940,,Morocco,2020-03-01,0.0,0.0
11363,16941,,Morocco,2020-03-02,1.0,0.0
11364,16942,,Morocco,2020-03-03,1.0,0.0
11365,16943,,Morocco,2020-03-04,1.0,0.0
11366,16944,,Morocco,2020-03-05,2.0,0.0
11367,16945,,Morocco,2020-03-06,2.0,0.0
11368,16946,,Morocco,2020-03-07,2.0,0.0
11369,16947,,Morocco,2020-03-08,2.0,0.0
11370,16948,,Morocco,2020-03-09,2.0,0.0
11371,16949,,Morocco,2020-03-10,3.0,1.0
11372,16950,,Morocco,2020-03-11,5.0,1.0
11373,16951,,Morocco,2020-03-12,6.0,1.0
11374,16952,,Morocco,2020-03-13,7.0,1.0
11375,16953,,Morocco,2020-03-14,17.0,1.0
11376,16954,,Morocco,2020-03-15,28.0,1.0
11377,16955,,Morocco,2020-03-16,29.0,1.0
11378,16956,,Morocco,2020-03-17,38.0,2.0
11379,16957,,Morocco,2020-03-18,49.0,2.0
11380,16958,,Morocco,2020-03-19,63.0,2.0
11381,16959,,Morocco,2020-03-20,77.0,3.0
11382,16960,,Morocco,2020-03-21,96.0,3.0
11383,16961,,Morocco,2020-03-22,115.0,4.0
11384,16962,,Morocco,2020-03-23,143.0,4.0
11385,16963,,Morocco,2020-03-24,170.0,5.0
11386,16964,,Morocco,2020-03-25,225.0,6.0
11387,16965,,Morocco,2020-03-26,275.0,11.0
11388,16966,,Morocco,2020-03-27,345.0,23.0
11389,16967,,Morocco,2020-03-28,402.0,25.0
