,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
11457,17101,,Namibia,2020-01-22,0.0,0.0
11458,17102,,Namibia,2020-01-23,0.0,0.0
11459,17103,,Namibia,2020-01-24,0.0,0.0
11460,17104,,Namibia,2020-01-25,0.0,0.0
11461,17105,,Namibia,2020-01-26,0.0,0.0
11462,17106,,Namibia,2020-01-27,0.0,0.0
11463,17107,,Namibia,2020-01-28,0.0,0.0
11464,17108,,Namibia,2020-01-29,0.0,0.0
11465,17109,,Namibia,2020-01-30,0.0,0.0
11466,17110,,Namibia,2020-01-31,0.0,0.0
11467,17111,,Namibia,2020-02-01,0.0,0.0
11468,17112,,Namibia,2020-02-02,0.0,0.0
11469,17113,,Namibia,2020-02-03,0.0,0.0
11470,17114,,Namibia,2020-02-04,0.0,0.0
11471,17115,,Namibia,2020-02-05,0.0,0.0
11472,17116,,Namibia,2020-02-06,0.0,0.0
11473,17117,,Namibia,2020-02-07,0.0,0.0
11474,17118,,Namibia,2020-02-08,0.0,0.0
11475,17119,,Namibia,2020-02-09,0.0,0.0
11476,17120,,Namibia,2020-02-10,0.0,0.0
11477,17121,,Namibia,2020-02-11,0.0,0.0
11478,17122,,Namibia,2020-02-12,0.0,0.0
11479,17123,,Namibia,2020-02-13,0.0,0.0
11480,17124,,Namibia,2020-02-14,0.0,0.0
11481,17125,,Namibia,2020-02-15,0.0,0.0
11482,17126,,Namibia,2020-02-16,0.0,0.0
11483,17127,,Namibia,2020-02-17,0.0,0.0
11484,17128,,Namibia,2020-02-18,0.0,0.0
11485,17129,,Namibia,2020-02-19,0.0,0.0
11486,17130,,Namibia,2020-02-20,0.0,0.0
11487,17131,,Namibia,2020-02-21,0.0,0.0
11488,17132,,Namibia,2020-02-22,0.0,0.0
11489,17133,,Namibia,2020-02-23,0.0,0.0
11490,17134,,Namibia,2020-02-24,0.0,0.0
11491,17135,,Namibia,2020-02-25,0.0,0.0
11492,17136,,Namibia,2020-02-26,0.0,0.0
11493,17137,,Namibia,2020-02-27,0.0,0.0
11494,17138,,Namibia,2020-02-28,0.0,0.0
11495,17139,,Namibia,2020-02-29,0.0,0.0
11496,17140,,Namibia,2020-03-01,0.0,0.0
11497,17141,,Namibia,2020-03-02,0.0,0.0
11498,17142,,Namibia,2020-03-03,0.0,0.0
11499,17143,,Namibia,2020-03-04,0.0,0.0
11500,17144,,Namibia,2020-03-05,0.0,0.0
11501,17145,,Namibia,2020-03-06,0.0,0.0
11502,17146,,Namibia,2020-03-07,0.0,0.0
11503,17147,,Namibia,2020-03-08,0.0,0.0
11504,17148,,Namibia,2020-03-09,0.0,0.0
11505,17149,,Namibia,2020-03-10,0.0,0.0
11506,17150,,Namibia,2020-03-11,0.0,0.0
11507,17151,,Namibia,2020-03-12,0.0,0.0
11508,17152,,Namibia,2020-03-13,0.0,0.0
11509,17153,,Namibia,2020-03-14,2.0,0.0
11510,17154,,Namibia,2020-03-15,2.0,0.0
11511,17155,,Namibia,2020-03-16,2.0,0.0
11512,17156,,Namibia,2020-03-17,2.0,0.0
11513,17157,,Namibia,2020-03-18,2.0,0.0
11514,17158,,Namibia,2020-03-19,3.0,0.0
11515,17159,,Namibia,2020-03-20,3.0,0.0
11516,17160,,Namibia,2020-03-21,3.0,0.0
11517,17161,,Namibia,2020-03-22,3.0,0.0
11518,17162,,Namibia,2020-03-23,4.0,0.0
11519,17163,,Namibia,2020-03-24,7.0,0.0
11520,17164,,Namibia,2020-03-25,7.0,0.0
11521,17165,,Namibia,2020-03-26,8.0,0.0
11522,17166,,Namibia,2020-03-27,8.0,0.0
11523,17167,,Namibia,2020-03-28,8.0,0.0
