,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
11591,17301,Aruba,Netherlands,2020-01-22,0.0,0.0
11592,17302,Aruba,Netherlands,2020-01-23,0.0,0.0
11593,17303,Aruba,Netherlands,2020-01-24,0.0,0.0
11594,17304,Aruba,Netherlands,2020-01-25,0.0,0.0
11595,17305,Aruba,Netherlands,2020-01-26,0.0,0.0
11596,17306,Aruba,Netherlands,2020-01-27,0.0,0.0
11597,17307,Aruba,Netherlands,2020-01-28,0.0,0.0
11598,17308,Aruba,Netherlands,2020-01-29,0.0,0.0
11599,17309,Aruba,Netherlands,2020-01-30,0.0,0.0
11600,17310,Aruba,Netherlands,2020-01-31,0.0,0.0
11601,17311,Aruba,Netherlands,2020-02-01,0.0,0.0
11602,17312,Aruba,Netherlands,2020-02-02,0.0,0.0
11603,17313,Aruba,Netherlands,2020-02-03,0.0,0.0
11604,17314,Aruba,Netherlands,2020-02-04,0.0,0.0
11605,17315,Aruba,Netherlands,2020-02-05,0.0,0.0
11606,17316,Aruba,Netherlands,2020-02-06,0.0,0.0
11607,17317,Aruba,Netherlands,2020-02-07,0.0,0.0
11608,17318,Aruba,Netherlands,2020-02-08,0.0,0.0
11609,17319,Aruba,Netherlands,2020-02-09,0.0,0.0
11610,17320,Aruba,Netherlands,2020-02-10,0.0,0.0
11611,17321,Aruba,Netherlands,2020-02-11,0.0,0.0
11612,17322,Aruba,Netherlands,2020-02-12,0.0,0.0
11613,17323,Aruba,Netherlands,2020-02-13,0.0,0.0
11614,17324,Aruba,Netherlands,2020-02-14,0.0,0.0
11615,17325,Aruba,Netherlands,2020-02-15,0.0,0.0
11616,17326,Aruba,Netherlands,2020-02-16,0.0,0.0
11617,17327,Aruba,Netherlands,2020-02-17,0.0,0.0
11618,17328,Aruba,Netherlands,2020-02-18,0.0,0.0
11619,17329,Aruba,Netherlands,2020-02-19,0.0,0.0
11620,17330,Aruba,Netherlands,2020-02-20,0.0,0.0
11621,17331,Aruba,Netherlands,2020-02-21,0.0,0.0
11622,17332,Aruba,Netherlands,2020-02-22,0.0,0.0
11623,17333,Aruba,Netherlands,2020-02-23,0.0,0.0
11624,17334,Aruba,Netherlands,2020-02-24,0.0,0.0
11625,17335,Aruba,Netherlands,2020-02-25,0.0,0.0
11626,17336,Aruba,Netherlands,2020-02-26,0.0,0.0
11627,17337,Aruba,Netherlands,2020-02-27,0.0,0.0
11628,17338,Aruba,Netherlands,2020-02-28,0.0,0.0
11629,17339,Aruba,Netherlands,2020-02-29,0.0,0.0
11630,17340,Aruba,Netherlands,2020-03-01,0.0,0.0
11631,17341,Aruba,Netherlands,2020-03-02,0.0,0.0
11632,17342,Aruba,Netherlands,2020-03-03,0.0,0.0
11633,17343,Aruba,Netherlands,2020-03-04,0.0,0.0
11634,17344,Aruba,Netherlands,2020-03-05,0.0,0.0
11635,17345,Aruba,Netherlands,2020-03-06,0.0,0.0
11636,17346,Aruba,Netherlands,2020-03-07,0.0,0.0
11637,17347,Aruba,Netherlands,2020-03-08,0.0,0.0
11638,17348,Aruba,Netherlands,2020-03-09,0.0,0.0
11639,17349,Aruba,Netherlands,2020-03-10,0.0,0.0
11640,17350,Aruba,Netherlands,2020-03-11,0.0,0.0
11641,17351,Aruba,Netherlands,2020-03-12,0.0,0.0
11642,17352,Aruba,Netherlands,2020-03-13,2.0,0.0
11643,17353,Aruba,Netherlands,2020-03-14,2.0,0.0
11644,17354,Aruba,Netherlands,2020-03-15,2.0,0.0
11645,17355,Aruba,Netherlands,2020-03-16,2.0,0.0
11646,17356,Aruba,Netherlands,2020-03-17,3.0,0.0
11647,17357,Aruba,Netherlands,2020-03-18,4.0,0.0
11648,17358,Aruba,Netherlands,2020-03-19,4.0,0.0
11649,17359,Aruba,Netherlands,2020-03-20,5.0,0.0
11650,17360,Aruba,Netherlands,2020-03-21,5.0,0.0
11651,17361,Aruba,Netherlands,2020-03-22,9.0,0.0
11652,17362,Aruba,Netherlands,2020-03-23,9.0,0.0
11653,17363,Aruba,Netherlands,2020-03-24,12.0,0.0
11654,17364,Aruba,Netherlands,2020-03-25,17.0,0.0
11655,17365,Aruba,Netherlands,2020-03-26,28.0,0.0
11656,17366,Aruba,Netherlands,2020-03-27,33.0,0.0
11657,17367,Aruba,Netherlands,2020-03-28,46.0,0.0
