,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
11792,17601,,Netherlands,2020-01-22,0.0,0.0
11793,17602,,Netherlands,2020-01-23,0.0,0.0
11794,17603,,Netherlands,2020-01-24,0.0,0.0
11795,17604,,Netherlands,2020-01-25,0.0,0.0
11796,17605,,Netherlands,2020-01-26,0.0,0.0
11797,17606,,Netherlands,2020-01-27,0.0,0.0
11798,17607,,Netherlands,2020-01-28,0.0,0.0
11799,17608,,Netherlands,2020-01-29,0.0,0.0
11800,17609,,Netherlands,2020-01-30,0.0,0.0
11801,17610,,Netherlands,2020-01-31,0.0,0.0
11802,17611,,Netherlands,2020-02-01,0.0,0.0
11803,17612,,Netherlands,2020-02-02,0.0,0.0
11804,17613,,Netherlands,2020-02-03,0.0,0.0
11805,17614,,Netherlands,2020-02-04,0.0,0.0
11806,17615,,Netherlands,2020-02-05,0.0,0.0
11807,17616,,Netherlands,2020-02-06,0.0,0.0
11808,17617,,Netherlands,2020-02-07,0.0,0.0
11809,17618,,Netherlands,2020-02-08,0.0,0.0
11810,17619,,Netherlands,2020-02-09,0.0,0.0
11811,17620,,Netherlands,2020-02-10,0.0,0.0
11812,17621,,Netherlands,2020-02-11,0.0,0.0
11813,17622,,Netherlands,2020-02-12,0.0,0.0
11814,17623,,Netherlands,2020-02-13,0.0,0.0
11815,17624,,Netherlands,2020-02-14,0.0,0.0
11816,17625,,Netherlands,2020-02-15,0.0,0.0
11817,17626,,Netherlands,2020-02-16,0.0,0.0
11818,17627,,Netherlands,2020-02-17,0.0,0.0
11819,17628,,Netherlands,2020-02-18,0.0,0.0
11820,17629,,Netherlands,2020-02-19,0.0,0.0
11821,17630,,Netherlands,2020-02-20,0.0,0.0
11822,17631,,Netherlands,2020-02-21,0.0,0.0
11823,17632,,Netherlands,2020-02-22,0.0,0.0
11824,17633,,Netherlands,2020-02-23,0.0,0.0
11825,17634,,Netherlands,2020-02-24,0.0,0.0
11826,17635,,Netherlands,2020-02-25,0.0,0.0
11827,17636,,Netherlands,2020-02-26,0.0,0.0
11828,17637,,Netherlands,2020-02-27,1.0,0.0
11829,17638,,Netherlands,2020-02-28,1.0,0.0
11830,17639,,Netherlands,2020-02-29,6.0,0.0
11831,17640,,Netherlands,2020-03-01,10.0,0.0
11832,17641,,Netherlands,2020-03-02,18.0,0.0
11833,17642,,Netherlands,2020-03-03,24.0,0.0
11834,17643,,Netherlands,2020-03-04,38.0,0.0
11835,17644,,Netherlands,2020-03-05,82.0,0.0
11836,17645,,Netherlands,2020-03-06,128.0,1.0
11837,17646,,Netherlands,2020-03-07,188.0,1.0
11838,17647,,Netherlands,2020-03-08,265.0,3.0
11839,17648,,Netherlands,2020-03-09,321.0,3.0
11840,17649,,Netherlands,2020-03-10,382.0,4.0
11841,17650,,Netherlands,2020-03-11,503.0,5.0
11842,17651,,Netherlands,2020-03-12,503.0,5.0
11843,17652,,Netherlands,2020-03-13,804.0,10.0
11844,17653,,Netherlands,2020-03-14,959.0,12.0
11845,17654,,Netherlands,2020-03-15,1135.0,20.0
11846,17655,,Netherlands,2020-03-16,1413.0,24.0
11847,17656,,Netherlands,2020-03-17,1705.0,43.0
11848,17657,,Netherlands,2020-03-18,2051.0,58.0
11849,17658,,Netherlands,2020-03-19,2460.0,76.0
11850,17659,,Netherlands,2020-03-20,2994.0,106.0
11851,17660,,Netherlands,2020-03-21,3631.0,136.0
11852,17661,,Netherlands,2020-03-22,4204.0,179.0
11853,17662,,Netherlands,2020-03-23,4749.0,213.0
11854,17663,,Netherlands,2020-03-24,5560.0,276.0
11855,17664,,Netherlands,2020-03-25,6412.0,356.0
11856,17665,,Netherlands,2020-03-26,7431.0,434.0
11857,17666,,Netherlands,2020-03-27,8603.0,546.0
11858,17667,,Netherlands,2020-03-28,9762.0,639.0
