,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
12060,18001,,Nigeria,2020-01-22,0.0,0.0
12061,18002,,Nigeria,2020-01-23,0.0,0.0
12062,18003,,Nigeria,2020-01-24,0.0,0.0
12063,18004,,Nigeria,2020-01-25,0.0,0.0
12064,18005,,Nigeria,2020-01-26,0.0,0.0
12065,18006,,Nigeria,2020-01-27,0.0,0.0
12066,18007,,Nigeria,2020-01-28,0.0,0.0
12067,18008,,Nigeria,2020-01-29,0.0,0.0
12068,18009,,Nigeria,2020-01-30,0.0,0.0
12069,18010,,Nigeria,2020-01-31,0.0,0.0
12070,18011,,Nigeria,2020-02-01,0.0,0.0
12071,18012,,Nigeria,2020-02-02,0.0,0.0
12072,18013,,Nigeria,2020-02-03,0.0,0.0
12073,18014,,Nigeria,2020-02-04,0.0,0.0
12074,18015,,Nigeria,2020-02-05,0.0,0.0
12075,18016,,Nigeria,2020-02-06,0.0,0.0
12076,18017,,Nigeria,2020-02-07,0.0,0.0
12077,18018,,Nigeria,2020-02-08,0.0,0.0
12078,18019,,Nigeria,2020-02-09,0.0,0.0
12079,18020,,Nigeria,2020-02-10,0.0,0.0
12080,18021,,Nigeria,2020-02-11,0.0,0.0
12081,18022,,Nigeria,2020-02-12,0.0,0.0
12082,18023,,Nigeria,2020-02-13,0.0,0.0
12083,18024,,Nigeria,2020-02-14,0.0,0.0
12084,18025,,Nigeria,2020-02-15,0.0,0.0
12085,18026,,Nigeria,2020-02-16,0.0,0.0
12086,18027,,Nigeria,2020-02-17,0.0,0.0
12087,18028,,Nigeria,2020-02-18,0.0,0.0
12088,18029,,Nigeria,2020-02-19,0.0,0.0
12089,18030,,Nigeria,2020-02-20,0.0,0.0
12090,18031,,Nigeria,2020-02-21,0.0,0.0
12091,18032,,Nigeria,2020-02-22,0.0,0.0
12092,18033,,Nigeria,2020-02-23,0.0,0.0
12093,18034,,Nigeria,2020-02-24,0.0,0.0
12094,18035,,Nigeria,2020-02-25,0.0,0.0
12095,18036,,Nigeria,2020-02-26,0.0,0.0
12096,18037,,Nigeria,2020-02-27,0.0,0.0
12097,18038,,Nigeria,2020-02-28,1.0,0.0
12098,18039,,Nigeria,2020-02-29,1.0,0.0
12099,18040,,Nigeria,2020-03-01,1.0,0.0
12100,18041,,Nigeria,2020-03-02,1.0,0.0
12101,18042,,Nigeria,2020-03-03,1.0,0.0
12102,18043,,Nigeria,2020-03-04,1.0,0.0
12103,18044,,Nigeria,2020-03-05,1.0,0.0
12104,18045,,Nigeria,2020-03-06,1.0,0.0
12105,18046,,Nigeria,2020-03-07,1.0,0.0
12106,18047,,Nigeria,2020-03-08,1.0,0.0
12107,18048,,Nigeria,2020-03-09,2.0,0.0
12108,18049,,Nigeria,2020-03-10,2.0,0.0
12109,18050,,Nigeria,2020-03-11,2.0,0.0
12110,18051,,Nigeria,2020-03-12,2.0,0.0
12111,18052,,Nigeria,2020-03-13,2.0,0.0
12112,18053,,Nigeria,2020-03-14,2.0,0.0
12113,18054,,Nigeria,2020-03-15,2.0,0.0
12114,18055,,Nigeria,2020-03-16,2.0,0.0
12115,18056,,Nigeria,2020-03-17,3.0,0.0
12116,18057,,Nigeria,2020-03-18,8.0,0.0
12117,18058,,Nigeria,2020-03-19,8.0,0.0
12118,18059,,Nigeria,2020-03-20,12.0,0.0
12119,18060,,Nigeria,2020-03-21,22.0,0.0
12120,18061,,Nigeria,2020-03-22,30.0,0.0
12121,18062,,Nigeria,2020-03-23,40.0,1.0
12122,18063,,Nigeria,2020-03-24,44.0,1.0
12123,18064,,Nigeria,2020-03-25,51.0,1.0
12124,18065,,Nigeria,2020-03-26,65.0,1.0
12125,18066,,Nigeria,2020-03-27,70.0,1.0
12126,18067,,Nigeria,2020-03-28,89.0,1.0
