,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
12127,18101,,North Macedonia,2020-01-22,0.0,0.0
12128,18102,,North Macedonia,2020-01-23,0.0,0.0
12129,18103,,North Macedonia,2020-01-24,0.0,0.0
12130,18104,,North Macedonia,2020-01-25,0.0,0.0
12131,18105,,North Macedonia,2020-01-26,0.0,0.0
12132,18106,,North Macedonia,2020-01-27,0.0,0.0
12133,18107,,North Macedonia,2020-01-28,0.0,0.0
12134,18108,,North Macedonia,2020-01-29,0.0,0.0
12135,18109,,North Macedonia,2020-01-30,0.0,0.0
12136,18110,,North Macedonia,2020-01-31,0.0,0.0
12137,18111,,North Macedonia,2020-02-01,0.0,0.0
12138,18112,,North Macedonia,2020-02-02,0.0,0.0
12139,18113,,North Macedonia,2020-02-03,0.0,0.0
12140,18114,,North Macedonia,2020-02-04,0.0,0.0
12141,18115,,North Macedonia,2020-02-05,0.0,0.0
12142,18116,,North Macedonia,2020-02-06,0.0,0.0
12143,18117,,North Macedonia,2020-02-07,0.0,0.0
12144,18118,,North Macedonia,2020-02-08,0.0,0.0
12145,18119,,North Macedonia,2020-02-09,0.0,0.0
12146,18120,,North Macedonia,2020-02-10,0.0,0.0
12147,18121,,North Macedonia,2020-02-11,0.0,0.0
12148,18122,,North Macedonia,2020-02-12,0.0,0.0
12149,18123,,North Macedonia,2020-02-13,0.0,0.0
12150,18124,,North Macedonia,2020-02-14,0.0,0.0
12151,18125,,North Macedonia,2020-02-15,0.0,0.0
12152,18126,,North Macedonia,2020-02-16,0.0,0.0
12153,18127,,North Macedonia,2020-02-17,0.0,0.0
12154,18128,,North Macedonia,2020-02-18,0.0,0.0
12155,18129,,North Macedonia,2020-02-19,0.0,0.0
12156,18130,,North Macedonia,2020-02-20,0.0,0.0
12157,18131,,North Macedonia,2020-02-21,0.0,0.0
12158,18132,,North Macedonia,2020-02-22,0.0,0.0
12159,18133,,North Macedonia,2020-02-23,0.0,0.0
12160,18134,,North Macedonia,2020-02-24,0.0,0.0
12161,18135,,North Macedonia,2020-02-25,0.0,0.0
12162,18136,,North Macedonia,2020-02-26,1.0,0.0
12163,18137,,North Macedonia,2020-02-27,1.0,0.0
12164,18138,,North Macedonia,2020-02-28,1.0,0.0
12165,18139,,North Macedonia,2020-02-29,1.0,0.0
12166,18140,,North Macedonia,2020-03-01,1.0,0.0
12167,18141,,North Macedonia,2020-03-02,1.0,0.0
12168,18142,,North Macedonia,2020-03-03,1.0,0.0
12169,18143,,North Macedonia,2020-03-04,1.0,0.0
12170,18144,,North Macedonia,2020-03-05,1.0,0.0
12171,18145,,North Macedonia,2020-03-06,3.0,0.0
12172,18146,,North Macedonia,2020-03-07,3.0,0.0
12173,18147,,North Macedonia,2020-03-08,3.0,0.0
12174,18148,,North Macedonia,2020-03-09,3.0,0.0
12175,18149,,North Macedonia,2020-03-10,7.0,0.0
12176,18150,,North Macedonia,2020-03-11,7.0,0.0
12177,18151,,North Macedonia,2020-03-12,7.0,0.0
12178,18152,,North Macedonia,2020-03-13,14.0,0.0
12179,18153,,North Macedonia,2020-03-14,14.0,0.0
12180,18154,,North Macedonia,2020-03-15,14.0,0.0
12181,18155,,North Macedonia,2020-03-16,18.0,0.0
12182,18156,,North Macedonia,2020-03-17,26.0,0.0
12183,18157,,North Macedonia,2020-03-18,35.0,0.0
12184,18158,,North Macedonia,2020-03-19,48.0,0.0
12185,18159,,North Macedonia,2020-03-20,67.0,0.0
12186,18160,,North Macedonia,2020-03-21,85.0,0.0
12187,18161,,North Macedonia,2020-03-22,115.0,1.0
12188,18162,,North Macedonia,2020-03-23,136.0,2.0
12189,18163,,North Macedonia,2020-03-24,148.0,2.0
12190,18164,,North Macedonia,2020-03-25,177.0,3.0
12191,18165,,North Macedonia,2020-03-26,201.0,3.0
12192,18166,,North Macedonia,2020-03-27,219.0,3.0
12193,18167,,North Macedonia,2020-03-28,241.0,4.0
