,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
12395,18501,,Panama,2020-01-22,0.0,0.0
12396,18502,,Panama,2020-01-23,0.0,0.0
12397,18503,,Panama,2020-01-24,0.0,0.0
12398,18504,,Panama,2020-01-25,0.0,0.0
12399,18505,,Panama,2020-01-26,0.0,0.0
12400,18506,,Panama,2020-01-27,0.0,0.0
12401,18507,,Panama,2020-01-28,0.0,0.0
12402,18508,,Panama,2020-01-29,0.0,0.0
12403,18509,,Panama,2020-01-30,0.0,0.0
12404,18510,,Panama,2020-01-31,0.0,0.0
12405,18511,,Panama,2020-02-01,0.0,0.0
12406,18512,,Panama,2020-02-02,0.0,0.0
12407,18513,,Panama,2020-02-03,0.0,0.0
12408,18514,,Panama,2020-02-04,0.0,0.0
12409,18515,,Panama,2020-02-05,0.0,0.0
12410,18516,,Panama,2020-02-06,0.0,0.0
12411,18517,,Panama,2020-02-07,0.0,0.0
12412,18518,,Panama,2020-02-08,0.0,0.0
12413,18519,,Panama,2020-02-09,0.0,0.0
12414,18520,,Panama,2020-02-10,0.0,0.0
12415,18521,,Panama,2020-02-11,0.0,0.0
12416,18522,,Panama,2020-02-12,0.0,0.0
12417,18523,,Panama,2020-02-13,0.0,0.0
12418,18524,,Panama,2020-02-14,0.0,0.0
12419,18525,,Panama,2020-02-15,0.0,0.0
12420,18526,,Panama,2020-02-16,0.0,0.0
12421,18527,,Panama,2020-02-17,0.0,0.0
12422,18528,,Panama,2020-02-18,0.0,0.0
12423,18529,,Panama,2020-02-19,0.0,0.0
12424,18530,,Panama,2020-02-20,0.0,0.0
12425,18531,,Panama,2020-02-21,0.0,0.0
12426,18532,,Panama,2020-02-22,0.0,0.0
12427,18533,,Panama,2020-02-23,0.0,0.0
12428,18534,,Panama,2020-02-24,0.0,0.0
12429,18535,,Panama,2020-02-25,0.0,0.0
12430,18536,,Panama,2020-02-26,0.0,0.0
12431,18537,,Panama,2020-02-27,0.0,0.0
12432,18538,,Panama,2020-02-28,0.0,0.0
12433,18539,,Panama,2020-02-29,0.0,0.0
12434,18540,,Panama,2020-03-01,0.0,0.0
12435,18541,,Panama,2020-03-02,0.0,0.0
12436,18542,,Panama,2020-03-03,0.0,0.0
12437,18543,,Panama,2020-03-04,0.0,0.0
12438,18544,,Panama,2020-03-05,0.0,0.0
12439,18545,,Panama,2020-03-06,0.0,0.0
12440,18546,,Panama,2020-03-07,0.0,0.0
12441,18547,,Panama,2020-03-08,0.0,0.0
12442,18548,,Panama,2020-03-09,0.0,0.0
12443,18549,,Panama,2020-03-10,1.0,0.0
12444,18550,,Panama,2020-03-11,8.0,1.0
12445,18551,,Panama,2020-03-12,11.0,1.0
12446,18552,,Panama,2020-03-13,27.0,1.0
12447,18553,,Panama,2020-03-14,36.0,1.0
12448,18554,,Panama,2020-03-15,43.0,1.0
12449,18555,,Panama,2020-03-16,55.0,1.0
12450,18556,,Panama,2020-03-17,69.0,1.0
12451,18557,,Panama,2020-03-18,86.0,1.0
12452,18558,,Panama,2020-03-19,109.0,1.0
12453,18559,,Panama,2020-03-20,137.0,1.0
12454,18560,,Panama,2020-03-21,200.0,1.0
12455,18561,,Panama,2020-03-22,313.0,3.0
12456,18562,,Panama,2020-03-23,345.0,6.0
12457,18563,,Panama,2020-03-24,345.0,6.0
12458,18564,,Panama,2020-03-25,443.0,8.0
12459,18565,,Panama,2020-03-26,558.0,8.0
12460,18566,,Panama,2020-03-27,674.0,9.0
12461,18567,,Panama,2020-03-28,786.0,14.0
