,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
12596,18801,,Peru,2020-01-22,0.0,0.0
12597,18802,,Peru,2020-01-23,0.0,0.0
12598,18803,,Peru,2020-01-24,0.0,0.0
12599,18804,,Peru,2020-01-25,0.0,0.0
12600,18805,,Peru,2020-01-26,0.0,0.0
12601,18806,,Peru,2020-01-27,0.0,0.0
12602,18807,,Peru,2020-01-28,0.0,0.0
12603,18808,,Peru,2020-01-29,0.0,0.0
12604,18809,,Peru,2020-01-30,0.0,0.0
12605,18810,,Peru,2020-01-31,0.0,0.0
12606,18811,,Peru,2020-02-01,0.0,0.0
12607,18812,,Peru,2020-02-02,0.0,0.0
12608,18813,,Peru,2020-02-03,0.0,0.0
12609,18814,,Peru,2020-02-04,0.0,0.0
12610,18815,,Peru,2020-02-05,0.0,0.0
12611,18816,,Peru,2020-02-06,0.0,0.0
12612,18817,,Peru,2020-02-07,0.0,0.0
12613,18818,,Peru,2020-02-08,0.0,0.0
12614,18819,,Peru,2020-02-09,0.0,0.0
12615,18820,,Peru,2020-02-10,0.0,0.0
12616,18821,,Peru,2020-02-11,0.0,0.0
12617,18822,,Peru,2020-02-12,0.0,0.0
12618,18823,,Peru,2020-02-13,0.0,0.0
12619,18824,,Peru,2020-02-14,0.0,0.0
12620,18825,,Peru,2020-02-15,0.0,0.0
12621,18826,,Peru,2020-02-16,0.0,0.0
12622,18827,,Peru,2020-02-17,0.0,0.0
12623,18828,,Peru,2020-02-18,0.0,0.0
12624,18829,,Peru,2020-02-19,0.0,0.0
12625,18830,,Peru,2020-02-20,0.0,0.0
12626,18831,,Peru,2020-02-21,0.0,0.0
12627,18832,,Peru,2020-02-22,0.0,0.0
12628,18833,,Peru,2020-02-23,0.0,0.0
12629,18834,,Peru,2020-02-24,0.0,0.0
12630,18835,,Peru,2020-02-25,0.0,0.0
12631,18836,,Peru,2020-02-26,0.0,0.0
12632,18837,,Peru,2020-02-27,0.0,0.0
12633,18838,,Peru,2020-02-28,0.0,0.0
12634,18839,,Peru,2020-02-29,0.0,0.0
12635,18840,,Peru,2020-03-01,0.0,0.0
12636,18841,,Peru,2020-03-02,0.0,0.0
12637,18842,,Peru,2020-03-03,0.0,0.0
12638,18843,,Peru,2020-03-04,0.0,0.0
12639,18844,,Peru,2020-03-05,0.0,0.0
12640,18845,,Peru,2020-03-06,1.0,0.0
12641,18846,,Peru,2020-03-07,1.0,0.0
12642,18847,,Peru,2020-03-08,6.0,0.0
12643,18848,,Peru,2020-03-09,7.0,0.0
12644,18849,,Peru,2020-03-10,11.0,0.0
12645,18850,,Peru,2020-03-11,11.0,0.0
12646,18851,,Peru,2020-03-12,15.0,0.0
12647,18852,,Peru,2020-03-13,28.0,0.0
12648,18853,,Peru,2020-03-14,38.0,0.0
12649,18854,,Peru,2020-03-15,43.0,0.0
12650,18855,,Peru,2020-03-16,86.0,0.0
12651,18856,,Peru,2020-03-17,117.0,0.0
12652,18857,,Peru,2020-03-18,145.0,0.0
12653,18858,,Peru,2020-03-19,234.0,0.0
12654,18859,,Peru,2020-03-20,234.0,3.0
12655,18860,,Peru,2020-03-21,318.0,5.0
12656,18861,,Peru,2020-03-22,363.0,5.0
12657,18862,,Peru,2020-03-23,395.0,5.0
12658,18863,,Peru,2020-03-24,416.0,7.0
12659,18864,,Peru,2020-03-25,480.0,9.0
12660,18865,,Peru,2020-03-26,580.0,9.0
12661,18866,,Peru,2020-03-27,635.0,11.0
12662,18867,,Peru,2020-03-28,671.0,16.0
