,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
12864,19201,,Qatar,2020-01-22,0.0,0.0
12865,19202,,Qatar,2020-01-23,0.0,0.0
12866,19203,,Qatar,2020-01-24,0.0,0.0
12867,19204,,Qatar,2020-01-25,0.0,0.0
12868,19205,,Qatar,2020-01-26,0.0,0.0
12869,19206,,Qatar,2020-01-27,0.0,0.0
12870,19207,,Qatar,2020-01-28,0.0,0.0
12871,19208,,Qatar,2020-01-29,0.0,0.0
12872,19209,,Qatar,2020-01-30,0.0,0.0
12873,19210,,Qatar,2020-01-31,0.0,0.0
12874,19211,,Qatar,2020-02-01,0.0,0.0
12875,19212,,Qatar,2020-02-02,0.0,0.0
12876,19213,,Qatar,2020-02-03,0.0,0.0
12877,19214,,Qatar,2020-02-04,0.0,0.0
12878,19215,,Qatar,2020-02-05,0.0,0.0
12879,19216,,Qatar,2020-02-06,0.0,0.0
12880,19217,,Qatar,2020-02-07,0.0,0.0
12881,19218,,Qatar,2020-02-08,0.0,0.0
12882,19219,,Qatar,2020-02-09,0.0,0.0
12883,19220,,Qatar,2020-02-10,0.0,0.0
12884,19221,,Qatar,2020-02-11,0.0,0.0
12885,19222,,Qatar,2020-02-12,0.0,0.0
12886,19223,,Qatar,2020-02-13,0.0,0.0
12887,19224,,Qatar,2020-02-14,0.0,0.0
12888,19225,,Qatar,2020-02-15,0.0,0.0
12889,19226,,Qatar,2020-02-16,0.0,0.0
12890,19227,,Qatar,2020-02-17,0.0,0.0
12891,19228,,Qatar,2020-02-18,0.0,0.0
12892,19229,,Qatar,2020-02-19,0.0,0.0
12893,19230,,Qatar,2020-02-20,0.0,0.0
12894,19231,,Qatar,2020-02-21,0.0,0.0
12895,19232,,Qatar,2020-02-22,0.0,0.0
12896,19233,,Qatar,2020-02-23,0.0,0.0
12897,19234,,Qatar,2020-02-24,0.0,0.0
12898,19235,,Qatar,2020-02-25,0.0,0.0
12899,19236,,Qatar,2020-02-26,0.0,0.0
12900,19237,,Qatar,2020-02-27,0.0,0.0
12901,19238,,Qatar,2020-02-28,0.0,0.0
12902,19239,,Qatar,2020-02-29,1.0,0.0
12903,19240,,Qatar,2020-03-01,3.0,0.0
12904,19241,,Qatar,2020-03-02,3.0,0.0
12905,19242,,Qatar,2020-03-03,7.0,0.0
12906,19243,,Qatar,2020-03-04,8.0,0.0
12907,19244,,Qatar,2020-03-05,8.0,0.0
12908,19245,,Qatar,2020-03-06,8.0,0.0
12909,19246,,Qatar,2020-03-07,8.0,0.0
12910,19247,,Qatar,2020-03-08,15.0,0.0
12911,19248,,Qatar,2020-03-09,18.0,0.0
12912,19249,,Qatar,2020-03-10,24.0,0.0
12913,19250,,Qatar,2020-03-11,262.0,0.0
12914,19251,,Qatar,2020-03-12,262.0,0.0
12915,19252,,Qatar,2020-03-13,320.0,0.0
12916,19253,,Qatar,2020-03-14,337.0,0.0
12917,19254,,Qatar,2020-03-15,401.0,0.0
12918,19255,,Qatar,2020-03-16,439.0,0.0
12919,19256,,Qatar,2020-03-17,439.0,0.0
12920,19257,,Qatar,2020-03-18,452.0,0.0
12921,19258,,Qatar,2020-03-19,460.0,0.0
12922,19259,,Qatar,2020-03-20,470.0,0.0
12923,19260,,Qatar,2020-03-21,481.0,0.0
12924,19261,,Qatar,2020-03-22,494.0,0.0
12925,19262,,Qatar,2020-03-23,501.0,0.0
12926,19263,,Qatar,2020-03-24,526.0,0.0
12927,19264,,Qatar,2020-03-25,537.0,0.0
12928,19265,,Qatar,2020-03-26,549.0,0.0
12929,19266,,Qatar,2020-03-27,562.0,0.0
12930,19267,,Qatar,2020-03-28,590.0,1.0
