,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
13266,19801,,Saint Vincent and the Grenadines,2020-01-22,0.0,0.0
13267,19802,,Saint Vincent and the Grenadines,2020-01-23,0.0,0.0
13268,19803,,Saint Vincent and the Grenadines,2020-01-24,0.0,0.0
13269,19804,,Saint Vincent and the Grenadines,2020-01-25,0.0,0.0
13270,19805,,Saint Vincent and the Grenadines,2020-01-26,0.0,0.0
13271,19806,,Saint Vincent and the Grenadines,2020-01-27,0.0,0.0
13272,19807,,Saint Vincent and the Grenadines,2020-01-28,0.0,0.0
13273,19808,,Saint Vincent and the Grenadines,2020-01-29,0.0,0.0
13274,19809,,Saint Vincent and the Grenadines,2020-01-30,0.0,0.0
13275,19810,,Saint Vincent and the Grenadines,2020-01-31,0.0,0.0
13276,19811,,Saint Vincent and the Grenadines,2020-02-01,0.0,0.0
13277,19812,,Saint Vincent and the Grenadines,2020-02-02,0.0,0.0
13278,19813,,Saint Vincent and the Grenadines,2020-02-03,0.0,0.0
13279,19814,,Saint Vincent and the Grenadines,2020-02-04,0.0,0.0
13280,19815,,Saint Vincent and the Grenadines,2020-02-05,0.0,0.0
13281,19816,,Saint Vincent and the Grenadines,2020-02-06,0.0,0.0
13282,19817,,Saint Vincent and the Grenadines,2020-02-07,0.0,0.0
13283,19818,,Saint Vincent and the Grenadines,2020-02-08,0.0,0.0
13284,19819,,Saint Vincent and the Grenadines,2020-02-09,0.0,0.0
13285,19820,,Saint Vincent and the Grenadines,2020-02-10,0.0,0.0
13286,19821,,Saint Vincent and the Grenadines,2020-02-11,0.0,0.0
13287,19822,,Saint Vincent and the Grenadines,2020-02-12,0.0,0.0
13288,19823,,Saint Vincent and the Grenadines,2020-02-13,0.0,0.0
13289,19824,,Saint Vincent and the Grenadines,2020-02-14,0.0,0.0
13290,19825,,Saint Vincent and the Grenadines,2020-02-15,0.0,0.0
13291,19826,,Saint Vincent and the Grenadines,2020-02-16,0.0,0.0
13292,19827,,Saint Vincent and the Grenadines,2020-02-17,0.0,0.0
13293,19828,,Saint Vincent and the Grenadines,2020-02-18,0.0,0.0
13294,19829,,Saint Vincent and the Grenadines,2020-02-19,0.0,0.0
13295,19830,,Saint Vincent and the Grenadines,2020-02-20,0.0,0.0
13296,19831,,Saint Vincent and the Grenadines,2020-02-21,0.0,0.0
13297,19832,,Saint Vincent and the Grenadines,2020-02-22,0.0,0.0
13298,19833,,Saint Vincent and the Grenadines,2020-02-23,0.0,0.0
13299,19834,,Saint Vincent and the Grenadines,2020-02-24,0.0,0.0
13300,19835,,Saint Vincent and the Grenadines,2020-02-25,0.0,0.0
13301,19836,,Saint Vincent and the Grenadines,2020-02-26,0.0,0.0
13302,19837,,Saint Vincent and the Grenadines,2020-02-27,0.0,0.0
13303,19838,,Saint Vincent and the Grenadines,2020-02-28,0.0,0.0
13304,19839,,Saint Vincent and the Grenadines,2020-02-29,0.0,0.0
13305,19840,,Saint Vincent and the Grenadines,2020-03-01,0.0,0.0
13306,19841,,Saint Vincent and the Grenadines,2020-03-02,0.0,0.0
13307,19842,,Saint Vincent and the Grenadines,2020-03-03,0.0,0.0
13308,19843,,Saint Vincent and the Grenadines,2020-03-04,0.0,0.0
13309,19844,,Saint Vincent and the Grenadines,2020-03-05,0.0,0.0
13310,19845,,Saint Vincent and the Grenadines,2020-03-06,0.0,0.0
13311,19846,,Saint Vincent and the Grenadines,2020-03-07,0.0,0.0
13312,19847,,Saint Vincent and the Grenadines,2020-03-08,0.0,0.0
13313,19848,,Saint Vincent and the Grenadines,2020-03-09,0.0,0.0
13314,19849,,Saint Vincent and the Grenadines,2020-03-10,0.0,0.0
13315,19850,,Saint Vincent and the Grenadines,2020-03-11,0.0,0.0
13316,19851,,Saint Vincent and the Grenadines,2020-03-12,0.0,0.0
13317,19852,,Saint Vincent and the Grenadines,2020-03-13,0.0,0.0
13318,19853,,Saint Vincent and the Grenadines,2020-03-14,1.0,0.0
13319,19854,,Saint Vincent and the Grenadines,2020-03-15,1.0,0.0
13320,19855,,Saint Vincent and the Grenadines,2020-03-16,1.0,0.0
13321,19856,,Saint Vincent and the Grenadines,2020-03-17,1.0,0.0
13322,19857,,Saint Vincent and the Grenadines,2020-03-18,1.0,0.0
13323,19858,,Saint Vincent and the Grenadines,2020-03-19,1.0,0.0
13324,19859,,Saint Vincent and the Grenadines,2020-03-20,1.0,0.0
13325,19860,,Saint Vincent and the Grenadines,2020-03-21,1.0,0.0
13326,19861,,Saint Vincent and the Grenadines,2020-03-22,1.0,0.0
13327,19862,,Saint Vincent and the Grenadines,2020-03-23,1.0,0.0
13328,19863,,Saint Vincent and the Grenadines,2020-03-24,1.0,0.0
13329,19864,,Saint Vincent and the Grenadines,2020-03-25,1.0,0.0
13330,19865,,Saint Vincent and the Grenadines,2020-03-26,1.0,0.0
13331,19866,,Saint Vincent and the Grenadines,2020-03-27,1.0,0.0
13332,19867,,Saint Vincent and the Grenadines,2020-03-28,1.0,0.0
